subject_clean,Erlutern · Beziehungen · Kologische,Marktwirtschaft · Kologische · Faktoren,entropy,subject_total,subject_proportion
Bio,0.7778,0.2222,0.7642,72,0.2687
"Ethik, Philo",1.0,0.0,0.0,21,0.0784
Geschichte,1.0,0.0,0.0,34,0.1269
Psychologie,0.0,1.0,0.0,2,0.0075
Sozialkunde,0.6763,0.3237,0.9084,139,0.5187
