term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
sozial,101,0.0055,0.0019,0.0004,0.0006,0.0031,0.0448,0.0642,0.0205,0.0296,0.0036,0.0004,0.0158,0.0008,0.1008,0.0009
toleranz,66,0.004,0.0018,0.0218,0.0589,0.0033,0.0147,0.0004,0.0227,0.0423,0.0034,0.047,0.0008,0.0007,0.0051,0.0008
fähigkeit,45,0.0039,0.0018,0.0346,0.0006,0.0242,0.0004,0.0004,0.0006,0.0372,0.0032,0.0005,0.0182,0.0522,0.0002,0.001
mensch,43,0.004,0.0018,0.0127,0.0006,0.0038,0.0035,0.0084,0.0006,0.028,0.0615,0.0004,0.0008,0.0012,0.0002,0.0338
unterschiedlich,38,0.0046,0.0019,0.0377,0.0006,0.0031,0.0004,0.0004,0.0205,0.0001,0.0223,0.0004,0.0008,0.0007,0.0317,0.0284
handeln,36,0.0048,0.0018,0.0003,0.0006,0.0033,0.0004,0.0004,0.0205,0.0045,0.0416,0.0326,0.0008,0.0007,0.0284,0.0156
entwickeln,35,0.004,0.0019,0.0399,0.0006,0.0031,0.0005,0.0004,0.0006,0.0001,0.0027,0.1194,0.0107,0.0437,0.0062,0.0007
konflikt,35,0.0039,0.0018,0.0002,0.0228,0.0031,0.0013,0.0275,0.0205,0.0294,0.0032,0.0005,0.0323,0.0007,0.0008,0.0008
respekt,35,0.0039,0.0282,0.0002,0.0006,0.0031,0.007,0.0004,0.0229,0.0363,0.0034,0.0004,0.0007,0.0007,0.0051,0.0007
perspektivwechsel,34,0.0039,0.0019,0.019,0.0007,0.0034,0.017,0.0441,0.0006,0.0001,0.0026,0.0418,0.0007,0.0007,0.0083,0.0633
wert,31,0.004,0.0281,0.0002,0.0006,0.0031,0.0759,0.0004,0.0006,0.0045,0.0031,0.0289,0.0008,0.0007,0.0002,0.0007
nehmen,30,0.0053,0.0018,0.0002,0.0006,0.0033,0.0299,0.0004,0.0006,0.0001,0.0032,0.0004,0.0007,0.0007,0.0413,0.0007
position,29,0.004,0.0018,0.0347,0.0006,0.0033,0.0743,0.0004,0.0005,0.0001,0.0027,0.0392,0.0007,0.0007,0.0002,0.0007
konstruktiv,27,0.004,0.0019,0.0002,0.0006,0.003,0.0004,0.0004,0.0205,0.0405,0.0031,0.0004,0.0007,0.0007,0.0002,0.0007
gesellschaft,25,0.0049,0.0019,0.0166,0.0006,0.0031,0.0012,0.026,0.0006,0.0089,0.0029,0.0004,0.0289,0.0008,0.0212,0.0007
lernen,25,0.004,0.0019,0.0653,0.014,0.0032,0.0004,0.0004,0.0006,0.0001,0.0028,0.0004,0.0007,0.0007,0.0002,0.0007
verstehen,25,0.004,0.0019,0.0002,0.0006,0.003,0.0557,0.0004,0.0006,0.0279,0.0031,0.0004,0.0008,0.0007,0.0002,0.0007
lösen,24,0.0039,0.0018,0.0002,0.0006,0.0031,0.0004,0.0004,0.0205,0.0279,0.0031,0.0004,0.0008,0.0007,0.0002,0.0007
rolle,24,0.004,0.0019,0.0003,0.0006,0.0031,0.0218,0.0283,0.0005,0.0001,0.0026,0.0004,0.0007,0.0008,0.0328,0.0105
verantwortung,24,0.0041,0.0283,0.0003,0.0007,0.003,0.0004,0.027,0.0205,0.0085,0.0026,0.0004,0.0008,0.0007,0.017,0.0007
zeigen,24,0.004,0.0018,0.0002,0.0006,0.003,0.0004,0.0004,0.0205,0.0279,0.0032,0.0004,0.0008,0.0007,0.0002,0.0007
verhalten,23,0.004,0.0019,0.0002,0.0007,0.003,0.0004,0.0028,0.0006,0.0301,0.0031,0.0004,0.0007,0.0007,0.0002,0.0007
gesellschaftlich,22,0.004,0.0019,0.0002,0.0228,0.0032,0.0606,0.0004,0.0005,0.0001,0.0027,0.0004,0.0009,0.0925,0.0002,0.0007
fördern,21,0.004,0.0019,0.0046,0.0146,0.0032,0.0004,0.0003,0.0006,0.0136,0.0028,0.0004,0.0007,0.0512,0.0002,0.0007
kooperieren,21,0.0039,0.0019,0.0002,0.0006,0.0032,0.0004,0.0004,0.0006,0.0363,0.0031,0.0004,0.0007,0.0007,0.0002,0.0007
kritisch,21,0.0041,0.0019,0.0003,0.0006,0.0034,0.0004,0.0227,0.0006,0.0001,0.0028,0.0318,0.0311,0.0466,0.0002,0.0007
tragen,21,0.0042,0.002,0.0135,0.0006,0.003,0.0004,0.0229,0.0006,0.0137,0.0027,0.0004,0.0107,0.0469,0.0002,0.0007
erfolgreich,20,0.004,0.0018,0.0002,0.0006,0.003,0.0004,0.0004,0.0006,0.0286,0.0032,0.0004,0.0007,0.0007,0.0002,0.0007
fachlich,20,0.004,0.0019,0.0002,0.0006,0.003,0.0004,0.0004,0.0005,0.0286,0.0033,0.0004,0.0007,0.0007,0.0002,0.0007
frage,20,0.004,0.0019,0.0067,0.0006,0.0036,0.0005,0.0003,0.0243,0.0001,0.0029,0.0004,0.0008,0.0682,0.0002,0.0007
perspektive,20,0.004,0.0018,0.0002,0.0361,0.0035,0.01,0.0003,0.0224,0.0001,0.0029,0.0004,0.0158,0.0007,0.0002,0.0007
auseinander,19,0.004,0.0018,0.0193,0.0184,0.0033,0.0004,0.0004,0.0006,0.0001,0.0028,0.0289,0.0007,0.0007,0.0002,0.0007
genannt,19,0.004,0.0018,0.0002,0.0006,0.0031,0.0004,0.0004,0.0006,0.0279,0.0033,0.0004,0.0007,0.0007,0.0002,0.0007
jahrgangsübergreifend,19,0.004,0.0018,0.0002,0.0006,0.003,0.0004,0.0004,0.0006,0.0279,0.0032,0.0004,0.0007,0.0007,0.0002,0.0007
nachfolgend,19,0.004,0.0018,0.0002,0.0006,0.0031,0.0004,0.0004,0.0005,0.0279,0.0032,0.0004,0.0007,0.0007,0.0002,0.0007
solidarität,19,0.0048,0.002,0.0002,0.0006,0.003,0.0087,0.022,0.0006,0.0001,0.0032,0.0004,0.0007,0.0007,0.0207,0.0007
zusammenarbeiten,19,0.004,0.0019,0.0002,0.0006,0.003,0.0004,0.0004,0.0006,0.0279,0.0032,0.0004,0.0007,0.0007,0.0002,0.0007
zählen,19,0.004,0.0018,0.0002,0.0006,0.0031,0.0004,0.0004,0.0006,0.0279,0.0032,0.0004,0.0007,0.0007,0.0002,0.0007
überfachlich,19,0.004,0.0019,0.0002,0.0006,0.003,0.0004,0.0004,0.0006,0.0279,0.0032,0.0004,0.0007,0.0007,0.0002,0.0007
bedürfnis,18,0.0047,0.0018,0.0128,0.0006,0.0031,0.0004,0.0003,0.0005,0.0001,0.0029,0.0005,0.0007,0.0007,0.0219,0.0007
meinung,18,0.005,0.0018,0.0075,0.0006,0.0031,0.0004,0.0003,0.0006,0.0094,0.003,0.0004,0.0007,0.0007,0.023,0.0007
überzeugung,18,0.0047,0.0018,0.0002,0.0006,0.0031,0.0004,0.0003,0.0006,0.0085,0.0029,0.0004,0.0007,0.0437,0.0208,0.0007
erfassen,17,0.0048,0.0018,0.0041,0.0006,0.0031,0.0004,0.0003,0.0006,0.0001,0.0029,0.0004,0.0107,0.0007,0.0207,0.0007
rücksichtnahme,17,0.0046,0.0018,0.0002,0.0006,0.003,0.0004,0.0003,0.0205,0.0001,0.003,0.0004,0.0007,0.0007,0.0208,0.0007
verhaltensweise,17,0.0046,0.0019,0.0002,0.0006,0.0031,0.0004,0.0004,0.0006,0.0001,0.0029,0.0004,0.0007,0.0008,0.0269,0.0007
beitrag,16,0.004,0.0018,0.0317,0.0006,0.0033,0.0034,0.0004,0.0006,0.0001,0.0028,0.0004,0.0008,0.0007,0.0002,0.0007
demokratisch,16,0.0042,0.0019,0.0179,0.0007,0.003,0.0318,0.0227,0.0005,0.0001,0.0026,0.0579,0.0008,0.0007,0.0002,0.0007
einnehmen,16,0.0039,0.0018,0.0128,0.0006,0.0032,0.0004,0.0003,0.0205,0.0001,0.0027,0.0318,0.0008,0.0007,0.0002,0.0007
emotion,16,0.0047,0.0018,0.0002,0.0006,0.003,0.0004,0.0004,0.0005,0.0001,0.0028,0.0004,0.0007,0.0008,0.0207,0.0202
möglichkeit,16,0.0039,0.0019,0.0002,0.0233,0.003,0.0004,0.0004,0.0006,0.0001,0.0027,0.0004,0.025,0.0007,0.0002,0.0299
perspektivenübernahme,16,0.0046,0.0283,0.0003,0.0006,0.0031,0.0064,0.0003,0.0006,0.0001,0.003,0.0004,0.0183,0.0007,0.0277,0.0007
entwicklung,15,0.0043,0.002,0.0002,0.0007,0.003,0.0004,0.0549,0.0006,0.0001,0.0027,0.0004,0.0007,0.0007,0.0063,0.0345
gruppe,15,0.0046,0.0018,0.0002,0.0006,0.003,0.0004,0.0004,0.0005,0.0001,0.0028,0.0004,0.0107,0.0008,0.022,0.0007
kulturell,15,0.0042,0.0019,0.0076,0.0006,0.003,0.0004,0.022,0.0006,0.0001,0.0027,0.0004,0.0007,0.0965,0.0002,0.0007
realität,15,0.0046,0.0019,0.0002,0.0006,0.003,0.0004,0.0003,0.0006,0.0001,0.0029,0.0004,0.0158,0.0007,0.0208,0.0007
sozialkompetenz,15,0.0047,0.0018,0.0003,0.0006,0.0031,0.0004,0.0003,0.0006,0.0001,0.003,0.0004,0.0007,0.0007,0.0359,0.0007
anteil,14,0.0045,0.0019,0.0002,0.0006,0.0031,0.0004,0.0031,0.0006,0.0001,0.0029,0.0004,0.0007,0.0008,0.0218,0.0007
bereitschaft,14,0.004,0.0019,0.0232,0.0006,0.003,0.0004,0.0004,0.0006,0.0048,0.0028,0.0004,0.0007,0.0437,0.0002,0.0007
grenze,14,0.0039,0.0019,0.0002,0.045,0.003,0.0004,0.0004,0.0006,0.0001,0.0026,0.0004,0.0007,0.0007,0.0002,0.0432
haltung,14,0.0039,0.0019,0.0002,0.0006,0.024,0.0033,0.0003,0.0241,0.0045,0.0027,0.0005,0.0008,0.0007,0.0002,0.0007
politisch,14,0.0039,0.0018,0.0076,0.0006,0.0031,0.0006,0.0003,0.0006,0.0001,0.0027,0.0004,0.1577,0.0007,0.0072,0.0659
ermöglichen,13,0.0039,0.0019,0.0041,0.0006,0.0235,0.0373,0.0004,0.0205,0.0001,0.0027,0.0006,0.0008,0.0007,0.0002,0.0007
geschichte,13,0.0039,0.0019,0.0002,0.0272,0.0037,0.0141,0.0003,0.0005,0.0001,0.003,0.0004,0.0107,0.0007,0.0002,0.0008
kultur,13,0.004,0.0019,0.0006,0.0436,0.0036,0.0084,0.0003,0.0006,0.0001,0.0029,0.0004,0.0009,0.0008,0.0002,0.0008
lage,13,0.0046,0.0019,0.0002,0.0006,0.003,0.0004,0.0029,0.0006,0.0001,0.0029,0.0004,0.0008,0.0007,0.0207,0.0007
medium,13,0.004,0.0018,0.0002,0.0139,0.0032,0.0004,0.0605,0.0006,0.0001,0.0028,0.0004,0.0007,0.0007,0.0002,0.0007
sinn,13,0.0041,0.0019,0.0002,0.0006,0.003,0.0004,0.0293,0.0006,0.0045,0.0027,0.0004,0.0008,0.0008,0.0002,0.0007
wahrnehmungsfähigkeit,13,0.0045,0.0019,0.0002,0.0006,0.0031,0.0004,0.0003,0.0006,0.0001,0.003,0.0004,0.0007,0.0007,0.022,0.0007
aufmerksam,12,0.0046,0.0018,0.0002,0.0006,0.0031,0.0004,0.0004,0.0006,0.0001,0.0029,0.0004,0.0007,0.0007,0.0207,0.0007
beziehung,12,0.0047,0.0018,0.0002,0.0006,0.0031,0.0004,0.0003,0.0006,0.0001,0.0029,0.0004,0.0007,0.0007,0.0207,0.0007
gemeinschaft,12,0.0046,0.0018,0.0002,0.0006,0.003,0.0004,0.0003,0.0006,0.0001,0.0029,0.0004,0.0007,0.0007,0.0208,0.0007
insbesondere,12,0.0042,0.0284,0.0002,0.0006,0.003,0.0004,0.0245,0.0006,0.0001,0.0028,0.0289,0.0007,0.0008,0.0002,0.0007
interaktionspartner,12,0.0047,0.0018,0.0002,0.0006,0.0031,0.0004,0.0003,0.0006,0.0001,0.0029,0.0004,0.0007,0.0007,0.0207,0.0007
