topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_normen_werte normen_handeln_knnen,0.167,0.5114,0.1301,0.0299,0.1617,1.885,569,0.2665
0_normen_werte normen_ethik_knnen,0.0803,0.6195,0.0699,0.0085,0.2219,1.5288,1059,0.496
1_sachverhalte_aussagen_biologische_beurteilen,0.9268,0.0244,0.0305,0.0,0.0183,0.4914,164,0.0768
2_religionsunterricht_englisch_katholischer religionsunterricht_katholischer,0.0787,0.2441,0.3543,0.0551,0.2677,2.0552,127,0.0595
3_fhren_experiment_experimentieren_planen,1.0,0.0,0.0,0.0,0.0,0.0,55,0.0258
4_enzymaktivitt_phwert_experiment_temperatur,1.0,0.0,0.0,0.0,0.0,0.0,50,0.0234
5_verhalten_evolution_ursachen_adaptiven,1.0,0.0,0.0,0.0,0.0,0.0,38,0.0178
6_diversitt inklusion_diversitt_inklusion_lebensverhltnisse diversitt,0.0,0.0,0.1429,0.0,0.8571,0.5917,21,0.0098
7_beteiligt_personen_oberstufe_kerncurriculum,0.0,0.7895,0.0526,0.0526,0.1053,1.0583,19,0.0089
8_religion werte_sexualitt_religion_schuljahrgnge,0.5294,0.2941,0.1176,0.0,0.0588,1.6087,17,0.008
9_zielen_kultur_region_positiv,0.25,0.0625,0.3125,0.0,0.375,1.805,16,0.0075
TOTAL,0.2333,0.4698,0.0979,0.0159,0.1831,1.8737,2135,1.0
