subject,-1_normen_werte normen_handeln_knnen,0_normen_werte normen_ethik_knnen,1_sachverhalte_aussagen_biologische_beurteilen,2_religionsunterricht_englisch_katholischer religionsunterricht_katholischer,3_fhren_experiment_experimentieren_planen,4_enzymaktivitt_phwert_experiment_temperatur,5_verhalten_evolution_ursachen_adaptiven,6_diversitt inklusion_diversitt_inklusion_lebensverhltnisse diversitt,7_beteiligt_personen_oberstufe_kerncurriculum,8_religion werte_sexualitt_religion_schuljahrgnge,9_zielen_kultur_region_positiv,entropy,subject_total,subject_proportion
Bio,0.1908,0.1707,0.3052,0.0201,0.1104,0.1004,0.0763,0.0,0.0,0.0181,0.008,2.6549,498,0.2333
"Ethik, Philo",0.2901,0.654,0.004,0.0309,0.0,0.0,0.0,0.0,0.015,0.005,0.001,1.2441,1003,0.4698
Geschichte,0.3541,0.3541,0.0239,0.2153,0.0,0.0,0.0,0.0144,0.0048,0.0096,0.0239,1.9844,209,0.0979
Psychologie,0.5,0.2647,0.0,0.2059,0.0,0.0,0.0,0.0,0.0294,0.0,0.0,1.6266,34,0.0159
Sozialkunde,0.2353,0.601,0.0077,0.087,0.0,0.0,0.0,0.046,0.0051,0.0026,0.0153,1.6508,391,0.1831
TOTAL,0.2665,0.496,0.0768,0.0595,0.0258,0.0234,0.0178,0.0098,0.0089,0.008,0.0075,2.1377,2135,1.0
