topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,17,0.1573,45,25.4475
2,3,0.1468,42,26.0889
3,20,0.0951,25,29.5849
4,18,0.0913,34,25.0206
5,7,0.0865,23,22.8821
6,14,0.0599,15,26.4744
7,1,0.0457,10,51.525
8,6,0.0429,11,28.8371
9,8,0.036,9,33.7511
10,15,0.036,9,40.5044
11,10,0.0357,7,32.246
12,12,0.0335,8,45.1058
13,16,0.033,7,34.3709
14,4,0.0318,8,16.9256
15,11,0.0248,7,15.5615
16,13,0.0139,3,36.616
17,2,0.0117,3,21.6139
18,19,0.0083,1,25.8249
19,5,0.0064,1,11.1798
20,9,0.0031,0,1.2522
