topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
Afb · Standards · Anforderungen Gerecht,0.1875,0.5,0.125,0.1875,0.0,1.7806,16,0.0119
Behandlung · Gerechtes Handeln · Werte,0.0,0.9643,0.0,0.0,0.0357,0.2223,28,0.0208
Bergang · Oberstufe · Gymnasium,0.2,0.3333,0.2,0.0,0.2667,1.9656,15,0.0112
Courage · Begriffe · Definieren,0.0,0.9333,0.0,0.0667,0.0,0.3534,15,0.0112
Europischen · Globalisierung · Union,0.0,0.0526,0.0,0.0,0.9474,0.2975,19,0.0141
Freiheit · Philosophische · Verantwortung,0.0,0.9375,0.0312,0.0,0.0312,0.3998,32,0.0238
Freundschaft · Herausarbeiten · Erfolg,0.0,1.0,0.0,0.0,0.0,0.0,24,0.0179
Gerechtigkeit Fairness · Ungleichheit · Merkmale,0.0,0.8,0.0667,0.0,0.1333,0.9056,15,0.0112
Glck · Ethik · Freiheit,0.0,0.9683,0.0317,0.0,0.0,0.2031,63,0.0469
Iii · Ethik Iii · Iii Gerechtigkeit,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0141
Iii · Formen Gerechtigkeit · Bezogen,0.0,0.9839,0.0161,0.0,0.0,0.1191,62,0.0462
Kein Thema (Ausreißer),0.0078,0.5662,0.0753,0.0052,0.3455,1.3694,385,0.2867
Lediglich · Einzelner · Allein,0.1333,0.1333,0.3333,0.0667,0.3333,2.0923,15,0.0112
Leistung · Begriffe Gerechtigkeit · Verhltnis,0.0,0.9565,0.0,0.0,0.0435,0.258,23,0.0171
Marktwirtschaft · Sozialen Marktwirtschaft · Sozialen,0.0192,0.0577,0.0385,0.0,0.8846,0.6843,52,0.0387
Medial · Entscheiden · Beurteilen Entscheiden,0.0,1.0,0.0,0.0,0.0,0.0,41,0.0305
Medien Kommunikation · Kommunikation · Gestaltet,0.0,0.0,0.0,0.0,1.0,0.0,22,0.0164
Methodenkompetenz · Eth Gerechtigkeit · Eth,0.0625,0.25,0.0625,0.0,0.625,1.4238,16,0.0119
Moralischen · Eigene · Moral,0.0303,0.9697,0.0,0.0,0.0,0.1959,33,0.0246
Neue · Digitalen · Digitale,0.3333,0.3333,0.125,0.0,0.2083,1.9031,24,0.0179
Partizipation · Verantwortliches Handeln · Verteilungsgerechtigkeit,0.0,0.9565,0.0217,0.0,0.0217,0.3015,46,0.0343
Politik · Politischen · Politische,0.0,0.0,0.0,0.0,1.0,0.0,33,0.0246
Recht · Recht Gerechtigkeit · Funktionen,0.0227,0.4091,0.0,0.0,0.5682,1.115,44,0.0328
Soziale · Sozialer · Sozialer Gerechtigkeit,0.0159,0.1746,0.0476,0.0159,0.746,1.1539,63,0.0469
Sozialstaates · Leistungsgerechtigkeit · Zugleich,0.0,0.0,0.0,0.0,1.0,0.0,15,0.0112
Strafe · Menschenrechte · Strafen,0.0,0.963,0.0,0.0,0.037,0.2285,27,0.0201
Themenfelder · Klassenstufe · Strken,0.0,0.4483,0.1379,0.0,0.4138,1.4399,29,0.0216
Unterricht · Fcherverbindenden · Bereiche,0.4091,0.2727,0.1136,0.0,0.2045,1.8636,44,0.0328
Verantwortungsvollen · Gerechten Verantwortungsvollen · Hinblick,0.0,0.8529,0.0588,0.0,0.0882,0.7452,34,0.0253
Werte Normen · Legalitt · Normen,0.0,0.9516,0.0161,0.0,0.0323,0.3239,62,0.0462
Ziel · Handeln · Miteinander,0.037,0.8148,0.037,0.0,0.1111,0.9452,27,0.0201
