subject_clean,Anforderungen · Fcher · Natur,Behandelten · Demokratie · Revolution,Bestimmung · Prfen · Nehmen,Bewusst · Rechts · Blick,Bezug · Ordnungsmanahmen · Familie,Einfhrungsphase · Arbeit · Strken,Formen · Wohlstandsverteilung · Wahlbereich,Freundschaft · Konflikt · Verantwortung Ehrlichkeit,Grundrechte · Wahlbereich · Eth,Hinblick · Welt Ethischmoralische · Entscheiden Handeln,Iii · Ethik Iii · Achtung,Kategorien · Wasser · Prognosen,Kein Thema (Ausreißer),Klassenstufe · Kenntnisse · Prfung,Konfliktbewltigung Interessenausgleich · Konfliktbewltigung · Akteure,Konfliktregelung · Begrndungen · Sprache,Konomischen · Partizipationsmglichkeiten · Marktwirtschaft,Lebensverhltnisse · Lebensverhltnisse Lebensumfeld · Entscheidung,Marktwirtschaft · Sozialen Marktwirtschaft · Aktiv,Medien Kommunikation · Kommunikation · Konflikte,Mensch · Begriffe · Leben,Moral · Allgemeine Ethik · Allgemeine,Politischen · Versus · Fachkonzepts,Problemlagen · Kontroversen · Entscheidungen,Staatlicher Herrschaft · Begrndung · Staatlicher,Strafe · Ungerecht · Gesetze,Themenbereich · Wirtschaftlichen · Politische,Tugenden · Moralphilosophie · Angewandten Ethik,Vermittelten · Konzepte · Medial Vermittelten,Wahrnehmen Hineinversetzen · Hineinversetzen · Hineinversetzen Interpretieren,Wahrnehmen · Sozialer · Wahrnehmen Hineinversetzen,entropy,subject_total,subject_proportion
Bio,0.1163,0.0233,0.0,0.0465,0.0,0.0,0.0233,0.0,0.0,0.0,0.0,0.0,0.2558,0.0698,0.0,0.0233,0.0465,0.0,0.0465,0.0698,0.0,0.0,0.093,0.0,0.0,0.0233,0.0698,0.0,0.0,0.0233,0.0698,3.5034,43,0.032
"Ethik, Philo",0.0061,0.0169,0.0182,0.0,0.0472,0.0182,0.0266,0.0218,0.0726,0.0278,0.0448,0.0012,0.1804,0.0024,0.0,0.0182,0.0,0.0218,0.0,0.0121,0.092,0.0726,0.0036,0.0194,0.0339,0.1102,0.0,0.0182,0.0291,0.0254,0.0593,4.0992,826,0.615
Geschichte,0.209,0.0448,0.0149,0.0,0.0149,0.0149,0.0896,0.0149,0.0149,0.0149,0.0,0.0299,0.2239,0.0,0.0,0.0448,0.0,0.0,0.0,0.0,0.0448,0.0,0.1642,0.0,0.0149,0.0149,0.0,0.0,0.0,0.0,0.0299,3.3238,67,0.0499
Psychologie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.125,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2.4056,8,0.006
Sozialkunde,0.0,0.0301,0.0075,0.0426,0.0,0.0,0.0752,0.005,0.0276,0.01,0.0,0.0276,0.2481,0.0426,0.0426,0.0276,0.0501,0.0025,0.0426,0.1078,0.01,0.0,0.0501,0.015,0.0,0.0025,0.0301,0.0,0.0,0.0075,0.0952,3.8024,399,0.2971
