subject_clean,Auswertung · Mndliche · Schriftliche,Einzelnen · Kommunikation Alltagskonsum · Alltagskonsum,Herausarbeiten · Gewalt · Erklrungsanstze,Kalten · Integration · Europische,Kein Thema (Ausreißer),Modelle · Alltag · Digitaler,Niveaustufen · Einzelnen · Jahrgangsstufe Niveaustufen,Niveaustufen · Jahrgangsstufe Niveaustufen · Kommunikation Alltagskonsum,Selbstregulation · Orientierungskompetenz Kommunikation · Orientierungskompetenz,Solidaritt · Rcksichtnahme · Rcksichtnahme Solidaritt,Sozialen · Soziale · Frdern,entropy,subject_total,subject_proportion
Bio,0.15,0.01,0.02,0.03,0.14,0.02,0.09,0.03,0.07,0.13,0.31,2.891,100,0.1757
"Ethik, Philo",0.0455,0.0455,0.3864,0.0682,0.3977,0.0,0.0114,0.0114,0.0,0.0114,0.0227,2.073,88,0.1547
Geschichte,0.082,0.0656,0.1721,0.1066,0.2459,0.0,0.0,0.0492,0.1066,0.1475,0.0246,2.9291,122,0.2144
Psychologie,0.0,0.0,0.0,0.0,0.0,0.087,0.3913,0.0,0.0,0.0,0.5217,1.3258,23,0.0404
Sozialkunde,0.0381,0.0212,0.0254,0.1398,0.1314,0.0678,0.1525,0.0339,0.0042,0.0636,0.322,2.8688,236,0.4148
