topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
Anspruch · Ermglichen · Lerngruppe,0.12,0.32,0.28,0.0,0.28,1.9215,25,0.0439
Bewertung · Leistungen · Leistung,0.2778,0.25,0.1667,0.0,0.3056,1.9668,36,0.0633
Demokratischen · Fachspezifischen · Fragen,0.0303,0.0303,0.2121,0.0,0.7273,1.1144,33,0.058
Europischen · Deutschland · Integration,0.0,0.0,0.4615,0.0,0.5385,0.9957,39,0.0685
Frdern · Lernarrangements · Arbeitsformen,0.1875,0.25,0.125,0.0625,0.375,2.1085,16,0.0281
Herausarbeiten · Schule · Gewalt,0.1176,0.4118,0.1176,0.1176,0.2353,2.108,17,0.0299
Internationalen · Internationale · Internationaler,0.0,0.0,0.15,0.0,0.85,0.6098,40,0.0703
Kein Thema (Ausreißer),0.1529,0.1471,0.2294,0.0588,0.4118,2.0758,170,0.2988
Kooperationen · Fachlichen · Schritten Kumulativen,0.1923,0.1923,0.3077,0.0,0.3077,1.9612,26,0.0457
Lernenden · Solidaritt · Teamfhigkeit,0.3061,0.1837,0.2041,0.0204,0.2857,2.0707,49,0.0861
Medien · Digitaler · Digitalen,0.2941,0.2059,0.0882,0.1471,0.2647,2.212,34,0.0598
Sozialkompetenz · Methodenkompetenz · Sachkompetenz,0.6053,0.0526,0.1316,0.0789,0.1316,1.7212,38,0.0668
Themen · Fchern · Geschichte,0.0435,0.2391,0.1957,0.0217,0.5,1.7708,46,0.0808
