topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,0,55,0,0,0,55
2,8,0,0,0,0,8
3,1,7,0,0,0,8
4,0,45,0,0,0,45
5,0,64,1,1,4,70
6,0,23,1,0,3,27
7,4,88,3,0,4,99
