,text_excerpt,state,school type,grade,year,subject,doc_id
33992,"Kl. , LB Wahlbereich : Besuch einer Einrichtung für behinderte Menschen Sich positionieren zur Lebens- und Arbeitswelt von Menschen mit einer Behinderung Verständnis, Toleranz, Solidarität, Hilfe, Möglichkeiten zum Abbau von Vorurteilen, gesellschaftliche Verantwortung, Notwendigkeit geschützter Werkstätten und Behinderteneinrichtungen Stationenlernen, Kreativwerkstatt Kl. , LB Werteorientierung Wahlbereich : Mobbing in der Schule Sich positionieren zu Mobbingsituationen Wie und warum entsteht Mobbing Wer ist",Sachsen,Oberschule,,2019,"Ethik, Philo",33992
33993,"konjunkturelle Arbeitslosigkeit erklären individuelle, gesellschaftliche und volkswirtschaftliche Folgen von Arbeitslosigkeit erläutern Analysekompetenz , Aufgaben und Probleme des Sozialstaats BO Fachspezifische und handlungsorientierte Zugänge zur Arbeits- und Berufswelt BTV Formen von Vorurteilen, Stereotypen, Klischees Entwicklungen auf dem Arbeitsmarkt in Deutschland Reallöhne und Niedriglohnsektor mithilfe von Material analysieren Aufgaben und Probleme des Sozialstaats BO Fachspezifische und handlungsorientierte Zugänge zur Arbeits- und Berufswelt die",BaWü,Gym,,2023,Sozialkunde,33993
33994,"konjunkturelle Arbeitslosigkeit erklären individuelle, gesellschaftliche und volkswirtschaftliche Folgen von Arbeitslosigkeit erläutern Analysekompetenz , Aufgaben und Probleme des Sozialstaats BO Fachspezifische und handlungsorientierte Zugänge zur Arbeits- und Berufswelt BTV Formen von Vorurteilen, Stereotypen, Klischees das Prinzip der Tarifautonomie erläutern Art. GG, Tarifpartner, Tarifverhandlungen Analysekompetenz Methodenkompetenz BTV Konfliktbewältigung und Interessenausgleich Entwicklungen auf dem Arbeitsmarkt in Deutschland Reallöhne und Niedriglohnsektor sowie die Entwicklung der",BaWü,Gym,,2023,Sozialkunde,33994
33995,"ihre eigene Rolle in sozialen Bezügen reflektieren und mögliche Spannungsverhältnisse erklären, soziale Prozesse in ihrem Lernumfeld analysieren und reflektieren Konflikte analysieren und jeweilige Interessen benennen, die Entstehung und Wirkung von Vorurteilen und Ausgrenzungsstrategien analysieren, Ausgrenzungsstrategien erkennen, benennen und zum Gegenstand von Reflexion machen die Stellung sozialer Gruppen im gesellschaftlichen Machtgefüge analysieren und erläutern. Kernprinzipien des politischen Systems der Bundesrepublik Die Schülerinnen",Bremen,Gym,Sek1,2006,Sozialkunde,33995
33996,"den Begriff psychische Störung anhand typischer Kriterien beschreiben und das Spannungsfeld von Norm und Abweichung diskutieren zum Beispiel Gefahr von Stigmatisierung Analyse- und Methodenkompetenz Reflexions- und Urteilskompetenz BTV Formen von Vorurteilen, Stereotypen, Klischees; Personale und gesellschaftliche Vielfalt; Toleranz, Solidarität, Inklusion, Antidiskriminierung Leitsymptome von Störungsbildern zum Beispiel Angststörungen, Essstörungen, affektive Störungen, Entwicklungsstörungen anhand des ICD International Statistical Classification of Diseases and Related",BaWü,Gemeinschaftsschule,Sek2,2016,"Psychologie, Gesundheit",33996
33997,"Kognition, Emotion und Motivation , sich mit Einstellungen und Vorurteilen sowie Möglichkeiten ihrer Veränderung auseinandersetzen zum Beispiel Theorie der kognitiven Dissonanz nach L. Festinger Orientierungs- und Handlungskompetenz BTV Formen von Vorurteilen, Stereotypen, Klischees Merkmale von Gruppen beschreiben und grundlegende gruppendynamische Prozesse erläutern zum Beispiel Rollen, Phasen der Gruppenbildung BTV Minderheitenschutz darlegen, wie andere auf menschliches Verhalten einwirken können zum Beispiel Konformität",BaWü,Gemeinschaftsschule,Sek2,2016,"Psychologie, Gesundheit",33997
33998,"Schüler können soziale Wahrnehmungsprozesse, auch anhand von Beispielen aus ihrer Lebenswelt, veranschaulichen zum Beispiel Halo-Effekt, Primacy-Effekt, Rosenthal-Effekt Analyse- und Methodenkompetenz , Kognition, Emotion und Motivation , sich mit Einstellungen und Vorurteilen sowie Möglichkeiten ihrer Veränderung auseinandersetzen zum Beispiel Theorie der kognitiven Dissonanz nach L. Festinger Orientierungs- und Handlungskompetenz BTV Formen von Vorurteilen, Stereotypen, Klischees Merkmale von Gruppen beschreiben und grundlegende gruppendynamische",BaWü,Gemeinschaftsschule,Sek2,2016,"Psychologie, Gesundheit",33998
33999,", BNE Demokratiefähigkeit BTV Konfliktbewältigung und Interessenausgleich MB Kommunikation und Kooperation PG Mobbing und Gewalt Soziale Wahrnehmung und Gruppe Die Schülerinnen und Schüler befassen sich mit sozialen Wahrnehmungsprozessen, Einstellungen und Vorurteilen. Sie erkennen, wie menschliches Erleben und Verhalten durch Situation und Interaktion beeinflusst wird und setzen sich auf der Basis ihrer eigenen Erfahrungen damit auseinander. Die Schülerinnen und Schüler können soziale",BaWü,Gemeinschaftsschule,Sek2,2016,"Psychologie, Gesundheit",33999
34000,Zusammenleben einsetzen sowie an zukunftsweisenden und nachhaltigen Entwicklungen mitwirken können. Bildung für Toleranz und Akzeptanz von Vielfalt BTV Im Fach Psychologie beschäftigen sich die Schülerinnen und Schüler mit Einstellungen und Vorurteilen sowie Möglichkeiten ihrer Veränderung. Sie reflektieren das Verhältnis von Norm und Abweichung und die Gefahr von Stigmatisierungen. Zudem befassen sich die Schülerinnen und Schüler mit Entwicklungsaufgaben und Identität. Damit leistet,BaWü,Gemeinschaftsschule,Sek2,2016,"Psychologie, Gesundheit",34000
34001,"Theresienstadt Gedenken, Stolpersteine aktuelle Erscheinungsformen des Antisemitismus Werteorientierung Lernbereich : Der Mensch und seine Verantwortung für den Mitmenschen Ustd. Kennen der Entstehung von Vorurteilen und von Möglichkeiten zum Abbau von Vorurteilen Kein Mensch ist ohne Vorurteil. Jeder Mensch muss bereit sein, Vorurteile zu prüfen und gegebenenfalls zu korrigieren. Werteorientierung Unterscheidung der Begriffe Urteil und Vorurteil Urteil als subjektive, aber begründete Entscheidung",Sachsen,Oberschule,,2019,"Ethik, Philo",34001
34002,"zusätzlich dazu bei, dass die Schülerinnen und Schüler mit einer Fülle diverser Wahrheits- und Wirklichkeitsvorstellungen konfrontiert werden. Nicht selten dominiert dabei eine verzerrte oder zumindest bruchstückhafte Informationsvermittlung, die zu Klischees, Vorurteilen und Diskriminierungen führen kann. Daraus ergibt sich die Notwendigkeit, den Schülerinnen und Schülern Wege zu einer eigenständigen und kritischen Sichtweise auf die unterschiedlichen Wahrheits- und Wirklichkeitskonzeptionen zu eröffnen. Auch für",Niedersachsen,Realschule,,2018,"Ethik, Philo",34002
34003,"PZ-Information / Geschichte: Der Pogrom der Reichskristallnacht, Ablauf - Ursachen Folgen. Bausteine Der mittelalterliche Antijudaismus in Europa Die Schüler sollen - erkennen, dass sich im mittelalterlichen Antijudaismus vielfältige Motive und Vorurteile verbanden Entrechtung, Stigmatisierung, Ghettoisierung; Berufszwang und -verbot; Pogrom- und Vertreibungswellen - Jh. Judenfeindschaft in Deutschland von den Kreuzzügen bis zur Aufklärung, in: Geschichte betrifft uns rechtliche - religiöse wirtschaftliche sozialpsychologische",Rheinland-Pfalz,Gym,Sek2,1998,Sozialkunde,34003
34004,"Frauenquote in der Politik Zusammenleben mit Ausländern und Asylrecht Lernziele Inhaltsaspekte Die Schülerinnen und Schüler sollen - Probleme bei der Gestaltung des Zusammenlebens von Deutschen mit zugewanderten Minderheiten erörtern Fremdheit, Vorurteile, individuelles Verhalten Fremdenfeindlichkeit, Rechtsextremismus, Gewalt - Chancen und Risiken von Konzepten anhand der Kriterien des Notwendigen, Machbaren und Wünschenswerten beurteilen Bürgerrechte, Minderheitsrechte Ausländerrecht und Asylrecht, Einwanderungspolitik Assimilation, Integration multikulturelle Gesellschaft",Rheinland-Pfalz,Gym,Sek2,1998,Sozialkunde,34004
34005,"Mittelpunkt stehen Fragen wie Was macht mich unverwechselbar, aber auch Was unterscheidet mich von anderen und Wo haben wir Gemeinsamkeiten Vor diesem Hintergrund folgen im zweiten Schritt die Auseinandersetzung mit Vorurteilen und die Anbahnung von Toleranz Jg. . Sich in Kulturen und Religionen zu verorten, setzt jedoch nicht nur Wahrnehmungs- und Deutungsprozesse, sondern auch solide Wissensbestände voraus. Die Erarbeitung eines religiös-kulturellen",Hessen,,Sek1,,"Ethik, Philo",34005
34006,"zentrale Kompetenz, um bewusst und begründet ihren Platz in der Gesellschaft einzunehmen. Die Sicherung der in diesem Standard entwickelten Kompetenz ist aber auch grundlegend für alle Mitglieder der Gesellschaft, um Vorurteilen und Intoleranz entgegenzuwirken. Eine gefestigte kulturelle Identität ist die Basis, um dem Fremden offen gegenüberzutreten und Anderssein zu akzeptieren. Somit schafft dieser Standard eine Voraussetzung für Verständigung im interkulturellen Dialog.",Hessen,,Sek1,,"Ethik, Philo",34006
34007,"verorten. Überfachliche Kompetenzen: elbstwahrnehmung, Soziale Wahrnehmungsfähigkeit, Interkulturelle Verständigung Leitperspektiven: Individuum, Gesellschaft, Vergleichende Ideengeschichte Inhaltsfelder: Selbst und Welt Religionen, Weltbilder und Kulturen g. Inhaltliche Konkretisierung: Sich und andere wahrnehmen Umgang mit Vorurteilen, Toleranz Die abrahamitischen Religionen Interreligiosität und Interkulturalität Unsere Lernenden können ... die persönliche Lebenswelt beschreiben, Gemeinsamkeiten und Unterschiede in den Lebenswelten der Menschen erläutern, Inhaltsbezogene Kompetenzen: mpetenzaufbau Interkulturelle Kompetenz Orientierungsgrundlage",Hessen,,Sek1,,"Ethik, Philo",34007
