term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
situation,109,0.0007,0.0046,0.0002,0.0325,0.0222,0.0003,0.0012,0.0002,0.0328,0.0373,0.0001,0.0003,0.0004,0.0247,0.0491
mensch,102,0.0037,0.035,0.0315,0.0001,0.0003,0.0003,0.0013,0.0003,0.0001,0.0005,0.0083,0.0003,0.024,0.0584,0.0177
bedürfnis,87,0.0571,0.0038,0.0085,0.0038,0.0003,0.0003,0.0012,0.0002,0.0001,0.0098,0.015,0.0003,0.0004,0.0001,0.0001
gedanke,78,0.0001,0.0002,0.0002,0.0001,0.0003,0.0003,0.0015,0.0092,0.0897,0.0005,0.0002,0.0015,0.0004,0.0043,0.0004
perspektive,69,0.0001,0.0001,0.0172,0.0004,0.0082,0.0003,0.0012,0.0002,0.0001,0.0005,0.0088,0.0183,0.0062,0.053,0.0157
vernunft,66,0.0083,0.0044,0.0069,0.0001,0.0003,0.0003,0.0012,0.0002,0.0111,0.0005,0.0001,0.0135,0.0173,0.0454,0.0001
sozial,64,0.0463,0.0008,0.0098,0.0055,0.0046,0.0003,0.0012,0.0002,0.0001,0.0005,0.0001,0.0003,0.0004,0.0001,0.0001
möglichkeit,61,0.0133,0.0057,0.0002,0.0102,0.0003,0.0076,0.0012,0.0002,0.0062,0.0005,0.0001,0.0072,0.0004,0.0001,0.041
leben,55,0.0162,0.0041,0.038,0.0004,0.0094,0.0039,0.0012,0.0002,0.0028,0.0005,0.013,0.0003,0.0004,0.0001,0.0001
verschieden,54,0.0006,0.029,0.0002,0.0001,0.0084,0.0003,0.0012,0.0002,0.0097,0.0005,0.0172,0.0076,0.0004,0.0058,0.0147
ethik,52,0.0005,0.0095,0.0303,0.0001,0.0003,0.0003,0.0012,0.0002,0.0001,0.0005,0.0029,0.0003,0.0386,0.0159,0.0183
ethisch,50,0.0116,0.0001,0.0038,0.0212,0.0158,0.0003,0.0012,0.0003,0.0027,0.0005,0.0062,0.0003,0.0504,0.0018,0.003
frage,50,0.0001,0.0154,0.0002,0.0013,0.034,0.0003,0.0012,0.0368,0.0001,0.0005,0.0233,0.0188,0.0004,0.0001,0.0001
umgang,49,0.0001,0.006,0.0037,0.0001,0.0003,0.0003,0.0012,0.0002,0.0211,0.0005,0.0067,0.0003,0.0004,0.0122,0.0185
handeln,47,0.0096,0.0002,0.0017,0.0001,0.0003,0.0024,0.0012,0.0002,0.0001,0.0005,0.0121,0.0003,0.0063,0.0266,0.0047
inhaltsbezogen,46,0.0001,0.009,0.0049,0.0037,0.0086,0.0003,0.0012,0.0002,0.0251,0.0005,0.0001,0.005,0.0004,0.0001,0.0189
methodischdidaktisch,44,0.0001,0.009,0.0049,0.0073,0.0086,0.0003,0.0012,0.0002,0.0226,0.0005,0.0001,0.0053,0.0004,0.0001,0.0159
moralisch,43,0.0001,0.0079,0.0005,0.0002,0.0101,0.0226,0.0012,0.0245,0.0001,0.0005,0.0001,0.0003,0.0795,0.0177,0.0004
verändern,43,0.0001,0.0002,0.0034,0.0001,0.0003,0.0003,0.0012,0.0002,0.0514,0.0005,0.0001,0.0003,0.0004,0.0001,0.0006
bedeutung,42,0.0006,0.0102,0.0071,0.0209,0.0003,0.0003,0.0012,0.0002,0.0002,0.0431,0.0053,0.0003,0.0069,0.0157,0.0001
form,42,0.0001,0.0053,0.0048,0.0062,0.0092,0.0003,0.0012,0.0002,0.0151,0.0005,0.0001,0.0003,0.0004,0.0001,0.0295
nehmen,42,0.023,0.0158,0.0002,0.0002,0.0096,0.0054,0.0012,0.0002,0.0001,0.0005,0.0029,0.0003,0.0004,0.0028,0.0004
unterschiedlich,42,0.023,0.0127,0.0002,0.0001,0.0096,0.0226,0.0012,0.0002,0.0001,0.0005,0.0001,0.0003,0.0004,0.003,0.0001
begriff,41,0.0001,0.0001,0.0072,0.0284,0.0003,0.0003,0.0012,0.0002,0.0165,0.0005,0.0013,0.0087,0.0004,0.0001,0.0103
folge,41,0.0068,0.0092,0.0002,0.0001,0.0003,0.0003,0.0012,0.0002,0.0122,0.0005,0.0001,0.0073,0.0109,0.0001,0.0206
individualität,41,0.0001,0.0092,0.0012,0.0001,0.0109,0.0003,0.0012,0.0002,0.0162,0.0005,0.0001,0.0361,0.0004,0.0147,0.0002
bestimmt,40,0.0001,0.0001,0.0002,0.0091,0.0003,0.0003,0.0012,0.0002,0.0103,0.0005,0.004,0.0003,0.0005,0.0017,0.0321
wahrnehmung,40,0.0011,0.0001,0.0002,0.0039,0.0003,0.0003,0.0012,0.0002,0.0001,0.0005,0.0409,0.0003,0.0004,0.0001,0.0001
darstellung,39,0.0022,0.0122,0.0069,0.0064,0.0003,0.0003,0.0012,0.0002,0.0192,0.0005,0.0025,0.0003,0.0004,0.0001,0.0121
mindmap,38,0.0001,0.0036,0.0002,0.0001,0.0003,0.0003,0.0012,0.0002,0.031,0.0005,0.0002,0.0003,0.0004,0.0061,0.0087
brainstorming,37,0.0001,0.0019,0.0002,0.0001,0.0003,0.0003,0.0012,0.0002,0.031,0.0005,0.0002,0.0003,0.0005,0.0061,0.0087
entwickeln,37,0.0001,0.0305,0.0002,0.0047,0.0003,0.0264,0.0225,0.0002,0.0043,0.0005,0.0098,0.0108,0.0004,0.0001,0.0003
wert,37,0.0015,0.0001,0.0002,0.0001,0.0665,0.0003,0.0012,0.0002,0.0001,0.0005,0.0089,0.0003,0.0072,0.0181,0.0001
fähigkeit,36,0.0231,0.0001,0.0044,0.0001,0.0003,0.0003,0.0026,0.0002,0.0001,0.0596,0.0001,0.0003,0.0004,0.0002,0.0001
freundschaft,33,0.0001,0.0001,0.0047,0.0001,0.0042,0.0003,0.0012,0.0002,0.0001,0.0005,0.0366,0.0003,0.0004,0.0001,0.0001
interesse,33,0.0271,0.0001,0.0002,0.0001,0.0003,0.0003,0.0012,0.0002,0.0001,0.0005,0.0001,0.0003,0.0004,0.0001,0.0001
zusammenhang,32,0.0008,0.0073,0.0002,0.0002,0.0003,0.0003,0.0012,0.0003,0.0238,0.0005,0.009,0.0003,0.0004,0.0043,0.0001
handlung,31,0.0001,0.0001,0.0002,0.0146,0.0185,0.0003,0.0012,0.0002,0.0001,0.0534,0.0095,0.0003,0.007,0.0052,0.0001
klassenstuf,31,0.0001,0.0001,0.0752,0.0001,0.0101,0.0003,0.0012,0.0002,0.0001,0.0005,0.0001,0.0003,0.0004,0.0001,0.0001
armut,30,0.0001,0.0003,0.0046,0.004,0.0003,0.0003,0.0012,0.0002,0.0001,0.0005,0.0001,0.0863,0.0004,0.0001,0.0001
welt,30,0.0001,0.0096,0.0163,0.0002,0.0003,0.0003,0.0012,0.0002,0.0001,0.0005,0.0012,0.0003,0.0004,0.0194,0.0036
differenzieren,29,0.0001,0.0001,0.0002,0.0001,0.0003,0.0003,0.0012,0.0002,0.0257,0.0005,0.0001,0.0003,0.0004,0.0107,0.0001
problem,28,0.0001,0.0001,0.0034,0.0001,0.0003,0.0053,0.0012,0.0143,0.0002,0.0005,0.0218,0.0086,0.0066,0.0001,0.0001
relevant,28,0.003,0.0001,0.0002,0.0117,0.0003,0.0003,0.0012,0.0426,0.0001,0.0005,0.0022,0.0003,0.0004,0.0001,0.0059
gesellschaftlich,27,0.023,0.0019,0.0002,0.0001,0.0003,0.0003,0.0012,0.0002,0.0001,0.0005,0.0001,0.0003,0.0004,0.0001,0.0001
