topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,18,0.1329,254,130.1175
2,11,0.1319,207,60.3539
3,20,0.0783,123,44.8431
4,19,0.0685,72,83.5489
5,13,0.0669,88,48.9137
6,16,0.0602,80,39.8269
7,10,0.052,61,63.5414
8,12,0.0464,54,60.791
9,9,0.0462,58,62.9613
10,4,0.0454,65,65.0951
11,8,0.0424,50,73.1272
12,15,0.04,42,67.4437
13,1,0.0345,36,62.4855
14,7,0.0329,25,80.8099
15,17,0.0288,37,79.627
16,6,0.0283,25,76.201
17,14,0.0247,25,95.3766
18,5,0.024,25,71.0675
19,2,0.0089,12,132.0625
20,3,0.0068,4,112.3314
