topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,1,0.2204,230,82.2937
2,7,0.1785,176,53.0627
3,2,0.1503,153,33.4158
4,5,0.1315,151,45.7197
5,4,0.1208,100,52.9368
6,3,0.1127,105,47.8939
7,6,0.0858,76,24.3817
