Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
sozial,motiv,lernen,entwickeln,geschichte,position,entwicklung,sozial,toleranz,mensch,entwickeln,politisch
unterschiedlich,folge,position,toleranz,fähigkeit,wert,medium,wahrnehmen,konstruktiv,zusammenleben,alltag,sozial
nehmen,interesse,auseinander,demokratisch,fördern,gesellschaftlich,nachhaltig,perspektivübernahme,fähigkeit,auseinandersetzung,geschichte,perspektivwechsel
gesellschaft,begriff,setzen,grundordnung,kritisch,sozial,sozial,stehen,kooperieren,toleranz,umgehen,international
überzeugung,anwenden,umgang,freiheitlich,kultur,identität,aktuell,verantwortung,respekt,wert,angemessen,zentral
handeln,insbesondere,perspektivwechsel,perspektivwechsel,perspektive,stehen,verantwortung,position,verhalten,beitrag,lösen,konflikt
kulturell,verschieden,fähigkeit,position,denken,verstehen,wahlbereich,akzeptieren,fachlich,ziel,reflektiert,wahlbereich
sozialkompetenz,perspektivenübernahme,einsetzen,wertvorstellung,beitrag,tolerieren,perspektivwechsel,einsetzen,erfolgreich,gesellschaft,toleranz,rolle
perspektivenübernahme,verantwortung,entwickeln,auseinander,distanz,ermöglichen,positionieren,meinung,sozial,kultur,erfolgreich,ökonomisch
meinung,sachverhalt,unterschiedlich,fähigkeit,fremd,hinterfragen,kulturell,entwickeln,lösen,handeln,zusammenarbeiten,positionieren
entwickeln,respekt,bedürfnis,rahmen,erfassen,nehmen,sinn,unterschiedlich,mensch,moralisch,fachlich,unterschiedlich
tragen,wert,einnehmen,sowohl,menschlich,grundsätzlich,gesellschaftswissenschaftlich,gerechtigkeit,überfachlich,pflicht,zeigen,bedeutung
verhaltensweise,fairness,phänomen,einnehmen,alltag,wissen,insbesondere,politik,zeigen,haltung,konstruktiv,verantwortungsbereitschaft
bereitschaft,kontext,wertvorstellung,erfahrung,leisten,rolle,gefühl,auseinandersetzung,jahrgangsübergreifend,geschichte,erleben,möglichkeit
gruppe,perspektivwechsel,vielschichtig,handeln,ermöglichen,struktur,rek,übernahme,verstehen,unterschiedlich,erfahrung,mensch
rolle,lernen,problem,gehören,interesse,person,gesellschaft,ziel,genannt,wissen,insbesondere,grenze
realität,kenntnis,bereiten,kritisch,reflexion,perspektivwechsel,tragen,beitrag,zusammenarbeiten,vorstellung,auseinander,begriff
anteil,verantwortungsbereitschaft,vielgestaltig,grenze,historisch,demokratisch,kritisch,interdisziplinarität,konflikt,kategorie,kritisch,handeln
lernen,positionieren,sowohl,alltag,lernen,freiheitlich,solidarität,perspektivwechsel,nachfolgend,folge,konflikt,angst
wahrnehmungsfähigkeit,lernbereich,arbeit,schulisch,moral,grundordnung,demokratisch,interkulturell,zählen,einsicht,jahrgangsübergreifend,demokratisch
