term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
sozial,101,0.0562,0.002,0.0004,0.0003,0.0009,0.0503,0.0441,0.0632,0.0285,0.0026,0.0041,0.0534
toleranz,66,0.0134,0.002,0.0004,0.0615,0.0075,0.0109,0.0004,0.0022,0.0423,0.0384,0.0043,0.0077
fähigkeit,45,0.009,0.002,0.0216,0.0215,0.0571,0.0005,0.0004,0.0019,0.0366,0.0024,0.0041,0.0012
mensch,43,0.0002,0.002,0.0185,0.0003,0.0027,0.0006,0.0004,0.0019,0.0281,0.0739,0.0042,0.0131
unterschiedlich,38,0.0356,0.002,0.0216,0.0105,0.0008,0.0005,0.0009,0.0322,0.0001,0.0128,0.004,0.0158
handeln,36,0.023,0.002,0.0004,0.0195,0.0009,0.0005,0.0004,0.0024,0.0046,0.0235,0.0042,0.0121
entwickeln,35,0.0218,0.0021,0.0216,0.0833,0.0008,0.0006,0.0139,0.0323,0.0001,0.0018,0.0045,0.0003
konflikt,35,0.0002,0.002,0.0004,0.0093,0.0008,0.0005,0.0186,0.0021,0.0281,0.0022,0.0042,0.026
respekt,35,0.0041,0.0262,0.0004,0.0003,0.0008,0.0101,0.0004,0.002,0.0365,0.0023,0.0041,0.0077
perspektivwechsel,34,0.0002,0.0022,0.0228,0.0316,0.0011,0.0201,0.0298,0.0125,0.0001,0.0018,0.0042,0.0362
wert,31,0.0002,0.0262,0.0004,0.0177,0.0009,0.0781,0.0004,0.0018,0.0046,0.0343,0.0041,0.0002
nehmen,30,0.0328,0.002,0.0004,0.0003,0.001,0.0344,0.0004,0.0018,0.0001,0.0022,0.0041,0.0002
position,29,0.0002,0.002,0.0429,0.0297,0.0009,0.0859,0.0004,0.0437,0.0001,0.0018,0.0041,0.0002
konstruktiv,27,0.0002,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.002,0.0406,0.0022,0.0042,0.0076
gesellschaft,25,0.0286,0.002,0.0004,0.0003,0.0008,0.0005,0.0222,0.0018,0.0087,0.0251,0.0041,0.0088
lernen,25,0.0181,0.0022,0.0696,0.0003,0.0161,0.0005,0.0004,0.0022,0.0001,0.0018,0.0042,0.0003
verstehen,25,0.0002,0.0021,0.0004,0.0003,0.0008,0.0456,0.0004,0.0019,0.0281,0.0021,0.0042,0.009
angemessen,24,0.0002,0.002,0.0004,0.0177,0.0008,0.0005,0.0004,0.0019,0.0281,0.0022,0.0043,0.0002
lösen,24,0.0002,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.0021,0.0281,0.0021,0.0043,0.0077
rolle,24,0.0188,0.002,0.0004,0.0003,0.0008,0.0253,0.0146,0.0018,0.0001,0.0018,0.004,0.0219
verantwortung,24,0.0041,0.0262,0.0004,0.0003,0.0008,0.0005,0.0385,0.0438,0.0086,0.0018,0.004,0.0081
zeigen,24,0.0002,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.002,0.0281,0.0022,0.0043,0.0077
verhalten,23,0.0002,0.002,0.0004,0.0003,0.0009,0.0005,0.0028,0.0019,0.0303,0.0022,0.0041,0.0003
gesellschaftlich,22,0.0172,0.0021,0.0004,0.0109,0.0015,0.0525,0.0004,0.0018,0.0001,0.0018,0.0039,0.0087
fördern,21,0.0088,0.0021,0.0004,0.0003,0.0439,0.0005,0.0004,0.0018,0.0131,0.0018,0.0042,0.0003
kooperieren,21,0.0002,0.002,0.0004,0.0003,0.0009,0.0005,0.0004,0.0019,0.0365,0.0022,0.0041,0.0003
kritisch,21,0.0092,0.002,0.0004,0.0184,0.0312,0.0005,0.0213,0.0018,0.0001,0.0018,0.0042,0.0014
tragen,21,0.0218,0.0021,0.0004,0.0003,0.0008,0.0005,0.0219,0.0018,0.0134,0.0018,0.004,0.0004
erfolgreich,20,0.0002,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.0019,0.0288,0.0022,0.0043,0.0003
fachlich,20,0.0002,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.0018,0.0288,0.0022,0.0043,0.0002
perspektive,20,0.0002,0.002,0.0004,0.0093,0.0294,0.0106,0.0004,0.002,0.0001,0.0019,0.0042,0.0092
auseinander,19,0.0002,0.002,0.0325,0.0249,0.0009,0.0005,0.0004,0.0019,0.0001,0.0018,0.0042,0.0003
genannt,19,0.0002,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.0019,0.0281,0.0022,0.0042,0.0002
jahrgangsübergreifend,19,0.0002,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.002,0.0281,0.0022,0.0042,0.0002
nachfolgend,19,0.0002,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.0019,0.0281,0.0022,0.0042,0.0002
solidarität,19,0.0165,0.0021,0.0004,0.0003,0.0008,0.0101,0.021,0.0018,0.0001,0.0021,0.004,0.0003
umgehen,19,0.0002,0.0021,0.0004,0.0003,0.0008,0.0005,0.0004,0.0019,0.0281,0.0022,0.0044,0.0002
zusammenarbeiten,19,0.0002,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.002,0.0281,0.0022,0.0043,0.0002
zählen,19,0.0002,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.0019,0.0281,0.0022,0.0042,0.0003
überfachlich,19,0.0002,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.0019,0.0281,0.0022,0.0041,0.0003
bedürfnis,18,0.0165,0.002,0.0216,0.0003,0.0008,0.0005,0.0004,0.0018,0.0001,0.002,0.0041,0.0017
meinung,18,0.0219,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.0324,0.0088,0.002,0.0041,0.0002
überzeugung,18,0.025,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.0019,0.0086,0.002,0.004,0.0002
erfassen,17,0.0173,0.002,0.0004,0.0003,0.0207,0.0005,0.0004,0.0018,0.0001,0.002,0.004,0.0004
verhaltensweise,17,0.0214,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.0018,0.0001,0.0021,0.004,0.0003
beitrag,16,0.0113,0.002,0.0114,0.0003,0.0252,0.0006,0.0004,0.0125,0.0001,0.034,0.0039,0.0003
demokratisch,16,0.0061,0.002,0.0004,0.0485,0.0008,0.0187,0.021,0.0018,0.0001,0.0018,0.0042,0.0096
einnehmen,16,0.0002,0.002,0.0216,0.0195,0.0009,0.0005,0.0004,0.002,0.0001,0.0018,0.0042,0.0077
möglichkeit,16,0.0002,0.0021,0.0004,0.0093,0.0116,0.0005,0.0004,0.0019,0.0001,0.0018,0.004,0.0132
perspektivenübernahme,16,0.0221,0.0262,0.0004,0.0003,0.0008,0.0005,0.0004,0.0018,0.0001,0.002,0.004,0.0087
entwicklung,15,0.0002,0.0021,0.0004,0.0003,0.0008,0.0005,0.0801,0.0018,0.0001,0.0018,0.0041,0.0003
gruppe,15,0.0194,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.0018,0.0001,0.002,0.004,0.0003
kulturell,15,0.0227,0.002,0.0004,0.0003,0.0008,0.0005,0.0257,0.0018,0.0001,0.0018,0.0041,0.0003
realität,15,0.0182,0.0021,0.0004,0.0003,0.0008,0.0005,0.0004,0.0018,0.0001,0.002,0.0041,0.0021
sozialkompetenz,15,0.0221,0.002,0.0004,0.0003,0.0057,0.0005,0.0138,0.0018,0.0001,0.002,0.004,0.0002
anteil,14,0.0182,0.0021,0.0004,0.0003,0.0009,0.0005,0.0004,0.0018,0.0001,0.002,0.0041,0.0006
bereitschaft,14,0.0205,0.002,0.0004,0.0105,0.0008,0.0005,0.0004,0.0021,0.0047,0.0019,0.0039,0.0002
grenze,14,0.0002,0.002,0.0004,0.0183,0.0008,0.0005,0.0008,0.002,0.0001,0.0018,0.004,0.0129
haltung,14,0.0002,0.002,0.0004,0.0003,0.0057,0.0005,0.0004,0.0019,0.0046,0.0233,0.0041,0.0077
politisch,14,0.0002,0.002,0.0004,0.0105,0.0008,0.0005,0.0004,0.0018,0.0001,0.0018,0.004,0.0752
ermöglichen,13,0.0002,0.0021,0.0004,0.0003,0.0203,0.0431,0.0004,0.0019,0.0001,0.0018,0.0041,0.0077
geschichte,13,0.0002,0.0021,0.0004,0.0003,0.0577,0.0006,0.0004,0.0018,0.0001,0.0132,0.0044,0.0007
kultur,13,0.0002,0.0021,0.0004,0.0093,0.0295,0.0006,0.0004,0.0019,0.0001,0.0246,0.0041,0.0003
medium,13,0.0002,0.002,0.0004,0.0003,0.0155,0.0006,0.0573,0.0018,0.0001,0.0018,0.0042,0.0002
sinn,13,0.0002,0.002,0.0004,0.0003,0.0009,0.0005,0.0255,0.0018,0.0046,0.0125,0.0041,0.0003
wahrnehmungsfähigkeit,13,0.0174,0.002,0.0004,0.0003,0.0008,0.0005,0.0004,0.0022,0.0001,0.002,0.004,0.0002
