topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,1,42,7,7,9,66
2,1,4,22,4,19,50
3,2,49,0,4,4,59
4,0,30,4,0,8,42
5,0,52,4,5,7,68
