topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,80,106,73,2,54,315
2,432,209,24,3,24,692
3,185,194,46,7,73,505
4,256,42,77,1,7,383
5,11,191,50,13,63,328
6,28,570,192,15,96,901
7,62,137,105,0,32,336
8,67,116,126,3,120,432
9,106,98,50,4,14,272
10,60,496,51,29,52,688
