term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
natur,1266,0.006,0.065,0.0,0.0,0.0,0.0076,0.0,0.0,0.0,0.0
leben,1009,0.0187,0.0056,0.0053,0.0,0.011,0.0082,0.0145,0.0,0.0,0.0153
entwicklung,938,0.0,0.0064,0.0201,0.0337,0.0,0.0013,0.0006,0.0114,0.0015,0.0061
bedeutung,700,0.0048,0.0179,0.0145,0.0,0.0048,0.0018,0.0,0.0052,0.0,0.0014
handeln,699,0.0,0.0036,0.0056,0.0,0.0047,0.0106,0.0031,0.0,0.0003,0.0173
frage,656,0.0,0.0006,0.0016,0.0,0.0,0.0302,0.0004,0.0022,0.0,0.0
welt,608,0.0006,0.0155,0.0,0.0,0.0,0.0061,0.0131,0.0,0.0,0.006
verantwortung,603,0.0,0.0144,0.0127,0.0,0.0,0.0003,0.0,0.0,0.0,0.0106
tier,591,0.0001,0.0055,0.0,0.0499,0.0,0.0,0.0,0.0,0.0008,0.0
gesellschaft,588,0.0114,0.0,0.0,0.0,0.0049,0.0131,0.0003,0.0,0.0001,0.0123
verschieden,586,0.0047,0.0044,0.0132,0.0,0.0095,0.0044,0.0067,0.0,0.0,0.0016
unterschiedlich,519,0.0032,0.0018,0.0054,0.0,0.0138,0.0052,0.004,0.004,0.0,0.0042
sozial,513,0.0,0.0,0.0015,0.0,0.0226,0.0,0.0013,0.0102,0.0,0.0084
umwelt,483,0.0,0.0131,0.0195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evolution,468,0.0,0.0047,0.0,0.0,0.0,0.0,0.0449,0.0,0.0,0.0
freiheit,463,0.0003,0.0009,0.0051,0.0,0.0,0.0048,0.0011,0.0,0.0,0.0158
historisch,459,0.0,0.0,0.0,0.0,0.0,0.0252,0.0,0.0,0.0,0.0
menschlich,449,0.005,0.0036,0.0018,0.0039,0.0,0.0071,0.0,0.0001,0.0,0.0089
ethik,443,0.0007,0.0009,0.0021,0.0,0.0021,0.0041,0.0029,0.0,0.001,0.0141
umgang,436,0.0,0.0121,0.005,0.0034,0.0094,0.0008,0.0,0.0,0.0008,0.0003
gesellschaftlich,433,0.0012,0.0028,0.0068,0.0,0.0,0.0068,0.0,0.0049,0.0,0.0071
technik,431,0.0041,0.0198,0.0,0.0,0.0,0.0,0.0,0.0029,0.0017,0.0
politisch,426,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0371,0.0,0.0
geschichte,421,0.0,0.0,0.0,0.0002,0.0,0.0226,0.0,0.0,0.0,0.0
inhalt,397,0.0,0.0,0.0032,0.0086,0.0,0.0012,0.0034,0.0,0.0117,0.0077
kulturell,389,0.0121,0.0044,0.0,0.0,0.0147,0.0031,0.0,0.0,0.0,0.0
entwickeln,377,0.0,0.0079,0.0,0.0,0.0085,0.0038,0.0026,0.0,0.0,0.005
kultur,374,0.0163,0.0015,0.0,0.0,0.0,0.0061,0.0046,0.0,0.0,0.0014
zusammenhang,358,0.0125,0.0,0.0085,0.0,0.0016,0.0018,0.0,0.0025,0.0,0.0021
ethisch,346,0.0002,0.0011,0.0073,0.0,0.0,0.0049,0.0027,0.003,0.0002,0.0031
möglichkeit,336,0.0,0.0054,0.0,0.0,0.0,0.0023,0.0,0.003,0.0086,0.006
ökosystem,330,0.0,0.0212,0.0016,0.0,0.0,0.0,0.0,0.0,0.0003,0.0
wesen,328,0.0,0.0,0.0,0.0,0.003,0.0065,0.0,0.0,0.0,0.0098
lernen,322,0.0002,0.0,0.0,0.0,0.0157,0.0039,0.0,0.0069,0.0,0.0
perspektive,312,0.0,0.0033,0.0,0.0,0.0,0.0097,0.0011,0.0,0.0008,0.0042
grundlegend,310,0.0079,0.0049,0.0,0.0,0.0,0.0055,0.0049,0.0,0.0,0.0007
folge,299,0.0,0.0031,0.0059,0.0,0.0003,0.0,0.0009,0.0063,0.0087,0.0
auswirkung,298,0.0,0.0021,0.015,0.0,0.0,0.0,0.0014,0.0004,0.0041,0.0
