term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
identität,10,0.0003,0.0007,0.0004,0.0006,0.0003,0.0002,0.0217
moralisch,10,0.0003,0.0007,0.0004,0.0187,0.0003,0.0002,0.0022
motiv,10,0.0003,0.0007,0.0004,0.0238,0.0002,0.0002,0.0002
nachhaltig,10,0.0003,0.0007,0.0004,0.0254,0.0003,0.008,0.0003
beispiel,9,0.0003,0.0007,0.0004,0.0215,0.0002,0.0002,0.0002
folge,9,0.0003,0.0007,0.0004,0.0321,0.0002,0.0004,0.0002
positionieren,9,0.0003,0.0007,0.0004,0.0379,0.0003,0.0004,0.0063
stehen,9,0.0003,0.0007,0.0004,0.0006,0.0002,0.0003,0.0166
thema,9,0.0185,0.0007,0.0004,0.0017,0.0002,0.0003,0.0011
wahlbereich,9,0.0004,0.0007,0.0004,0.0008,0.0003,0.0003,0.0247
angst,8,0.0005,0.0007,0.0004,0.0184,0.0002,0.0004,0.0002
aspekt,8,0.0003,0.0179,0.0004,0.003,0.0002,0.0006,0.0002
bildung,8,0.0003,0.0007,0.0004,0.0299,0.0003,0.0003,0.0003
einsicht,8,0.0003,0.0188,0.0004,0.003,0.0002,0.0003,0.0002
freiheitlich,8,0.023,0.0007,0.0004,0.0006,0.0002,0.0002,0.0053
gefühl,8,0.0003,0.0007,0.0005,0.0299,0.0002,0.0003,0.0002
grundordnung,8,0.023,0.0007,0.0004,0.0006,0.0002,0.0002,0.0053
politik,8,0.0004,0.0007,0.0004,0.0006,0.0003,0.024,0.0003
unterscheiden,8,0.0003,0.0172,0.0004,0.0006,0.0002,0.0059,0.0002
vermitteln,8,0.0003,0.0214,0.0004,0.0006,0.0002,0.0003,0.0002
zentral,8,0.0003,0.0007,0.0004,0.0029,0.0002,0.0003,0.0148
beurteile,7,0.0003,0.0007,0.0004,0.0247,0.0003,0.0004,0.018
erwerben,7,0.0003,0.0007,0.0004,0.0006,0.0002,0.0191,0.0002
wichtig,7,0.0003,0.0181,0.0004,0.0006,0.0002,0.0005,0.0002
erfordern,6,0.0003,0.0163,0.0004,0.0006,0.0002,0.0002,0.0002
lernbereich,6,0.0003,0.0007,0.0004,0.0254,0.0002,0.0002,0.0002
prägen,6,0.0003,0.0163,0.0004,0.0006,0.0002,0.0002,0.0002
standortbestimmung,6,0.0003,0.0163,0.0004,0.0006,0.0002,0.0002,0.0002
international,5,0.0003,0.0007,0.0004,0.0007,0.0003,0.0005,0.0212
tolerieren,5,0.0003,0.0007,0.0004,0.0006,0.0002,0.0002,0.0172
