topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,16,0.1079,45,29.12
2,1,0.0922,33,32.5177
3,17,0.0871,36,21.4175
4,19,0.0766,25,28.3237
5,9,0.0704,26,48.7362
6,15,0.0692,24,29.848
7,5,0.0669,22,19.8878
8,20,0.0645,22,22.3933
9,2,0.0599,20,18.9699
10,14,0.0521,19,38.1023
11,10,0.0452,14,21.0831
12,3,0.0352,12,39.3997
13,4,0.0317,11,24.1289
14,18,0.0301,12,31.9694
15,8,0.0295,9,49.3595
16,12,0.0261,10,34.52
17,11,0.0243,7,33.7497
18,6,0.0183,5,20.0434
19,13,0.0099,2,55.4574
20,7,0.0029,0,1.0607
