subject,-1_spielen_zustand erkennen_umgehen aversive_knnen umgehen,0_achten_berzeugungen interpretationen_steuern reflektieren_grere gemeinschaften,1_kommunikation_prozesse_verhalten_motivation emotion,entropy,subject_total,subject_proportion
Bio,0.2609,0.2609,0.4783,1.5204,23,0.2035
"Ethik, Philo",0.2308,0.2308,0.5385,1.4573,26,0.2301
Geschichte,0.25,0.375,0.375,1.5613,8,0.0708
"Psychologie, Gesundheit",0.0,0.05,0.95,0.2864,40,0.354
Sozialkunde,0.6875,0.1875,0.125,1.1995,16,0.1416
TOTAL,0.2212,0.177,0.6018,1.3646,113,1.0
