,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities
0,spielen,0.0457,achten,0.0579,kommunikation,0.0182
1,zustand erkennen,0.0394,berzeugungen interpretationen,0.0579,prozesse,0.0154
2,umgehen aversive,0.0394,steuern reflektieren,0.0579,verhalten,0.0144
3,knnen umgehen,0.0394,grere gemeinschaften,0.0579,motivation emotion,0.0135
4,situationsadquat ausdrcken,0.0394,steuern,0.0579,paradigmen,0.0135
5,belastende,0.0394,stellenwert eigenen,0.0579,gedchtnis,0.0135
6,erkennen adressaten,0.0394,stellenwert,0.0579,erlutern,0.0114
7,belastende emotionen,0.0394,fhigkeiten gefhle,0.0579,theorien,0.0114
8,epistemischer,0.0394,sozialer,0.0579,funktion,0.0114
9,empathisch emotionen,0.0394,sozialkompetenz soziale,0.0579,funktionen,0.0114
10,empathisch,0.0394,empathie perspektivenbernahme,0.0579,hinweise,0.0114
11,emotionsregulation emotionale,0.0394,wahrnehmungsfhigkeit,0.0579,gestaltung,0.0104
12,emotionsregulation,0.0394,emotionen berzeugungen,0.0579,kognitive,0.0104
13,emotionen eingehen,0.0394,berzeugungen,0.0579,auseinandersetzen,0.0104
14,emotionen bewltigen,0.0394,eigenmotivation konzentrationsbereitschaft,0.0579,denken,0.0104
15,emotionalen zustand,0.0394,eigenmotivation,0.0579,rolle,0.0104
16,emotionalen,0.0394,eigenen handelns,0.0579,phasen,0.0104
17,emotionale selbstwirksamkeit,0.0394,gruppen grere,0.0579,ausgewhlter,0.0093
18,emotionale kompetenzen,0.0394,versetzen,0.0579,psychologische,0.0093
19,einlassen sache,0.0394,her,0.0579,bezge,0.0093
