topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_spielen_zustand erkennen_umgehen aversive_knnen umgehen,0.24,0.24,0.08,0.0,0.44,1.8009,25,0.2212
0_achten_berzeugungen interpretationen_steuern reflektieren_grere gemeinschaften,0.3,0.3,0.15,0.1,0.15,2.1955,20,0.177
1_kommunikation_prozesse_verhalten_motivation emotion,0.1618,0.2059,0.0441,0.5588,0.0294,1.712,68,0.6018
TOTAL,0.2035,0.2301,0.0708,0.354,0.1416,2.1553,113,1.0
