topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,12,0.1824,295,49.8674
2,4,0.125,186,74.4992
3,15,0.0763,91,61.1443
4,10,0.0748,107,89.6373
5,2,0.0667,80,65.1141
6,9,0.0547,74,90.6161
7,16,0.0446,40,151.6329
8,1,0.0444,52,115.705
9,7,0.0431,43,50.8589
10,18,0.0351,44,79.9017
11,11,0.0337,32,76.9236
12,6,0.0333,37,49.6328
13,5,0.0321,36,112.2283
14,17,0.0304,34,86.1551
15,13,0.0301,33,86.2619
16,20,0.0282,25,109.8443
17,19,0.0259,33,58.3182
18,14,0.0147,19,74.3413
19,3,0.0123,9,94.5681
20,8,0.0122,7,392.3629
