subject_clean,Antike · Gott · Ägypten,Armut · Unterschiedliche · Religionen Weltanschauungen,Diversität · Lebensverhältnisse · Inklusion,Ethik · Philosophie · Internet,Feste · Anthropologie · Kontroversen,Fragen · Besuch · Sozialen,Fragen · Weltbilder · Perspektive,Fächer · Einschätzen · Wissenschaft Weiterbildung,Griechen · Römer · Antike,Grundschule · Ethik · Umgang,Kein Thema (Ausreißer),Landes · Kulturkreis · Politisches,Lernbereich · Heutiger · Schülern,Lernziel · Beispiele · Frühen,Moderne · Lernbereich · Wertewandel,Normen · Perspektiven · Individualität,Polis · Antike · Beispielen,Religionsunterricht · Antike · Antiken,Religionsunterricht · Deutsch · Englisch,Sozialer · Effekte · Natürliche,Wahlbereich · Weimarer · Hellenismus,Wirklichkeit · Weltanschauungen · Fragen,entropy,subject_total,subject_proportion
Bio,0.0,0.0826,0.0,0.0,0.0,0.0,0.0,0.0734,0.0183,0.0,0.0734,0.4312,0.0092,0.0,0.0,0.0092,0.1835,0.0367,0.0183,0.0,0.055,0.0092,2.6256,109,0.0744
"Ethik, Philo",0.0499,0.1473,0.0071,0.0618,0.0309,0.0,0.114,0.0024,0.0024,0.2043,0.0831,0.0048,0.0095,0.0356,0.0499,0.0499,0.0095,0.0,0.0095,0.0451,0.0523,0.0309,3.6518,421,0.2872
Geschichte,0.0299,0.0597,0.0031,0.0079,0.0047,0.0283,0.044,0.0016,0.0189,0.1384,0.1148,0.0,0.0189,0.0535,0.0142,0.0157,0.1808,0.1478,0.0267,0.0,0.077,0.0142,3.6121,636,0.4338
Psychologie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2308,0.0,0.7793,13,0.0089
Sozialkunde,0.0,0.0314,0.0941,0.0105,0.0,0.0,0.0105,0.0523,0.0383,0.0,0.0488,0.5296,0.0383,0.0,0.0,0.0139,0.0383,0.007,0.0174,0.0035,0.0592,0.007,2.6343,287,0.1958
