subject_clean,Bedeutung · Mensch · Emotionale,Bedürfnisse · Soziale · Folgenden,Gedanken · Situationen · Mensch,Kein Thema (Ausreißer),entropy,subject_total,subject_proportion
Bio,0.0,0.6,0.2,0.2,1.371,10,0.0282
"Ethik, Philo",0.0796,0.0,0.9066,0.0138,0.5043,289,0.8164
Geschichte,0.0476,0.0,0.619,0.3333,1.1658,21,0.0593
Psychologie,0.0,0.5,0.5,0.0,1.0,14,0.0395
Sozialkunde,0.0,0.55,0.45,0.0,0.9928,20,0.0565
