document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,2,0.7425614965230413,"man übergeordnete Kompetenzerwartungen sowie die unten aufgeführten inhaltlichen Schwerpunkte aufeinander, so ergeben sich die nachfolgenden konkretisierten Kompetenzerwartungen: Inhaltsfeld : Das Selbst Inhaltliche Schwerpunkte: - Entwürfe des Selbst - Vernunft und Gefühl Sachkompetenz Die Schülerinnen und Schüler diskutieren Lebensrealität, Lebensträume und berufliche Perspektiven, untersuchen den Zusammenhang zwischen Persönlichkeit, Geschlechtlichkeit und Rollen in der Gesellschaft, vergleichen die Bedeutung von Vernunft und Gefühl für",NRW,,Sek1,2024.0,"Ethik, Philo"
1,2,0.4605555869298785,"und Gefühl Sachkompetenz Die Schülerinnen und Schüler diskutieren Lebensrealität, Lebensträume und berufliche Perspektiven, untersuchen den Zusammenhang zwischen Persönlichkeit, Geschlechtlichkeit und Rollen in der Gesellschaft, vergleichen die Bedeutung von Vernunft und Gefühl für ihre Selbstbilder und deren Auswirkungen auf Entscheidungen, erläutern das Potenzial kreativer und spielerischer Zugänge für die persönliche Weiterentwicklung und die Realisierung alternativer Selbstentwürfe, entwerfen Vorstellungen in Bezug auf das",NRW,,Sek1,2024.0,"Ethik, Philo"
2,8,0.9437383971764277,"mit Anderen leistet. überprüfen in der Begegnung mit anderen Menschen ihre spontanen Urteile über sie, respektieren deren Recht, anders zu sein, und nehmen dieses Recht auch für sich wahr. vollziehen Gefühle, Gedanken und Probleme von anderen nach und berücksichtigen diese in ihren Entscheidungen und Handlungen, z. B. in der Teamarbeit mit Gleichaltrigen. verstehen die graduellen Unterschiede zwischen Toleranz, Solidarität und Freundschaft",Bayern,Gym,6,,"Ethik, Philo"
3,1,0.3785842357203283,"ihrem eigenen Alltag. setzen sich für Außenseiter und Benachteiligte ein, z. B. in ihrer Klassengemeinschaft. verwenden einfache Strategien, auf sozial verträgliche Weise Nein zu sagen. spiegeln ihrem Gesprächspartner Inhalte und Gefühle. Inhalte zu den Kompetenzen: Selbstentfaltung und Selbstbegrenzung, Toleranz, Solidarität und Freundschaft der Andere als der Unbekannte: Quellen für Missverständnisse und Fehlinterpretationen von Motiven und Wertvorstellungen Kommunikation in der Gleichaltrigengruppe; Nein-Sagen,",Bayern,Gym,6,,"Ethik, Philo"
4,5,0.9666658035837163,"fördern, Phänomene wahrzunehmen, zu beschreiben und zu strukturieren. Dadurch wird ein altersgemäßes Problembewusstsein möglich. Die Schülerinnen und Schüler ... - stellen ihr Vorwissen, ihr Vorverständnis, ihre aktuellen Eindrücke sowie ihre Gefühle zu moralisch relevanten Begebenheiten dar, - beschreiben ihre Assoziationen zu dem jeweiligen Themenschwerpunkt, - skizzieren Fragen und Erwartungen zu dem ins Auge gefassten Inhalt. Verstehen und Reflektieren Dieser Kompetenzbereich enthält",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
5,2,0.9470565288630277,"oder schlecht beschrieben oder sogar als unwichtig verdrängt werden. Andererseits treten gerade bei jungen Menschen Situationen auf, in denen sie von unbestimmten Gefühlen beherrscht werden. Denkanstöße Was ist das, ein Gefühl Was wäre eine Welt ohne Gefühle Kann man seine Gefühle kontrollieren Kompetenzerwartungen Die Schülerinnen und Schüler können eigene Perspektiven und Gefühle von denen anderer unterscheiden Umgang mit Gefühlen, Sachverhalte/Gedanken mit",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
6,9,0.9666660563257842,"Qualität, Intensität, Häufigkeit, Dauer, Situationsabhängigkeit, beschreiben den Zusammenhang von Gefühlen und Gedanken. Brainstorming, Mindmap: Sammeln von Gefühlen Malen von Gefühlen Betrachten von Situationen, die Gefühle auslösen; Formulieren von mit dem Gefühl auftauchenden Gedanken; Verändern der Gedanken: Verändern sich auch Gefühle Umgang mit Gefühlen Die Schülerinnen und Schüler beschreiben und bewerten die Informationsfunktion von Gefühlen Selbsterkenntnis, identifizieren Gefühle in bestimmten Situationen, beschreiben",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
7,10,0.8438072600414928,"Gefühle in bestimmten Situationen, beschreiben verschiedene Möglichkeiten auf Gefühle zu reagieren und erläutern Folgen der jeweiligen Reaktionen, beschreiben Möglichkeiten, Gefühle zu kontrollieren Beenden von Sätzen der Form Wenn ich Situation Gefühl bin, merke ich, dass ich auf eine bestimmte Weise betroffen bin. Pantomime: Ableiten von Gefühlen aus Mimik, Gestik, Körperhaltung Herumgehen-Lassen von Situationskarten im Sitzkreis: Nachbar muss eigenes Gefühl angesichts der",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
8,10,0.9653836056465304,"ich Situation Gefühl bin, merke ich, dass ich auf eine bestimmte Weise betroffen bin. Pantomime: Ableiten von Gefühlen aus Mimik, Gestik, Körperhaltung Herumgehen-Lassen von Situationskarten im Sitzkreis: Nachbar muss eigenes Gefühl angesichts der Situation bestimmen Reflexion, ob nicht auch schmerzhafte/unangenehme Gefühle sinnvoll sind Sein: Ich Mensch sein Ethik / Meine Gefühle inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Exemplarisches Analysieren eines Gefühls Die Schülerinnen",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
9,10,0.9437484640188778,"Die Schülerinnen und Schüler vergleichen ähnliche Gefühle und beschreiben die Eigenart des betrachteten Gefühls, identifizieren Auslöser des Gefühls, beschreiben die Folgen des Gefühls für den Fühlenden, beschreiben Möglichkeiten, mit dem Gefühl umzugehen, beschreiben helfende Einflussmöglichkeiten durch andere. Unterscheiden von z. B. Angst, Panik, Furcht oder Freude, Begeisterung, Entzückung Sätze beenden: Angst/Freude empfinde ich, wenn ... Analyse: Wie werden Gefühle in Filmen,",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
10,9,0.9571327138666104,"Wohlbefinden in der Schule und eine wichtige Voraussetzung für schulischen Erfolg. Denkanstöße Wer gehört zur Klassengemeinschaft und welche Zwecke erfüllt sie Braucht eine Klassengemeinschaft besondere Regeln Braucht eine Klassengemeinschaft ein Wir-Gefühl Kompetenzerwartungen Die Schülerinnen und Schüler können verschiedene Argumente zu einem Problem sammeln und in der Gruppe auf ihre Relevanz und Güte prüfen Gemeinschaften, eigene Urteile durch den Verweis auf Regeln,",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
11,2,0.9181732503011354,"Rettungsboot über Religionsgemeinschaften bis hin zu Sportvereinen Darstellung von Beispielen in einer Mindmap: Welche Zwecke verfolgen die Gemeinschaften und wie erfolgreich sind sie dabei Wettbewerb: Erfinden eines Slogans, der das Wir-Gefühl der Klasse widerspiegelt Klassengemeinschaft Die Schülerinnen und Schüler beschreiben gemeinsame Ziele und Aktivitäten der Klassengemeinschaft, unterscheiden Freundin/Freund von Mitschülerin/Mitschüler, hinterfragen Ausgrenzungen aus der Klassengemeinschaft. Zielbestimmungen von Klassengemeinschaften: z. B. gutes",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
12,7,0.9499936283286858,"beschreiben Ursachen, Faktoren und Folgen von Armut und Wohlstand: o soziale Unterschiede, o elementare/normale Bedürfnisse/Luxus, o unterschiedliche Chancen Fairness, Gerechtigkeit, o Kinderarbeit Kinderrechte. Ist Armut sichtbar, messbar oder nur ein Gefühl vergleichend: Zahlen/Fakten zur Armut innerhalb unserer Gesellschaft/in der Dritten Welt; Internetrecherche, Gedankenexperiment: Stell dir vor, du wärst reich, arm, im Land x als y geboren etc. Diskussion: Wer arm ist,",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
13,3,0.647957602888547,Lehrplan Allgemeine Ethik Gemeinschaftsschule Klassenstufen und - Erprobungsphase Themen Klassenstufen / Ethik Sein Stunden Ich Stunden Wer bin ich - Wer will ich sein Mensch sein Mädchen-/Junge-Sein Meine Gefühle Stärken/Schwächen - Erfolge/Misserfolge Ich und die anderen Stunden Familie In Gemeinschaft leben Freundschaft Klassengemeinschaft Die Welt Stunden Medien und soziale Netzwerke Kultur Armut und Wohlstand Schönheit der Natur - Natur,Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
14,2,0.9307616876637234,"Was soll aus mir werden Kompetenzerwartungen Die Schülerinnen und Schüler können Sinnestäuschungen und emotionale Befangenheit beschreiben und reflektieren Wer bin ich, Wahrnehmungen differenziert beschreiben Wer bin ich, eigene Perspektiven und Gefühle von denen anderer unterscheiden Wer bin ich, Handlungsmuster z. B. Gewohnheiten beschreiben und vergleichen Wer will ich sein, Sachverhalte/Gedanken mit Hilfe eines Brainstormings oder einer Mindmap darstellen Wer bin ich.",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
15,5,0.559728643572703,"zu sein Haben Mädchen und Jungen gleiche Möglichkeiten Was würde sich in meinem Alltag ändern, wenn ich ein anderes Geschlecht hätte Kompetenzerwartungen Die Schülerinnen und Schüler können eigene Perspektiven und Gefühle von denen anderer unterscheiden Erwartungen anderer, beim Kommunizieren Sach- und Emotionsebene unterscheiden Umgang mit dem anderen Geschlecht, in Texten Informationsanteile von Meinungsanteilen unterscheiden Typisch Junge, typisch Mädchen, ein ethisch relevantes",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
