subject,-1_mensch_natur_beschreiben_leben,0_mensch_natur_leben_technik,1_entwicklung_evolution_lebewesen_beschreiben,2_tieren_tiere_tier_mensch tier,3_wrde_tollen menschen_tollen_frei,4_mensch_natur_mensch welt_grundfragen,5_handeln menschen_historischen_bercksichtigung_handeln,6_wahlbereich_ustd_lernbereich_lernbereiche,7_sollen fhigkeit_zhlen_angemessener_konstruktiv,8_bildungs_menschen darauf_verwirklichen_bereitet,9_rolle spielen_spielen_wahrheit_lgen,entropy,subject_total,subject_proportion
Bio,0.2743,0.0995,0.582,0.0194,0.0,0.0117,0.0,0.007,0.0031,0.0031,0.0,1.5847,1287,0.2653
"Ethik, Philo",0.3238,0.5831,0.0116,0.031,0.0283,0.0079,0.0,0.0042,0.0019,0.0014,0.0069,1.5236,2159,0.445
Geschichte,0.1713,0.7746,0.0076,0.0,0.0038,0.0,0.0277,0.0038,0.0038,0.0076,0.0,1.0626,794,0.1636
Psychologie,0.1818,0.7792,0.013,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.9458,77,0.0159
Sozialkunde,0.1607,0.8075,0.0093,0.0,0.0,0.0,0.0037,0.0019,0.0131,0.0037,0.0,0.8951,535,0.1103
TOTAL,0.2655,0.514,0.162,0.019,0.0132,0.0066,0.0049,0.0045,0.0041,0.0031,0.0031,1.8229,4852,1.0
