topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_mensch_natur_beschreiben_leben,0.2741,0.5427,0.1056,0.0109,0.0668,1.6644,1288,0.2655
0_mensch_natur_leben_technik,0.0513,0.5048,0.2466,0.0241,0.1732,1.7833,2494,0.514
1_entwicklung_evolution_lebewesen_beschreiben,0.9529,0.0318,0.0076,0.0013,0.0064,0.3369,786,0.162
2_tieren_tiere_tier_mensch tier,0.2717,0.7283,0.0,0.0,0.0,0.8439,92,0.019
3_wrde_tollen menschen_tollen_frei,0.0,0.9531,0.0469,0.0,0.0,0.273,64,0.0132
4_mensch_natur_mensch welt_grundfragen,0.4688,0.5312,0.0,0.0,0.0,0.9972,32,0.0066
5_handeln menschen_historischen_bercksichtigung_handeln,0.0,0.0,0.9167,0.0,0.0833,0.4138,24,0.0049
6_wahlbereich_ustd_lernbereich_lernbereiche,0.4091,0.4091,0.1364,0.0,0.0455,1.6497,22,0.0045
7_sollen fhigkeit_zhlen_angemessener_konstruktiv,0.2,0.2,0.15,0.1,0.35,2.2016,20,0.0041
8_bildungs_menschen darauf_verwirklichen_bereitet,0.2667,0.2,0.4,0.0,0.1333,1.8892,15,0.0031
9_rolle spielen_spielen_wahrheit_lgen,0.0,1.0,0.0,0.0,0.0,0.0,15,0.0031
TOTAL,0.2653,0.445,0.1636,0.0159,0.1103,1.9006,4852,1.0
