state,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,Total
Baden-Württemberg,3,2,3,2,2,12
Bayern,9,13,17,1,24,64
Berlin,3,2,2,2,5,14
Bremen,2,3,2,1,5,13
Hamburg,4,3,3,2,7,19
Hessen,5,5,5,0,6,21
KMK,2,2,1,1,2,8
Mecklenburg-Vorpommern,4,3,4,0,3,14
Niedersachsen,4,6,5,0,6,21
Nordrhein-Westfalen,5,2,5,1,6,19
Rheinland-Pfalz,3,4,1,0,4,12
Saarland,9,11,8,0,11,39
Sachsen,2,3,2,0,2,9
Sachsen-Anhalt,2,2,2,1,4,11
Schleswig-Holstein,2,1,1,0,1,5
Thüringen,4,2,2,0,6,14
Total,63,64,63,11,94,295
