subject,-1_konsum_lernen_medien_positionen,0_eigene_bedrfnis_sucht_menschen,1_interessen_handeln_interessen bedrfnisse_themenfelder,2_lernenden_emotionen_sozialkompetenz_realitt,3_familie_eth_bedrfnisse wnsche_individualitt,4_sexualitt_liebe_lebensformen_akzeptanz lebensformen,5_fhigkeiten_verantwortlich_sehen_wirklichkeit,6_mensch_kinderarbeit_schuljahrgang_grundbedrfnisse,7_wnsche_bedrfnisse wnsche_kriterien_vergleichen,8_chancen_risiken_internet_erfahrungen,9_klassenstufen_diskutieren_klassenstufe_dialogpartner,entropy,subject_total,subject_proportion
Bio,0.125,0.275,0.1,0.15,0.0,0.075,0.15,0.075,0.025,0.025,0.0,2.8671,40,0.0625
"Ethik, Philo",0.1605,0.4684,0.05,0.0263,0.0289,0.0658,0.0237,0.0605,0.0553,0.0289,0.0316,2.6056,380,0.5938
Geschichte,0.1458,0.1458,0.4167,0.1458,0.0,0.0,0.125,0.0,0.0,0.0208,0.0,2.2328,48,0.075
Psychologie,0.5,0.2857,0.0,0.2143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4926,14,0.0219
Sozialkunde,0.1013,0.0949,0.5506,0.038,0.1076,0.0,0.038,0.0,0.0253,0.019,0.0253,2.2126,158,0.2469
TOTAL,0.15,0.3359,0.2031,0.05,0.0438,0.0438,0.0422,0.0406,0.0406,0.025,0.025,2.8517,640,1.0
