term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
kritisch,33,0.0141,0.0011,0.0016,0.0001,0.0127,0.0023,0.0011,0.0013,0.0008,0.0023,0.0001,0.0006,0.0004,0.0242,0.0004,0.0009,0.0001,0.0066,0.0003,0.0002
politisch,33,0.0001,0.0011,0.0016,0.0001,0.0135,0.0025,0.0102,0.0001,0.0008,0.0023,0.0001,0.0006,0.0009,0.0002,0.0004,0.0009,0.0164,0.0137,0.0043,0.0002
handeln,32,0.0003,0.0011,0.0016,0.0054,0.006,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.015,0.0003,0.0548
hinweiseaspektebeispiele,32,0.0002,0.0011,0.0017,0.0001,0.0253,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0099,0.0002,0.0004,0.0009,0.0001,0.0005,0.0193,0.0002
lebenskunst,32,0.0458,0.0012,0.0016,0.0001,0.0002,0.0027,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0061,0.0084,0.0004,0.0009,0.0002,0.0001,0.0003,0.0004
geschichtsphilosophie,31,0.0001,0.0011,0.0017,0.0001,0.016,0.0023,0.0049,0.0001,0.0008,0.0023,0.0001,0.0006,0.0358,0.0002,0.0106,0.0009,0.0051,0.0007,0.0003,0.0002
möglichkeit,31,0.0001,0.0011,0.0016,0.0001,0.0165,0.0024,0.009,0.0043,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.001,0.0002,0.0165,0.0003,0.0048
gott,30,0.0001,0.0011,0.0016,0.0001,0.0028,0.0023,0.0019,0.0001,0.0008,0.0023,0.0861,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.0004,0.0003,0.0002
perspektive,30,0.0102,0.0011,0.0016,0.0001,0.0001,0.0023,0.0013,0.0151,0.0231,0.0024,0.0001,0.0242,0.0135,0.001,0.0004,0.001,0.0001,0.0125,0.0003,0.0002
reflexion,30,0.0147,0.0011,0.0016,0.0206,0.0007,0.0023,0.0001,0.0014,0.0008,0.0023,0.0001,0.0006,0.0145,0.0009,0.0004,0.0009,0.0076,0.0025,0.0003,0.0002
verbindlich,30,0.004,0.0011,0.0016,0.0004,0.0001,0.0025,0.0001,0.0033,0.0008,0.0023,0.0001,0.0074,0.0004,0.0043,0.0265,0.0009,0.0226,0.0002,0.0003,0.0159
voraussetzung,29,0.0027,0.0011,0.0016,0.0033,0.0001,0.0023,0.0036,0.0007,0.0008,0.0023,0.0001,0.0006,0.0004,0.0078,0.0004,0.0009,0.0023,0.0139,0.0211,0.0024
glück,28,0.0016,0.1894,0.0016,0.0001,0.0103,0.0023,0.0001,0.0091,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0001,0.0002,0.0003,0.0002
grundlegend,28,0.0001,0.0011,0.0016,0.0085,0.0001,0.0024,0.0056,0.0266,0.0339,0.0023,0.0001,0.0006,0.0007,0.0002,0.0004,0.0009,0.0001,0.0001,0.0003,0.0053
inhalt,28,0.0038,0.0011,0.0016,0.0006,0.0003,0.0024,0.0055,0.0001,0.0357,0.0023,0.0001,0.0006,0.0004,0.0002,0.0066,0.001,0.0202,0.0001,0.0003,0.017
kulturphilosophie,28,0.0002,0.0011,0.0016,0.0001,0.0198,0.0023,0.0001,0.0001,0.0008,0.0023,0.0001,0.0006,0.0478,0.0002,0.0004,0.0009,0.0001,0.0001,0.0003,0.0002
weltanschauung,28,0.0001,0.0012,0.0016,0.0176,0.0019,0.0023,0.0001,0.0039,0.0008,0.0023,0.0001,0.0619,0.0004,0.0002,0.0004,0.001,0.0001,0.0001,0.0003,0.0174
unterschiedlich,27,0.0027,0.0011,0.0016,0.0135,0.0001,0.0023,0.0001,0.0027,0.0008,0.0023,0.0001,0.0006,0.0263,0.024,0.0065,0.0009,0.0063,0.0002,0.0003,0.0002
gesellschaftlich,26,0.0078,0.0011,0.0016,0.0001,0.003,0.0025,0.0018,0.0046,0.0008,0.0023,0.0001,0.0006,0.0005,0.0003,0.0004,0.001,0.0085,0.0091,0.0003,0.0064
kant,26,0.0143,0.0195,0.0016,0.0001,0.0001,0.0023,0.0093,0.0003,0.0008,0.0024,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0034,0.0061,0.0003,0.0002
kunst,26,0.0076,0.0011,0.0017,0.0001,0.0189,0.0024,0.0003,0.0016,0.0008,0.0023,0.0001,0.0006,0.0004,0.0057,0.0004,0.0009,0.0001,0.0001,0.0003,0.0002
rechtsphilosophie,26,0.0002,0.0011,0.0016,0.0001,0.0157,0.0023,0.0067,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0108,0.0009,0.0005,0.0001,0.0055,0.0002
