term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
potenz,23,0.0001,0.0147,0.0134,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0122,0.0005,0.0003
wirtschaftsordnung,23,0.0001,0.0005,0.0002,0.0026,0.002,0.0003,0.0241,0.0007,0.0011,0.0001,0.0005,0.0003
ziel,23,0.009,0.0005,0.0002,0.0001,0.002,0.0003,0.0241,0.0007,0.0011,0.0001,0.0005,0.0003
modell,22,0.0001,0.0164,0.0019,0.0223,0.002,0.0003,0.0001,0.0109,0.0011,0.0001,0.0005,0.0033
lernleistung,21,0.0001,0.0005,0.0002,0.0077,0.0019,0.0003,0.0001,0.0007,0.0011,0.0168,0.0005,0.0003
preisbildung,21,0.0001,0.0005,0.0002,0.0129,0.0019,0.0003,0.005,0.0007,0.0011,0.0001,0.0005,0.0003
erkenntnisgewinnung,20,0.0001,0.0005,0.0002,0.0001,0.002,0.0053,0.0001,0.0007,0.0011,0.0187,0.0005,0.0003
erörtern,20,0.0477,0.0005,0.0002,0.0001,0.002,0.0003,0.0002,0.0007,0.0011,0.0001,0.0005,0.0004
nachhaltig,20,0.0001,0.0005,0.0035,0.0001,0.0022,0.0052,0.01,0.0007,0.0011,0.0047,0.0005,0.0003
verschieden,20,0.0001,0.0084,0.0071,0.0062,0.002,0.0003,0.0139,0.0007,0.0011,0.0012,0.0196,0.0003
grenze,19,0.017,0.0045,0.0003,0.0024,0.002,0.0003,0.0042,0.0007,0.0011,0.0001,0.0005,0.0006
konflikt,19,0.0004,0.0005,0.0002,0.0125,0.0021,0.0194,0.0001,0.0012,0.0011,0.0001,0.0005,0.0132
herausforderung,18,0.0004,0.0005,0.0003,0.0001,0.002,0.0003,0.0092,0.0007,0.0174,0.0001,0.0005,0.0105
selektion,18,0.0001,0.0105,0.0002,0.0001,0.002,0.0388,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
umfassend,18,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0188,0.0005,0.0003
wechselwirkung,18,0.0001,0.0005,0.0055,0.0001,0.0024,0.0004,0.0001,0.0007,0.0011,0.0155,0.0005,0.0003
europa,17,0.0001,0.0089,0.0002,0.0001,0.002,0.0266,0.0001,0.0022,0.0011,0.0001,0.0005,0.009
frei,17,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0233,0.0007,0.0011,0.0001,0.0005,0.0003
bne,16,0.0001,0.0005,0.0036,0.0062,0.002,0.0053,0.0021,0.0209,0.0011,0.0002,0.0005,0.0082
licht,16,0.0001,0.0005,0.0003,0.0001,0.0022,0.0003,0.0001,0.0007,0.0174,0.0145,0.0006,0.0003
möglichkeit,16,0.0189,0.009,0.0003,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0046
population,16,0.0001,0.0005,0.0003,0.0001,0.0022,0.0003,0.0001,0.0007,0.0011,0.0166,0.0005,0.0003
staatlich,16,0.0001,0.0005,0.0002,0.0006,0.002,0.0003,0.0126,0.0007,0.0011,0.0001,0.0005,0.001
tier,16,0.0001,0.0005,0.002,0.0001,0.0025,0.0003,0.0001,0.0007,0.0419,0.0103,0.0006,0.0003
wirtschaft,16,0.0001,0.0005,0.0002,0.0001,0.002,0.0035,0.0126,0.0007,0.0011,0.0001,0.0005,0.0003
zentral,16,0.0001,0.0005,0.0002,0.0001,0.002,0.0028,0.0129,0.0007,0.0011,0.0001,0.0005,0.0003
beitrag,15,0.0001,0.0006,0.0002,0.0067,0.0019,0.0003,0.0003,0.0115,0.0011,0.0074,0.0005,0.0061
demokratisch,15,0.0001,0.0005,0.0002,0.0134,0.002,0.0003,0.0018,0.0007,0.0011,0.0001,0.0005,0.0149
ergebnis,15,0.0001,0.0084,0.0003,0.0001,0.002,0.0003,0.0018,0.0161,0.0011,0.0084,0.0005,0.0003
geschichte,15,0.0001,0.0045,0.0034,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0248
prinzip,15,0.0004,0.0005,0.0002,0.0132,0.002,0.0003,0.0074,0.0007,0.0011,0.0002,0.0005,0.0003
variabilität,15,0.0001,0.0173,0.0002,0.0001,0.002,0.0269,0.0002,0.0008,0.0011,0.0001,0.0005,0.0003
vollkommen,15,0.0001,0.0005,0.0002,0.0127,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
wirtschaftspolitisch,15,0.0006,0.0005,0.0003,0.0001,0.002,0.0003,0.012,0.0007,0.0011,0.0001,0.0005,0.0003
ökologie,15,0.0001,0.0432,0.0002,0.0003,0.002,0.0003,0.0001,0.0007,0.0011,0.0042,0.0005,0.0004
akteur,14,0.0013,0.0005,0.0002,0.0001,0.002,0.0003,0.0068,0.0114,0.0183,0.0001,0.0005,0.0003
bundesrepublik,14,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0046,0.0007,0.0011,0.0001,0.0005,0.0187
einflussfaktor,14,0.0007,0.0005,0.0037,0.0092,0.0176,0.0003,0.0001,0.0007,0.0191,0.0001,0.0005,0.0003
einnischung,14,0.0001,0.0124,0.0002,0.0001,0.002,0.0003,0.0001,0.016,0.0011,0.0084,0.0005,0.0003
entstehung,14,0.0001,0.0014,0.0019,0.0001,0.002,0.0296,0.0001,0.0007,0.0011,0.0001,0.0005,0.0024
fachübergreifend,14,0.0001,0.0005,0.0037,0.0077,0.002,0.0003,0.0001,0.0007,0.0182,0.0053,0.0005,0.0003
form,14,0.0001,0.0005,0.0002,0.0001,0.002,0.0121,0.0131,0.0007,0.0092,0.0012,0.0005,0.005
krieg,14,0.0001,0.0005,0.0002,0.0001,0.002,0.0208,0.0001,0.0007,0.0011,0.0002,0.0005,0.0117
land,14,0.0029,0.0005,0.0002,0.0001,0.002,0.0006,0.0001,0.0115,0.0011,0.0074,0.0005,0.0003
problem,14,0.0003,0.0005,0.0002,0.0001,0.002,0.0004,0.0097,0.0129,0.0011,0.0001,0.0005,0.0003
prozeß,14,0.0238,0.0005,0.0003,0.0119,0.002,0.0004,0.0001,0.0007,0.0011,0.0001,0.0005,0.0023
stellen,14,0.0013,0.0005,0.0049,0.0076,0.0176,0.0003,0.0014,0.0007,0.0011,0.0022,0.0005,0.0004
struktur,14,0.0001,0.0005,0.014,0.0001,0.002,0.008,0.0015,0.0007,0.0011,0.0001,0.0005,0.0033
versus,14,0.0017,0.0006,0.0002,0.0203,0.002,0.0003,0.0015,0.0007,0.0011,0.0001,0.0005,0.0003
