term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
inhalt,44,0.0001,0.0084,0.0,0.0197,0.0019,0.0158,0.0,0.0002,0.0033,0.0001,0.0003,0.0001
ethik,42,0.0036,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0164,0.0001,0.0003,0.0064
verantwortlich,42,0.0,0.0001,0.0178,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.005,0.0003,0.0028
setzen,41,0.0001,0.0001,0.0056,0.0001,0.0016,0.0071,0.0013,0.0002,0.0014,0.0021,0.0003,0.0109
gruppe,41,0.0172,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0116,0.0003,0.0001
identität,41,0.0001,0.0001,0.0,0.0354,0.0041,0.0001,0.0006,0.0002,0.0032,0.0031,0.0003,0.001
freundschaft,40,0.003,0.0029,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0056,0.0199,0.0003,0.0001
aspekt,39,0.0,0.0001,0.0083,0.0001,0.0001,0.0001,0.0028,0.0002,0.0001,0.0043,0.0194,0.0051
grenze,39,0.0001,0.0001,0.0163,0.0001,0.0001,0.0001,0.0021,0.0002,0.0001,0.0039,0.0003,0.0001
politisch,38,0.0001,0.0001,0.0001,0.0001,0.0279,0.0001,0.0001,0.0002,0.0001,0.0001,0.0003,0.0001
voraussetzung,38,0.018,0.0001,0.0037,0.0001,0.0001,0.0001,0.0007,0.0002,0.0001,0.0001,0.0003,0.0001
nachhaltig,37,0.0,0.0289,0.0,0.0001,0.0057,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
sozialkompetenz,37,0.016,0.0001,0.0026,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0235,0.0001
ökonomisch,37,0.0037,0.0328,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
emotion,36,0.0194,0.0001,0.0005,0.0001,0.0001,0.0001,0.0001,0.0002,0.0021,0.0001,0.0003,0.0001
potenzial,35,0.0,0.0001,0.0189,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
grundlegend,35,0.0001,0.0001,0.0007,0.0001,0.0001,0.0001,0.0111,0.0002,0.0001,0.0001,0.0003,0.0046
ziel,35,0.0,0.012,0.0,0.0001,0.0063,0.0001,0.0001,0.0298,0.0001,0.0001,0.0003,0.0001
befriedigung,34,0.0023,0.0001,0.0,0.0252,0.0093,0.0001,0.0001,0.0002,0.0001,0.0001,0.0003,0.0001
chance,34,0.003,0.0001,0.0023,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0182
struktur,34,0.0001,0.0001,0.0031,0.0001,0.0151,0.0001,0.0013,0.0002,0.0001,0.0001,0.0003,0.0039
persönlich,33,0.0,0.0001,0.0001,0.0081,0.0001,0.0001,0.004,0.0002,0.0001,0.0001,0.0003,0.0129
wirklichkeit,33,0.0,0.0001,0.0154,0.0001,0.0001,0.0057,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
handlung,33,0.0001,0.0029,0.0001,0.0001,0.0001,0.0001,0.0031,0.0002,0.0138,0.0001,0.0003,0.0001
klassenstuf,33,0.0077,0.0001,0.0018,0.0001,0.0001,0.0001,0.0,0.0002,0.0108,0.0001,0.0003,0.0001
nutzen,32,0.0001,0.0001,0.0,0.0001,0.0173,0.0014,0.0033,0.0002,0.0001,0.0001,0.0003,0.0001
sehen,32,0.0001,0.0001,0.0145,0.0001,0.0001,0.0001,0.0025,0.0002,0.0001,0.0001,0.0003,0.0001
ding,32,0.0088,0.0001,0.0,0.0001,0.0001,0.0184,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
stellen,32,0.0001,0.0001,0.0,0.0001,0.0001,0.0024,0.0,0.0394,0.002,0.0001,0.0305,0.0001
ethisch,32,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0048,0.0002,0.0085,0.0001,0.0207,0.0001
wandel,32,0.0,0.0001,0.0024,0.0033,0.0137,0.0001,0.0,0.0169,0.0001,0.0001,0.0003,0.0001
anforderung,31,0.0099,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0113
innerhalb,30,0.0002,0.0001,0.0,0.0001,0.002,0.0002,0.0012,0.0119,0.0001,0.016,0.0004,0.0001
knappheit,30,0.003,0.0001,0.0,0.0001,0.0191,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
methodischdidaktisch,29,0.0003,0.0001,0.0,0.0001,0.0001,0.0053,0.0,0.0002,0.0035,0.0156,0.0003,0.0001
art,29,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0051,0.0002,0.0099,0.0001,0.0003,0.0001
jugendliche,29,0.0001,0.0001,0.0,0.016,0.0001,0.0001,0.0011,0.0002,0.0047,0.0001,0.0003,0.0055
kognitiv,29,0.0178,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
kriterium,29,0.0021,0.0142,0.0001,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0071,0.0003,0.0015
abhängigkeit,28,0.0001,0.0001,0.0007,0.0001,0.0001,0.0001,0.0014,0.0103,0.0096,0.0001,0.0003,0.0021
partner,28,0.0084,0.0001,0.0,0.0145,0.0001,0.0001,0.0,0.0002,0.0026,0.0001,0.0003,0.0001
realität,28,0.0172,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
inhaltsbezogen,28,0.0003,0.0001,0.0,0.0001,0.0001,0.0053,0.0,0.0002,0.0028,0.0156,0.0003,0.0001
psychisch,27,0.0147,0.0029,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
religiös,27,0.0,0.0051,0.0,0.0001,0.0001,0.0001,0.0028,0.0002,0.0001,0.0001,0.0172,0.0069
sinn,27,0.0,0.0001,0.0025,0.0061,0.0004,0.0001,0.0,0.0002,0.0022,0.0033,0.0228,0.003
verhalten,27,0.0001,0.0128,0.0001,0.0001,0.0001,0.0001,0.0018,0.0002,0.0001,0.0064,0.0072,0.0001
relevanz,26,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0127,0.0048,0.0003,0.0001
dar,26,0.0001,0.0001,0.0,0.0001,0.0001,0.0014,0.0,0.0536,0.0001,0.0001,0.0003,0.0001
system,26,0.0,0.0001,0.0,0.0001,0.0193,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
vielfältig,26,0.0,0.0001,0.0,0.0211,0.0001,0.0001,0.003,0.0002,0.0001,0.0001,0.0003,0.0027
lebensgestaltung,26,0.0,0.0001,0.0144,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
aufgabe,25,0.0001,0.0001,0.0,0.0316,0.0001,0.0001,0.0014,0.0002,0.0001,0.0001,0.0003,0.0001
beitrag,25,0.0001,0.0123,0.0001,0.0001,0.0001,0.0001,0.0025,0.0002,0.0041,0.0001,0.0003,0.0001
ressource,25,0.0,0.0188,0.0,0.0001,0.0041,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
definieren,25,0.0001,0.0001,0.0,0.0001,0.0001,0.0141,0.0,0.0002,0.0075,0.0001,0.0003,0.0001
überzeugung,25,0.0153,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
arbeitsprozesse,24,0.0147,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
eigenmotivation,24,0.0147,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
einzeln,24,0.0047,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.012,0.0003,0.0019
geistig,24,0.0,0.0001,0.0134,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
gestalterisch,24,0.0,0.0001,0.0134,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
interpretation,24,0.0147,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
kommunikation,24,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0041,0.0002,0.0001,0.0011,0.0003,0.0098
konzentrationsbereitschaft,24,0.0147,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
miteinander,23,0.0001,0.0001,0.0001,0.0001,0.0022,0.0001,0.0,0.0002,0.0001,0.0152,0.0003,0.0016
privat,23,0.0004,0.0001,0.0,0.0001,0.001,0.0041,0.0,0.0002,0.0001,0.0001,0.0003,0.0138
gestalten,23,0.0006,0.0001,0.0,0.0001,0.0133,0.0001,0.0,0.0002,0.0027,0.0001,0.0003,0.0001
akteur,22,0.0,0.0001,0.0,0.0001,0.0166,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
emotional,22,0.0,0.0037,0.0,0.0266,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0003,0.0001
unsicherheit,22,0.0,0.0001,0.0043,0.0001,0.0001,0.0001,0.0,0.0224,0.0001,0.0001,0.0003,0.0027
verbindlich,22,0.0001,0.0001,0.0,0.003,0.0099,0.0001,0.0,0.0002,0.0007,0.0001,0.021,0.0001
vorgegeben,22,0.0001,0.0001,0.0024,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.014,0.0003,0.0014
identifizieren,22,0.0001,0.0001,0.0007,0.0001,0.0001,0.0001,0.0,0.0002,0.0012,0.0034,0.0003,0.0106
mangelnd,22,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.045,0.0001,0.0001,0.0003,0.0001
menschenwürde,22,0.0,0.0067,0.0,0.0001,0.0001,0.0107,0.0,0.0002,0.0031,0.0001,0.0003,0.0001
religion,21,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0002,0.0008,0.0001,0.0003,0.0141
digital,21,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.016
erziehung,21,0.0,0.0001,0.0,0.0308,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
global,21,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.009,0.0002,0.0001,0.0001,0.0003,0.0001
auseinander,20,0.0,0.001,0.0028,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0104
pflicht,20,0.0001,0.0001,0.0,0.0031,0.0001,0.0124,0.0,0.0103,0.0001,0.002,0.0003,0.0001
risiko,20,0.0001,0.0001,0.0007,0.0001,0.0022,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0121
erfahrung,20,0.0,0.0001,0.0036,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0003,0.0099
geld,20,0.0001,0.0001,0.0,0.0001,0.0001,0.0234,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
vorurteil,20,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0124,0.0001,0.0003,0.0001
weltanschauung,20,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.004,0.0001,0.0003,0.0097
glücklich,20,0.0013,0.0111,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0036,0.0001,0.0003,0.0001
wirtschaft,20,0.0,0.0001,0.0,0.0001,0.0146,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
golden,20,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0123,0.0001,0.0003,0.0001
individualität,20,0.0001,0.0001,0.0,0.0285,0.0001,0.0001,0.0004,0.0002,0.0001,0.0001,0.0003,0.0001
aktuell,19,0.0,0.0111,0.0,0.0106,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
bild,19,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0002,0.0002,0.0102,0.0001,0.0003,0.0015
selbstwertgefühl,19,0.0,0.0001,0.0,0.0001,0.0028,0.0001,0.0,0.0204,0.0031,0.0001,0.0003,0.0001
staat,19,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.017,0.0003,0.0001
themenfeld,19,0.0,0.0011,0.0,0.0001,0.0119,0.0001,0.0,0.0002,0.0001,0.0001,0.0073,0.0001
notwendig,18,0.0001,0.0001,0.0,0.0001,0.0021,0.0163,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
phase,18,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0225,0.0001,0.0062,0.0003,0.0001
verbraucher,18,0.0001,0.0001,0.0,0.0001,0.0003,0.0144,0.0023,0.0002,0.0001,0.0001,0.0003,0.0001
ökologisch,18,0.0003,0.0108,0.0,0.0001,0.0003,0.0001,0.0029,0.0002,0.0001,0.0001,0.0003,0.0001
angebot,17,0.0,0.0001,0.0,0.0174,0.0025,0.0001,0.0,0.004,0.0001,0.0001,0.0003,0.0001
bieten,17,0.0,0.0001,0.0,0.021,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0016
bne,17,0.0,0.0163,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
schwerpunkt,17,0.0001,0.0001,0.0007,0.0001,0.0032,0.0134,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
konkret,17,0.0001,0.0001,0.0,0.0138,0.0001,0.0032,0.0,0.0002,0.0001,0.0036,0.0003,0.0001
prozeß,16,0.0,0.0001,0.0,0.0001,0.0121,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
beispielsweise,16,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0114
themenfelder,16,0.0001,0.0001,0.0,0.0001,0.0121,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
gedankenexperiment,16,0.0024,0.0001,0.0,0.0001,0.0001,0.013,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
land,16,0.0001,0.0014,0.0,0.0001,0.0001,0.0128,0.0,0.0002,0.0001,0.0026,0.0003,0.0001
marktwirtschaft,16,0.0,0.0001,0.0,0.0001,0.0117,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
prozess,15,0.0,0.0001,0.0,0.0001,0.0023,0.0001,0.0,0.0243,0.0001,0.0001,0.0003,0.0001
finanz,15,0.0,0.0001,0.0,0.0225,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
internet,15,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0005,0.0002,0.0001,0.0001,0.0003,0.0098
konfliktsituation,15,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0014,0.0109,0.0003,0.0001
vorsorge,14,0.0,0.0001,0.0,0.021,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
medienanalyse,14,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.012,0.0003,0.0001
mediengesellschaft,14,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.012,0.0003,0.0001
philosophisch,13,0.0001,0.0001,0.0012,0.0009,0.0001,0.0011,0.0,0.0002,0.0001,0.0001,0.0319,0.0003
