subject_clean,Auseinandersetzung · Ethischer · Wirklichkeit Wahrheitsansprchen,Berprfung Fhigkeiten · Einschtzung Berprfung · Einschtzung,Bne Werte · Werte Entscheidungssituationen · Entscheidungssituationen,Bne · Politische · Institutionen,Europische · Regeln · Verschiedenen,Geschichte · Umgang Konflikten · Grundlegende Werte,Gewissen · Bewertungsrelevanten · Bewertungsrelevanten Sachverhalten,Handlungsoptionen · Bewertungskriterien · Aussagen,Kein Thema (Ausreißer),Konventionen · Rechtliche Moralische · Moralische Konventionen,Lernbereich · Philosophie · Gltigkeit,Menschenwrde · Wahrnehmen Hineinversetzen · Hineinversetzen,Moralische Werte · Technische · Werte Inhaltsbezogene,Moralisches · Reflexionsbereich · Gelten,Rahmenthema · Gymnasium · Verwendung,Regeln · Rituale · Regeln Rituale,Regeln · Schuljahrgnge · Nmlich,Regeln · Tod · Hflichkeit,Regeln · Verschiedenen · Religionen,Religion · Religion Werte · Sozialisation,Syllogismus · Glck · Praktische Syllogismus,Verfassen · Gelten · Individualitt,Werturteile · Differenziert · Besitzen,Widerstand · Homo · Europische,entropy,subject_total,subject_proportion
Bio,0.0,0.0,0.0,0.2807,0.0351,0.0439,0.0351,0.3333,0.1228,0.0,0.0175,0.0,0.0,0.0,0.0175,0.0,0.0,0.0088,0.0,0.0263,0.0175,0.0,0.0351,0.0263,2.7641,114,0.1005
"Ethik, Philo",0.0274,0.0315,0.0,0.0096,0.0561,0.0055,0.0287,0.0014,0.2449,0.0287,0.0451,0.0616,0.0534,0.0684,0.0205,0.0274,0.1081,0.0192,0.0643,0.0192,0.0397,0.0233,0.0096,0.0068,3.8829,731,0.6446
Geschichte,0.0114,0.0,0.0,0.0,0.0795,0.125,0.0227,0.1705,0.1477,0.0114,0.0568,0.0341,0.0455,0.0341,0.0,0.0,0.0455,0.0,0.0114,0.125,0.0114,0.0,0.0,0.0682,3.5379,88,0.0776
Psychologie,0.0,0.0,0.0,0.8261,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0435,0.0,0.0,0.0435,0.9274,23,0.0203
Sozialkunde,0.0,0.0,0.1404,0.5169,0.0562,0.0056,0.0,0.0393,0.0281,0.0,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0056,0.0056,0.0506,0.0281,0.0112,0.0955,0.0112,2.4512,178,0.157
