topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,12,0.1229,42,13.5582
2,9,0.114,36,21.1372
3,3,0.097,25,25.5995
4,13,0.0789,21,17.7502
5,6,0.0727,22,25.5941
6,7,0.0699,19,24.6486
7,1,0.0669,17,22.1864
8,14,0.0663,15,31.7775
9,10,0.0636,17,15.5824
10,4,0.0634,18,16.2488
11,2,0.0615,16,33.3328
12,5,0.0454,12,19.87
13,11,0.0327,8,17.4944
14,15,0.0253,6,27.8859
15,8,0.0195,5,15.8352
