subject_clean,Aggression · Neid · Nationalistische,Anstze · Fremdenfeindlichkeit · Anstze Konfliktlsung,Armut · Bne · Zuwanderung,Behandlung · Symptome · Prvention,Benennen · Revolution · Kommunikation Bewertung,Ebene · Variabilitt · Verhalten,Erklren Sonnenknig · Sonnenknig · Revolution Erklren,Evolution · Biodiversitt · Information,Grundzgen · Theorie · Globalisierung,Historischer · Anlsse Verlaufsformen · Historischen,Identifizieren · Gewalt · Konflikten,Iii · Problem · Migration,Internationalen · Sachverhalt · Sachverhalte,Kalten · Revolution · Kreuzzge,Kausale · Funktionale · Verhalten,Kein Thema (Ausreißer),Kinderrechte · Jugendkriminalitt · Unterschiedliche,Kologischen · Umweltpolitik · Umwelt,Kommunikation · Historischer · Verteilung,Konflikte · Beurteilungskompetenz · Klimanderungen,Legen · Erwerben · Erwerben Fachkompetenz,Motivation · Nervensystem · Kommunikation,Motive · Differenziert · Urteilen,Revolution · Darstellung · Ziele,Revolution · Merkmale · Gewalt,Stunden · Geeignete · Geeignete Modelle,Variabilitt · Merkmalen · Variabilitt Erlutern,Verhalten · Proximate Ultimate · Proximate,Verschiebungen · Grafen · Jeweiligen Grafen,entropy,subject_total,subject_proportion
Bio,0.0038,0.0,0.0,0.0494,0.0494,0.0837,0.0076,0.057,0.0152,0.0342,0.0,0.019,0.0152,0.1027,0.0418,0.2015,0.0076,0.0266,0.038,0.0152,0.0,0.0266,0.0,0.019,0.076,0.038,0.0342,0.0342,0.0038,4.0392,263,0.206
"Ethik, Philo",0.0924,0.0084,0.0504,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.2437,0.0,0.0336,0.0,0.0084,0.3193,0.042,0.0,0.0084,0.0,0.042,0.0,0.0672,0.0,0.0504,0.0,0.0,0.0252,0.0,2.9507,119,0.0932
Geschichte,0.0412,0.011,0.0027,0.0,0.0989,0.0,0.0495,0.0,0.0,0.0797,0.0687,0.0,0.0027,0.1319,0.0549,0.1758,0.0027,0.0027,0.033,0.0,0.0,0.0,0.0302,0.0495,0.1154,0.0027,0.0275,0.0192,0.0,3.6761,364,0.285
Psychologie,0.0,0.0,0.0,0.1176,0.0,0.1765,0.0,0.0588,0.0,0.0,0.0,0.2353,0.0,0.0,0.0,0.0588,0.0,0.0588,0.0,0.0588,0.0,0.0,0.0,0.0,0.1176,0.0,0.0,0.0,0.1176,2.9842,17,0.0133
Sozialkunde,0.0,0.0233,0.035,0.0272,0.0,0.1012,0.0,0.1012,0.0214,0.0019,0.0058,0.0331,0.0117,0.0253,0.0039,0.2432,0.0195,0.0311,0.0117,0.0389,0.0934,0.0156,0.0,0.0175,0.0584,0.0136,0.0058,0.0175,0.0428,3.8872,514,0.4025
