topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,3,0.2248,298,43.2551
2,1,0.1851,257,49.5172
3,2,0.1648,227,30.4919
4,4,0.1547,205,52.1368
5,5,0.1156,134,45.0441
6,6,0.0805,92,55.5963
7,7,0.0745,64,50.4434
