term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
mensch,345,0.0001,0.0087,0.0299,0.0001,0.0001,0.0,0.0001,0.0001,0.005,0.0521,0.0102,0.0165,0.0365,0.0246,0.0025
sozial,276,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0493,0.0077,0.0001,0.008,0.0189,0.0001,0.0172
verschieden,207,0.0001,0.0133,0.0,0.0003,0.0001,0.0303,0.0001,0.0001,0.0101,0.0,0.0001,0.0107,0.0001,0.0001,0.0001
entwicklung,205,0.0001,0.0,0.0,0.0001,0.0179,0.0091,0.0001,0.0039,0.0,0.0024,0.0001,0.0236,0.0041,0.0138,0.0001
menschlich,199,0.0001,0.0102,0.0,0.0001,0.0379,0.0183,0.0001,0.0068,0.0068,0.0075,0.0015,0.0043,0.0001,0.0094,0.0001
erleben,172,0.0001,0.003,0.0,0.0001,0.0001,0.0584,0.002,0.0001,0.0002,0.0,0.0001,0.0,0.0002,0.0005,0.0001
lernen,171,0.0033,0.0,0.012,0.0276,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0076,0.0079,0.0193,0.0001,0.0001
entwickeln,159,0.0001,0.0042,0.0057,0.0001,0.0001,0.0129,0.0001,0.0001,0.0052,0.0,0.0032,0.0087,0.0001,0.0112,0.0001
handeln,153,0.0034,0.0,0.0056,0.0001,0.0001,0.0,0.0001,0.0001,0.0116,0.0,0.0001,0.0071,0.0029,0.0124,0.0185
fähigkeit,150,0.0001,0.0,0.0129,0.0132,0.0001,0.0122,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0236,0.0001,0.0001
psychologie,132,0.0001,0.0001,0.0,0.0001,0.0001,0.0386,0.0089,0.0001,0.0002,0.0,0.0001,0.0,0.0001,0.0117,0.0001
ursache,131,0.0001,0.0,0.0,0.0001,0.0071,0.0,0.0001,0.023,0.0,0.0382,0.0001,0.0029,0.0001,0.0001,0.0001
psychologisch,125,0.0001,0.0,0.0,0.0001,0.0001,0.0446,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001
regel,124,0.0859,0.0125,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0032,0.0,0.0001,0.0,0.0001,0.0001,0.0001
kenntnis,122,0.0757,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0085,0.0001,0.0001,0.0001
kommunikation,120,0.0001,0.0,0.0,0.0001,0.0153,0.0011,0.0176,0.0001,0.0034,0.0203,0.0001,0.0061,0.0001,0.0001,0.0001
bedeutung,119,0.0001,0.0042,0.0,0.0001,0.0034,0.0,0.0001,0.0064,0.0083,0.0015,0.0001,0.0098,0.0037,0.0056,0.0001
wert,114,0.0001,0.0019,0.0003,0.0057,0.0001,0.0,0.0001,0.0375,0.0055,0.0009,0.002,0.0042,0.0009,0.0017,0.0001
evolution,113,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.022,0.0,0.0377,0.0001,0.0,0.0001,0.0048,0.0001
unterschiedlich,109,0.0001,0.0166,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0121,0.0,0.0001,0.0061,0.0025,0.0001,0.0001
phänomen,107,0.0001,0.0001,0.0,0.0001,0.022,0.0193,0.0001,0.0001,0.0,0.003,0.0001,0.0001,0.0001,0.0156,0.0001
möglichkeit,106,0.0001,0.0,0.0001,0.0145,0.0073,0.0,0.0001,0.0001,0.0095,0.0,0.0001,0.006,0.0151,0.0001,0.0001
inhalt,105,0.0001,0.0,0.0,0.0063,0.0001,0.0098,0.0001,0.0001,0.0063,0.005,0.0001,0.0073,0.0001,0.0001,0.0001
einstellung,101,0.0001,0.0012,0.0044,0.0097,0.0179,0.0068,0.0001,0.0001,0.0051,0.0,0.0001,0.0,0.0059,0.0001,0.0001
modell,101,0.0001,0.016,0.0,0.0001,0.0346,0.0,0.0111,0.0001,0.0007,0.0032,0.0001,0.0034,0.0001,0.0001,0.0001
angemessen,99,0.0001,0.0,0.0044,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0556,0.0001,0.0001
tier,97,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0362,0.0001,0.0042,0.0001,0.0001,0.0001
entscheidung,96,0.0001,0.0,0.0058,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0128,0.0001,0.0001,0.0001
politisch,95,0.0001,0.0219,0.0003,0.0001,0.0001,0.0,0.0001,0.0001,0.0155,0.0,0.0001,0.0005,0.0001,0.0001,0.0001
gesellschaft,92,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0111,0.0,0.0001,0.0059,0.0001,0.0044,0.0164
biologisch,89,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0181,0.0001,0.0043,0.0102,0.0001,0.0069,0.0001,0.0001,0.0001
ableit,86,0.0844,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001
verantwortung,86,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0102,0.0001,0.0078,0.0,0.0111,0.0063,0.0001,0.0001,0.0001
mechanik,86,0.0839,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001
