topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,7,0.1928,147,69.8267
2,5,0.1922,147,39.5257
3,6,0.1755,123,46.8443
4,1,0.1515,112,27.7712
5,2,0.1087,79,45.2476
6,4,0.0994,74,27.0404
7,3,0.0797,56,66.6735
