Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
politisch,demokratie,demokratie,demokratie,politisch,politisch,demokratie,europäisch,demokratisch,demokratisch
gesellschaft,inhalt,politisch,politisch,demokratisch,demokratie,deutschland,international,entwickeln,interesse
demokratisch,direkt,herausforderung,demokratisch,demokratie,demokratisch,republik,europa,fähigkeit,handeln
demokratie,bezug,darstellen,teilhabe,jugendliche,medium,weimarer,demokratie,freiheitlich,lernende
gesellschaftlich,kompetenz,verfahren,gesellschaftlich,lernbereich,bedeutung,revolution,idee,bereitschaft,gesellschaft
sozial,sozial,veränderung,fach,leben,möglichkeit,diktatur,globalisierung,hintergrund,unterricht
deutschland,bürgerinitiative,demokratisch,entwicklung,bürger,beurteilen,deutsch,kultur,aktiv,wert
entwicklung,art,themenfeld,herrschaft,entscheidung,system,weltkrieg,konflikt,demokratie,begründen
leben,theorie,lernen,kompetenz,interesse,aktuell,nationalsozialismus,beziehung,grundordnung,vertreten
politik,demokratietheorie,akzeptanz,römisch,mündig,partizipation,europa,liberal,mensch,freiheitlichdemokratisch
ökonomisch,menschenrecht,dimension,struktur,handlungskompetenz,wahl,bundesrepublik,wert,handlungsoption,position
prozeß,erklären,schulisch,monarchie,system,form,element,union,toleranz,grundordnung
weiterentwicklung,modul,grundlegend,beitrag,möglichkeit,erläutern,parlamentarisch,governance,bildung,verantwortung
inhaltsfeld,kritik,etc,antik,partizipationsmöglichkeit,entwicklung,demokratisch,national,vielfalt,historisch
ziel,bundestag,bildung,athen,willensbildung,partei,herrschaft,politik,einzubringen,grundlage
wirtschaftlich,behandlung,klasse,politik,bürgerin,herausforderung,scheitern,sicherheit,entscheidung,menschenrecht
auseinandersetzung,fachbezoge,prinzip,möglichkeit,politik,beschreiben,verfassung,erweiterung,entwicklung,nehmen
bundesrepublik,weltweit,zumutung,geschichte,prinzip,ebene,ddr,friedenssicherung,politisch,grundrecht
bürger,fachübergreifend,niveau,historisch,partizipation,gefährdung,vergleich,integration,global,übernehmen
struktur,attisch,wichtig,rassismus,entscheidungsfindung,gesellschaft,politisch,good,zukünftig,erkennen
