term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
bereitschaft,210,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298,0.0
verfassung,209,0.0,0.0022,0.0,0.0048,0.0,0.0,0.0083,0.0,0.0005,0.0054
verantwortung,203,0.005,0.0012,0.0,0.0,0.001,0.0,0.0006,0.0,0.0,0.0114
ziel,201,0.0083,0.0,0.0029,0.0029,0.0,0.0,0.0,0.0068,0.0,0.0
partei,189,0.0,0.0,0.0,0.0,0.0,0.0076,0.0022,0.0,0.0,0.0
ökonomisch,188,0.0098,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0043,0.0
parlamentarisch,187,0.0,0.0,0.0,0.0008,0.0,0.0022,0.0101,0.0,0.0,0.0
struktur,186,0.0065,0.0,0.0,0.0096,0.0,0.0007,0.0,0.0,0.0,0.0
beschreiben,186,0.0,0.0,0.0,0.0,0.0,0.0072,0.0026,0.0,0.0,0.0
position,186,0.0,0.0,0.0,0.0,0.0021,0.002,0.0,0.0,0.0042,0.0117
weltkrieg,183,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0
grundlegend,181,0.0033,0.0,0.0092,0.0037,0.0,0.0006,0.0,0.0,0.0016,0.0032
unterricht,181,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147
prinzip,177,0.0,0.0013,0.0085,0.0,0.0095,0.0,0.0,0.0,0.0,0.0054
beitrag,176,0.0038,0.0,0.0,0.0091,0.001,0.0007,0.0002,0.0,0.0031,0.0
jugendliche,176,0.0,0.0,0.0,0.0,0.0167,0.0016,0.0,0.0,0.0,0.0
handlungskompetenz,175,0.0021,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0071
nationalsozialismus,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0
inhaltsfeld,166,0.0083,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0
bezug,166,0.0016,0.0147,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0
auseinandersetzung,160,0.008,0.0,0.005,0.0,0.0,0.0002,0.0,0.0,0.0,0.0
lernbereich,158,0.0,0.0025,0.0,0.0,0.0159,0.0,0.0,0.0,0.0,0.0
global,147,0.0,0.0,0.0,0.0,0.0,0.0026,0.0021,0.0,0.009,0.0
