subject,-1_erklren_entstehung_verwandtschaft_evolutionstheorie,0_evolutionstheorie_evolution menschen_fossilien_fitness,1_basiskonzepte_individuelle evolutive_biologie_steuerung,2_erlutern_anthropologie_darstellen_arten,3_sek_angepasstheit_wirbeltieren_pflanzen,4_informationsverarbeitung_neurobiologie_evolution informationsverarbeitung_schwerpunkte,5_fortpflanzung_variation_genetische_sexuelle fortpflanzung,6_vielfalt_vielfalt lebewesen_lebensrume_vernderung,7_merkmal_stammbume_homologe_merkmale,8_gesellschaft_welt_weltbild_freiheit,9_funktion_stammesgeschichtlichen entwicklung_stammesgeschichtlichen_struktur funktion,entropy,subject_total,subject_proportion
Bio,0.2435,0.3256,0.2493,0.0531,0.0367,0.0203,0.0193,0.0174,0.0184,0.0,0.0164,2.452,1035,0.9539
"Ethik, Philo",0.1176,0.0882,0.0882,0.1765,0.0,0.0,0.0,0.0294,0.0,0.5,0.0,2.0726,34,0.0313
Geschichte,0.8571,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5917,14,0.0129
Psychologie,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0018
TOTAL,0.247,0.3143,0.2406,0.0581,0.035,0.0203,0.0184,0.0175,0.0175,0.0157,0.0157,2.5379,1085,1.0
