topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,6,0.1316,642,142.6083
2,14,0.1177,513,87.9904
3,7,0.0813,325,80.502
4,15,0.0768,321,64.7225
5,9,0.0703,238,149.5841
6,1,0.0699,294,131.8231
7,13,0.0617,236,100.1305
8,3,0.0594,191,118.8982
9,4,0.0591,201,100.8459
10,11,0.0551,241,159.4059
11,5,0.0532,186,280.2005
12,2,0.0528,187,88.4811
13,10,0.0397,108,96.3666
14,12,0.0366,84,155.2889
15,8,0.0349,82,101.8669
