topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,14,0.1349,149,49.7042
2,7,0.1202,124,69.7543
3,13,0.0692,84,34.2726
4,20,0.0691,51,70.3501
5,15,0.0649,69,56.8568
6,1,0.0577,49,61.409
7,11,0.0576,65,51.9018
8,12,0.054,52,61.4247
9,6,0.0532,51,49.3142
10,2,0.0532,44,58.5636
11,16,0.0507,50,42.7383
12,5,0.0494,57,46.0721
13,17,0.0366,31,90.3928
14,3,0.0335,36,75.3286
15,8,0.0267,27,90.1242
16,4,0.0238,21,71.137
17,9,0.0217,14,44.3931
18,19,0.0084,7,80.6766
19,18,0.008,5,136.5777
20,10,0.0072,5,119.1936
