topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_bringen_ber_geben_knnen,0.2269,0.5294,0.0084,0.0168,0.2185,1.6077,119,0.2156
0_gedanken_verndern_mindmap_situationen,0.0241,0.9398,0.0,0.0241,0.012,0.4201,83,0.1504
1_inhalte_kompetenzerwartungen inhalte_meinungen_schreiben,0.3239,0.3239,0.0141,0.0,0.338,1.6691,71,0.1286
2_moralische_liebe_moralisch_beispiel,0.05,0.8833,0.0,0.0167,0.05,0.6887,60,0.1087
3_lernen_ethik_natur_knnen,0.0926,0.6111,0.1111,0.0185,0.1667,1.6417,54,0.0978
4_individualitt_vernunft_gefhl vernunft_entwickeln,0.1111,0.6889,0.0,0.0889,0.1111,1.3852,45,0.0815
5_bedrfnisse_lernenden_soziale_gefhle bedrfnisse,0.2,0.3143,0.1714,0.1429,0.1714,2.2626,35,0.0634
6_texte_einstellungen_sachliche_schreiben,0.3103,0.3103,0.0,0.069,0.3103,1.8377,29,0.0525
7_vorurteile_respekt_toleranz_regeln,0.0,1.0,0.0,0.0,0.0,0.0,20,0.0362
8_personen_unterschiedliche_probleme_sachverhalte,0.0526,0.4211,0.1579,0.0,0.3684,1.7002,19,0.0344
9_familie_hinblick_gefhlen bedrfnissen_bedrfnissen,0.1765,0.6471,0.0,0.0588,0.1176,1.4517,17,0.0308
TOTAL,0.154,0.6159,0.0308,0.0326,0.1667,1.5928,552,1.0
