subject,-1_bringen_ber_geben_knnen,0_gedanken_verndern_mindmap_situationen,1_inhalte_kompetenzerwartungen inhalte_meinungen_schreiben,2_moralische_liebe_moralisch_beispiel,3_lernen_ethik_natur_knnen,4_individualitt_vernunft_gefhl vernunft_entwickeln,5_bedrfnisse_lernenden_soziale_gefhle bedrfnisse,6_texte_einstellungen_sachliche_schreiben,7_vorurteile_respekt_toleranz_regeln,8_personen_unterschiedliche_probleme_sachverhalte,9_familie_hinblick_gefhlen bedrfnissen_bedrfnissen,entropy,subject_total,subject_proportion
Bio,0.3176,0.0235,0.2706,0.0353,0.0588,0.0588,0.0824,0.1059,0.0,0.0118,0.0353,2.6996,85,0.154
"Ethik, Philo",0.1853,0.2294,0.0676,0.1559,0.0971,0.0912,0.0324,0.0265,0.0588,0.0235,0.0324,3.0871,340,0.6159
Geschichte,0.0588,0.0,0.0588,0.0,0.3529,0.0,0.3529,0.0,0.0,0.1765,0.0,1.9831,17,0.0308
"Psychologie, Gesundheit",0.1111,0.1111,0.0,0.0556,0.0556,0.2222,0.2778,0.1111,0.0,0.0,0.0556,2.7472,18,0.0326
Sozialkunde,0.2826,0.0109,0.2609,0.0326,0.0978,0.0543,0.0652,0.0978,0.0,0.0761,0.0217,2.7971,92,0.1667
TOTAL,0.2156,0.1504,0.1286,0.1087,0.0978,0.0815,0.0634,0.0525,0.0362,0.0344,0.0308,3.2107,552,1.0
