,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,bringen,0.0446,gedanken,0.0933,inhalte,0.0866,moralische,0.08,lernen,0.045,individualitt,0.1329,bedrfnisse,0.194,texte,0.0985,vorurteile,0.1199,personen,0.0935,familie,0.2672
1,ber,0.043,verndern,0.0798,kompetenzerwartungen inhalte,0.0701,liebe,0.057,ethik,0.0445,vernunft,0.1251,lernenden,0.185,einstellungen,0.0756,respekt,0.0935,unterschiedliche,0.0813,hinblick,0.1781
2,geben,0.0422,mindmap,0.0785,meinungen,0.0686,moralisch,0.0554,natur,0.0401,gefhl vernunft,0.1037,soziale,0.1305,sachliche,0.0723,toleranz,0.0899,probleme,0.0795,gefhlen bedrfnissen,0.1781
3,knnen,0.0413,situationen,0.0776,schreiben,0.0651,beispiel,0.0514,knnen,0.0384,entwickeln,0.0675,gefhle bedrfnisse,0.1282,schreiben,0.0707,regeln,0.0774,sachverhalte,0.077,bedrfnissen,0.1734
4,gehen,0.0409,umgang,0.0641,texte,0.0605,umwelt,0.0509,werte,0.0382,analysieren,0.0642,fhigkeiten,0.1282,themen,0.0635,vergleichen,0.0716,chancen,0.0751,kommunikation,0.1692
5,eigene meinung,0.0378,unterscheiden,0.0621,lngere,0.0602,fragen,0.0452,kultur,0.0361,bezogen,0.0564,nehmen,0.1174,ber,0.0589,argumente,0.0642,quellen,0.0721,insbesondere,0.1601
6,zunehmend,0.0373,gefhls,0.0619,ausdruck,0.0598,zusammenleben,0.0442,erfolg,0.0361,fhigkeit,0.0556,emotionen,0.0984,nutzen,0.0584,prfen,0.058,konflikte,0.0659,beitrag,0.1528
7,meinung,0.0368,mglichkeiten,0.0553,persnlichen,0.0549,religion,0.0419,strken,0.0357,bedeutung,0.0555,rechte,0.0822,lesen,0.0553,folgen,0.0567,ermitteln,0.0563,sexualerziehung,0.1506
8,uern,0.0366,gefhle beschreiben,0.0537,bringen,0.0546,menschen,0.0409,kulturen,0.034,setzen,0.0486,voraussetzungen,0.0822,vertrauen,0.0531,relevante,0.0549,bedrfnisse interessen,0.0525,bildung,0.1501
9,ausdruck,0.0355,formulieren,0.0515,texten,0.0534,kompetenz,0.0404,bedeutung,0.0323,handelns,0.043,berzeugungen,0.081,stimmungen,0.0521,beschreiben reflektieren,0.0536,entwickeln,0.0518,wahrnehmung,0.1316
10,texten,0.0287,inhaltsbezogene,0.0497,klar,0.0516,identitt,0.0379,inhalte kompetenzen,0.0318,motive,0.043,gesellschaftliche,0.0809,geben,0.0521,beschreiben vergleichen,0.0536,positionen,0.0506,auseinander,0.1301
11,texte,0.0279,inhaltsbezogene kompetenzen,0.0497,verfassen,0.0511,normen,0.0379,erkennen,0.0317,gewissen,0.0417,selbstwahrnehmung,0.0798,einzelnen,0.0512,unterscheiden,0.0503,freundschaft,0.0499,ethisch,0.1269
12,klassenstufen,0.0278,identifizieren,0.0497,mithilfe,0.0494,gerechtigkeit,0.0367,welt,0.031,auseinander,0.0406,sozialer,0.0798,inhalte,0.0504,denen,0.0458,gruppen,0.0497,frage,0.1201
13,differenziert,0.0276,auslsen,0.0477,form,0.0457,kommunizieren,0.0352,nehmen,0.031,ethischen,0.0406,bewltigen,0.0798,schule,0.0504,konflikte,0.0412,deren,0.049,bercksichtigen,0.1189
14,freundschaft,0.0261,denen,0.0471,strukturierte,0.0457,werte,0.0347,situation,0.0308,persnlichkeit,0.0401,gesellschaftlichen,0.0786,sachliche schreiben,0.0504,gefhle denen,0.0404,motive,0.0481,vereinbarungen,0.0569
15,ereignisse,0.0256,beschreiben bewerten,0.0463,erschlieen,0.0452,perspektive,0.0311,entwickeln,0.0299,strken,0.0379,sozialkompetenz,0.0786,ausdruck,0.0487,denen unterscheiden,0.0404,menschen,0.0451,konsequenzen,0.0551
16,wahrnehmen,0.0254,methodischdidaktische,0.0458,achten,0.0439,ethik,0.0308,medien,0.0298,bezug,0.0365,kompetenz,0.073,aspekte,0.0482,eigene urteile,0.0398,soziale,0.0447,ergeben,0.0551
17,lebenswelt,0.025,kompetenzen methodischdidaktische,0.0458,weitgehend,0.043,dar,0.03,inhalte,0.0296,vernunft gefhl,0.0358,grenzen,0.0714,lernbereich,0.0438,perspektiven gefhle,0.0397,stellen,0.0444,konfliktsituationen,0.0523
18,verwenden,0.0247,methodischdidaktische hinweise,0.0458,verschiedenen,0.0422,vernunft,0.0294,eigenen strken,0.0287,darstellung,0.034,achten,0.07,ggf,0.0433,eigene perspektiven,0.0397,fremden,0.0429,schlern,0.05
19,oft,0.0245,dauer,0.0457,meinungen gefhle,0.0394,bedrfnisse,0.0293,neuen,0.0284,langfristig,0.0319,interessen,0.0668,klar,0.0421,kompetenzerwartungen knnen,0.0394,dar,0.0405,vielfalt,0.05
