,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,angebote,0.3741,spielregeln,0.0519,fairnesskooperationselbstkompetenz,0.0407,lernbereich,0.2508,lerngruppe,0.2165,lernenden,0.303,entsprechenden verhaltensregeln,0.042,vorbereitende ausgleichende,0.0376,strken,0.2888,schule,0.1645,kooperation,0.1876
1,knnen,0.1889,entsprechenden verhaltens,0.0519,lehrkraft,0.0394,kompetenzerwartungen,0.2148,lern,0.2165,solidaritt,0.1979,verhaltensregeln tragen,0.042,vorbereitende,0.0376,frage,0.2781,kooperation,0.1141,kommunikation,0.1237
2,zusammenarbeit,0.1636,spielregeln tragen,0.0519,insbesondere,0.0377,gesundheit fitness,0.2107,ermglichen,0.2139,arbeiten,0.1389,verhaltensregeln,0.0417,kompetenzen bereich,0.0367,orientierung,0.2574,unterricht,0.1127,entwicklung,0.0718
3,regionalen,0.162,verhaltens spielregeln,0.0519,sportartspezifischen,0.0357,fitness,0.1985,teilnahme,0.2139,gegenber,0.1352,durchhaltevermgen vorbereitende,0.0406,gegenseitige rcksichtnahme,0.0367,beitrag,0.2392,beim,0.0979,fach,0.0601
4,individuelle,0.1314,verhaltens,0.0519,beachten insbesondere,0.0357,gesundheit,0.1939,arbeitstechniken,0.2113,bernehmen,0.1229,vorbereitende ausgleichende,0.0401,tragen gegenseitige,0.0367,schlern,0.2155,ber,0.0875,soziale,0.0598
5,beitrag,0.1313,sportart,0.0389,insbesondere sportartspezifischen,0.0357,lernbereich fairnesskooperationselbstkompetenz,0.1335,lassen,0.2089,entwickeln,0.1057,potenzial sportart,0.0401,tragen,0.0367,beurteilen,0.2104,schulen,0.0826,knnen,0.0569
6,jeweiligen,0.1242,vorbereitende,0.0389,sportartspezifischen sicherheitsmanahmen,0.0357,fairnesskooperationselbstkompetenz,0.1295,vertiefung,0.2066,verantwortung,0.1034,vorbereitende,0.0401,fairnesskooperationselbstkompetenz kompetenzen,0.0367,gesellschaft,0.1972,kompetenzen,0.0752,fchern,0.0556
7,fach,0.1152,potenzial sportart,0.0389,einsatzbereitschaft durchhaltevermgen,0.0353,beschreiben,0.1293,fragestellungen,0.1903,einstellungen,0.0926,sportart,0.0401,durchhaltevermgen,0.0367,bercksichtigen,0.1421,manahmen,0.0748,themen,0.0551
8,rahmen,0.1138,vorbereitende ausgleichende,0.0389,bercksichtigen entsprechenden,0.0353,zusammenhnge,0.1259,schlern,0.1861,rcksichtnahme,0.0915,ausgleichende,0.0371,dabei bercksichtigen,0.0367,kooperation,0.1297,fachbezogene,0.0692,konflikte,0.053
9,jahrgangsstufe,0.1075,durchhaltevermgen vorbereitende,0.0384,verletzungen muskulren,0.0353,bereich,0.1254,frdert,0.1846,nehmen,0.0827,beugen,0.0371,systematisch verbessern,0.0367,medien,0.1177,besonderheiten,0.0692,gesellschaft,0.0509
10,hinaus,0.106,sportartspezifischen,0.036,dysbalancen gezielt,0.0353,wert,0.124,angebote,0.1681,verschiedener,0.0817,beugen verletzungen,0.0371,analysieren gemeinsam,0.0367,kommunikation,0.1029,gestaltung,0.067,bedeutung,0.0496
