subject,-1_angebote_knnen_zusammenarbeit_regionalen,0_spielregeln_entsprechenden verhaltens_spielregeln tragen_verhaltens spielregeln,1_fairnesskooperationselbstkompetenz_lehrkraft_insbesondere_sportartspezifischen,2_lernbereich_kompetenzerwartungen_gesundheit fitness_fitness,3_lerngruppe_lern_ermglichen_teilnahme,4_lernenden_solidaritt_arbeiten_gegenber,5_entsprechenden verhaltensregeln_verhaltensregeln tragen_verhaltensregeln_durchhaltevermgen vorbereitende,6_vorbereitende ausgleichende_vorbereitende_kompetenzen bereich_gegenseitige rcksichtnahme,7_strken_frage_orientierung_beitrag,8_schule_kooperation_unterricht_beim,9_kooperation_kommunikation_entwicklung_fach,entropy,subject_total,subject_proportion
Bio,0.0472,0.0472,0.1038,0.0566,0.0189,0.066,0.0755,0.1415,0.0,0.0849,0.3585,2.8695,106,0.1981
"Ethik, Philo",0.04,0.04,0.08,0.048,0.048,0.064,0.064,0.12,0.104,0.056,0.336,3.0594,125,0.2336
Geschichte,0.0294,0.0,0.0,0.0,0.0588,0.1471,0.0,0.0,0.0,0.1324,0.6324,1.601,68,0.1271
"Psychologie, Gesundheit",0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0588,0.1176,0.2941,0.4706,1.8751,17,0.0318
Sozialkunde,0.0228,0.0228,0.0457,0.0274,0.0274,0.0594,0.0365,0.0685,0.0046,0.0457,0.6393,2.0694,219,0.4093
TOTAL,0.0318,0.028,0.0579,0.0336,0.0336,0.0729,0.0449,0.086,0.0299,0.0748,0.5065,2.5789,535,1.0
