topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_ethik_sollen_aufgaben_bewerten,0.0646,0.6585,0.0677,0.0215,0.1877,1.4875,325,0.2866
0_fach_fach werte_ber_auseinandersetzung,0.028,0.6947,0.081,0.0156,0.1807,1.3429,321,0.2831
1_moralische_moral_moralische werte_moralische normen,0.0084,0.9916,0.0,0.0,0.0,0.07,119,0.1049
2_handlungsoptionen_entscheidungen_sachverhalte_kriterien,0.6,0.1091,0.0545,0.0636,0.1727,1.7103,110,0.097
3_religise_religion_religionen_religisen,0.066,0.8113,0.1038,0.0094,0.0094,0.9698,106,0.0935
4_jeweiligen_konomischen_verstehen_aufgabe,0.0244,0.0732,0.0976,0.0244,0.7805,1.144,41,0.0362
5_lernen_kerncurriculum_gelten_genannten,0.0,0.9375,0.0625,0.0,0.0,0.3373,32,0.0282
6_argumente_ethischen_folgen_ethischer,0.0833,0.9167,0.0,0.0,0.0,0.4138,24,0.0212
7_regeln normen_regeln_rituale_verschiedenen,0.0,1.0,0.0,0.0,0.0,0.0,20,0.0176
8_materialien_leistungen_technischen_worden,0.3889,0.1667,0.1667,0.1111,0.1667,2.1746,18,0.0159
9_historischer_innere_werturteil_gegenwrtige,0.0,0.0,0.7778,0.0,0.2222,0.7642,18,0.0159
TOTAL,0.1005,0.6446,0.0776,0.0203,0.157,1.5611,1134,1.0
