subject,-1_ethik_sollen_aufgaben_bewerten,0_fach_fach werte_ber_auseinandersetzung,1_moralische_moral_moralische werte_moralische normen,2_handlungsoptionen_entscheidungen_sachverhalte_kriterien,3_religise_religion_religionen_religisen,4_jeweiligen_konomischen_verstehen_aufgabe,5_lernen_kerncurriculum_gelten_genannten,6_argumente_ethischen_folgen_ethischer,7_regeln normen_regeln_rituale_verschiedenen,8_materialien_leistungen_technischen_worden,9_historischer_innere_werturteil_gegenwrtige,entropy,subject_total,subject_proportion
Bio,0.1842,0.0789,0.0088,0.5789,0.0614,0.0088,0.0,0.0175,0.0,0.0614,0.0,1.9118,114,0.1005
"Ethik, Philo",0.2927,0.3051,0.1614,0.0164,0.1176,0.0041,0.041,0.0301,0.0274,0.0041,0.0,2.4749,731,0.6446
Geschichte,0.25,0.2955,0.0,0.0682,0.125,0.0455,0.0227,0.0,0.0,0.0341,0.1591,2.5737,88,0.0776
Psychologie,0.3043,0.2174,0.0,0.3043,0.0435,0.0435,0.0,0.0,0.0,0.087,0.0,2.223,23,0.0203
Sozialkunde,0.3427,0.3258,0.0,0.1067,0.0056,0.1798,0.0,0.0,0.0,0.0169,0.0225,2.1105,178,0.157
TOTAL,0.2866,0.2831,0.1049,0.097,0.0935,0.0362,0.0282,0.0212,0.0176,0.0159,0.0159,2.7482,1134,1.0
