,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,ethik,0.0252,fach,0.0279,moralische,0.0863,handlungsoptionen,0.0669,religise,0.0736,jeweiligen,0.0703,lernen,0.2198,argumente,0.1245,regeln normen,0.2746,materialien,0.1623,historischer,0.1473
1,sollen,0.0228,fach werte,0.0272,moral,0.0493,entscheidungen,0.0663,religion,0.0644,konomischen,0.0624,kerncurriculum,0.1588,ethischen,0.0848,regeln,0.2571,leistungen,0.1623,innere,0.1058
2,aufgaben,0.0208,ber,0.0266,moralische werte,0.0479,sachverhalte,0.0445,religionen,0.0561,verstehen,0.0619,gelten,0.1413,folgen,0.0763,rituale,0.1372,technischen,0.1602,werturteil,0.1014
3,bewerten,0.0198,auseinandersetzung,0.0266,moralische normen,0.043,kriterien,0.04,religisen,0.0524,aufgabe,0.0552,genannten,0.1178,ethischer,0.0491,verschiedenen,0.119,worden,0.1563,gegenwrtige,0.0991
4,kompetenzen,0.0197,unterricht,0.024,technische,0.0362,werten,0.0387,fach,0.0419,beziehungen,0.0527,ethikunterricht,0.1134,mgliche folgen,0.0488,zugrunde liegen,0.1081,entsprechen,0.1545,reflektieren,0.0861
5,schuljahrgnge,0.0196,ethik,0.0227,ethik,0.0328,begrndet,0.0365,unterricht,0.0352,perspektivwechsel,0.0518,fach,0.109,schlern,0.0483,bedeutung zusammenleben,0.1039,bercksichtigt,0.1512,perspektiven,0.0784
6,knnen,0.0196,knnen,0.0212,moralischen,0.0318,werten normen,0.0363,fach werte,0.0322,werte grundgesetzes,0.0518,unterrichtsfach werte,0.0981,fach,0.0468,hflichkeit,0.1039,bundesrepublik deutschland,0.1512,akteure,0.0739
7,frage,0.0175,gesellschaft,0.0212,inhaltsbezogene kompetenzen,0.0295,aspekte,0.0316,gesellschaft,0.0304,denken,0.0495,unterrichtsfach,0.0976,berprfen,0.0463,ehrlichkeit,0.1039,bundesrepublik,0.1497,sach,0.0719
8,regeln,0.0175,wertvorstellungen,0.0206,inhaltsbezogene,0.0288,bercksichtigen,0.0312,unterricht fach,0.0302,berzeugungen,0.0494,berufliche,0.0925,anwendung,0.046,klasse,0.1029,geltenden,0.1482,kriterien,0.071
9,menschen,0.0165,gesellschaftliche,0.0201,miteinander,0.0286,kriteriengeleitet,0.0295,religion werte,0.0296,befhigen,0.0494,fach ethik,0.0894,aussagen,0.0453,liegen,0.102,verfahren,0.1468,wertvorstellungen,0.0687
10,unterricht,0.0164,eigene,0.02,methodischdidaktische hinweise,0.0283,gesellschaftlich,0.029,ethik,0.029,zunehmend,0.0449,bedeutet,0.0894,haltung,0.0449,zugrunde,0.0996,wenden,0.1442,kategorien,0.0669
11,wertvorstellungen,0.0163,reflexion,0.0193,methodischdidaktische,0.0283,treffen,0.0288,fragen,0.0285,politischen,0.0446,warum,0.0881,kenntnisse,0.0435,verlsslichkeit,0.0988,gesetzen,0.1442,individuellen,0.0661
12,freiheit,0.0162,gerechtigkeit,0.0189,kompetenzen methodischdidaktische,0.0283,bewertung,0.0283,gewissens,0.025,entscheidungen,0.0438,leben,0.0861,elementare,0.0434,kontexten,0.0952,wirtschaftlichen,0.143,historischen,0.0647
13,bne,0.0162,trgt,0.0188,glck,0.0276,identifizieren,0.0283,regeln,0.0248,grundgesetzes,0.041,verstehen,0.0828,fhigkeiten,0.0422,deren bedeutung,0.0929,fllen,0.1396,auswahl,0.0639
14,iii,0.0161,sozialen,0.0183,normen ethik,0.0269,reflektieren,0.0276,handeln werte,0.0244,unterrichts,0.0394,beschftigung,0.0817,denen,0.0414,sicherheit,0.0887,deutschland,0.1329,komplexer,0.0639
15,fragen,0.0161,gesellschaftlichen,0.0179,hinweise,0.0265,folgen,0.0272,sexualitt,0.0243,daraus,0.0389,schuljahrgnge,0.0777,erwerben,0.0411,bestimmten,0.0882,rahmen,0.1321,werturteile,0.0633
16,werten,0.0158,unterricht fach,0.0166,moralischer,0.0264,gesundheit,0.0264,menschenrechte,0.0241,kompetenzentwicklung,0.0385,bezglich,0.0741,erschlieen,0.0402,familie,0.0864,einzelnen,0.1321,menschen,0.0612
17,grundlage,0.0156,philosophie,0.0164,moralisches,0.0262,sachverhalten,0.0258,einzubeziehen,0.0233,kulturelle,0.0384,sowohl,0.0726,bercksichtigen,0.0395,zusammenleben,0.0781,mglichkeiten,0.1108,handlungsspielrume,0.0596
18,gesellschaft,0.0155,btv,0.0163,kompetenzen,0.0262,informationen,0.025,blick,0.0228,reflektieren,0.0381,strukturieren,0.0722,prfen,0.039,regel,0.0755,beispiel,0.0815,deutung,0.0596
19,moralische,0.0154,werturteile,0.0159,medial,0.0261,aufgrund,0.0246,moralisches handeln,0.0222,gesellschaftswissenschaftlicher,0.0379,kompetenzbereichen,0.0722,standpunkte,0.0389,normen rituale,0.0746,nachhaltigkeitsfrdernde,0.0696,finden,0.0596
