term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
krieg,50,0.0064,0.0007,0.0001,0.0,0.0,0.0,0.0
gruppe,49,0.0,0.0,0.0001,0.0,0.0084,0.002,0.0
europäisch,49,0.0,0.0,0.0001,0.0,0.0,0.0068,0.0
zukunft,48,0.0072,0.0,0.0001,0.0,0.0,0.0,0.0
ausgleichend,45,0.0063,0.0,0.0001,0.0,0.0,0.0,0.0
lernbereich,45,0.0,0.01,0.0001,0.0,0.0,0.0,0.0
formulieren,44,0.0008,0.0,0.0092,0.0,0.0009,0.0012,0.0
struktur,40,0.0011,0.0004,0.0068,0.0,0.0,0.0016,0.0
wahlbereich,40,0.0,0.0094,0.0001,0.0,0.0,0.0,0.0
klassenstuf,39,0.0,0.008,0.0001,0.0,0.0,0.0,0.0
inhaltsbezogen,38,0.0,0.0022,0.0076,0.0,0.0,0.0,0.001
gemeinwohl,37,0.0013,0.0,0.0001,0.0,0.0,0.0,0.0075
courage,36,0.0,0.001,0.0116,0.0,0.0,0.0,0.0
klasse,33,0.0,0.0,0.0001,0.0,0.0003,0.0,0.0079
kontroverse,29,0.0,0.0,0.0001,0.0,0.0,0.0,0.0081
lösungsmöglichkeit,28,0.0,0.0,0.0068,0.0,0.0023,0.0,0.0
erweitert,27,0.0,0.0,0.0099,0.0,0.0,0.0,0.0008
versus,26,0.0,0.0,0.0001,0.0,0.0,0.0,0.0074
umsetzung,25,0.0011,0.0,0.0075,0.0,0.0,0.0,0.0
zugang,23,0.0,0.0,0.0081,0.0,0.0,0.0,0.0004
fachkonzept,20,0.0,0.0,0.0001,0.0,0.0092,0.0,0.0
