topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
Eingehen · Adressaten · Zustand Adressaten,0.3191,0.3404,0.0638,0.1064,0.1702,2.0872,47,0.176
Kein Thema (Ausreißer),0.0,0.8824,0.0588,0.0588,0.0,0.6402,17,0.0637
Kognition · Kognition Motivation · Angst,0.2391,0.0761,0.0,0.5217,0.163,1.6927,92,0.3446
Natur · Chancen · Stellen Grenzen,0.1171,0.6847,0.1171,0.0,0.0811,1.3928,111,0.4157
