subject_clean,Eingehen · Adressaten · Äußern Gehören,Kein Thema (Ausreißer),Kognition · Kognition Motivation · Angst,Natur · Chancen · Stellen Grenzen,entropy,subject_total,subject_proportion
Bio,0.3,0.0,0.44,0.26,1.5475,50,0.1873
"Ethik, Philo",0.1404,0.1316,0.0614,0.6667,1.4198,114,0.427
Geschichte,0.1765,0.0588,0.0,0.7647,0.978,17,0.0637
Psychologie,0.0926,0.0185,0.8889,0.0,0.5755,54,0.2022
Sozialkunde,0.25,0.0,0.4688,0.2812,1.5271,32,0.1199
