Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
kulturell,führen,historisch,setzen,rek,politisch,entwickeln,verstehen,lernen,gesellschaft,sozial,unterschiedlich,europäisch,position,lernen
konzept,sozialkompetenz,kulturell,inhalt,empathie,sinn,fachlich,beziehung,position,welt,wahlbereich,fähigkeit,thema,politisch,fremdsprachlich
gemeinschaftsschule,ethisch,global,fähigkeit,gestalt,formulieren,verstehen,zunehmend,einnehmen,entwickeln,international,verschieden,politisch,sozial,kompetenzbereiche
wirtschaftlich,grenze,betrachten,begreifen,grundlegend,vertreten,dialog,vernetzt,empathie,wahrnehmen,wirtschaft,mensch,entwicklung,vertreten,politik
gesellschaftlich,interview,inhaltlich,fremdsprache,verhältnis,möglichkeit,reflexion,denken,setzen,möglichkeit,empathie,empathie,nachhaltig,situation,inhalt
politisch,erschließen,bne,welt,historisch,gestaltung,demokratisch,befähig,einsetzen,methode,wissen,medium,rolle,urteil,fremdsprache
fördern,möglichkeit,entwicklung,sprache,situation,einflussnahme,toleranz,leiten,umzugeh,entwicklung,konzept,wahrnehmung,verhältnis,interesse,verständigung
sachverhalt,umgang,sozial,nehmen,rolle,handlungsalternative,miteinander,zugehörigkeit,phänomen,nachhaltig,perspektive,entwickeln,wesentlich,kontroverse,bilingualer
beitragen,entwickeln,lernbereich,sprachlich,phänomen,berücksichtigung,kultur,gesellschaftswissenschaftlich,problem,rollenspiel,voraussetzung,sichtweise,debatte,vollziehen,diskurs
interkulturell,gezielt,regional,kommunikation,nutzen,konflikt,umgang,zugang,fähigkeit,lehrplan,rolle,politisch,sozialkompetenz,begründen,kulturell
vielfalt,geschichte,konflikt,globalisiert,ethisch,verschieden,kulturell,tolerieren,entwickeln,eingeordnen,gesellschaft,wichtig,positionieren,methode,land
verstärkt,hinterfragen,international,vertiefen,lernbereich,kulturell,unterstützen,überzeugung,unterschiedlich,bieten,internationalisierung,gesellschaft,ziel,möglichkeit,material
internationalisierung,standpunkt,aufgabe,englisch,entwicklung,auseinandersetzen,projekt,aufgabe,umgang,zusammenhang,bezüglich,methode,rollenspiel,vornehmen,abb
lehrplan,vorstellung,ökonomisch,phänomen,nachhaltig,berücksichtigen,multilateral,grundgesetz,bereiten,kontext,institution,lernen,idee,handeln,verknüpfen
bildungsgang,wert,wechselwirkung,authentisch,europäisch,differenz,grenzüberschreitende,wert,mehrperspektivität,global,reflektiert,vorstellung,lernbereich,auseinandersetzung,unterschiedlich
insbesondere,position,aspekt,aufgeführt,vorstellung,geschlechtsspezifisch,gegenstand,sinn,vielgestaltig,vornehmen,finden,sozialwissenschaftlich,geschichte,untersuchen,konfrontieren
innewohnenden,lernen,orientierungsrahme,gezielt,medium,gruppenarbeit,austausch,norm,wertvorstellung,gegenwart,natur,themenfeld,empathie,grenze,deutungsmustern
entwicklung,konzept,empfehlung,genannt,wissen,sozial,fast,lernen,mehrperspektivisch,beziehung,lage,handeln,historisch,ziel,mensch
abschluß,wahrnehmung,zusätzlich,vokabular,umgang,bezug,lernprozesse,kulturell,vielschichtig,bewusst,entwicklung,überprüfen,text,führen,authentisch
regelmäßig,lösung,schwerpunkt,hinterfragen,voraussetzung,auseinandersetzung,wahrnehmung,anregen,interdisziplinarität,geschichte,urteil,umgang,wirtschaft,sozialwissenschaftlich,fachsprachlich
