term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
begreifen,18,0.0004,0.0018,0.0103,0.0364,0.0023,0.0002,0.0001,0.0003,0.0004,0.0016,0.0006,0.0004,0.0007,0.0004,0.0003
sprachlich,18,0.0003,0.0018,0.0107,0.0312,0.0023,0.0002,0.0001,0.0003,0.0005,0.0015,0.0006,0.0004,0.0007,0.0094,0.0003
vielfalt,18,0.0261,0.0017,0.0002,0.0002,0.0024,0.0002,0.018,0.0003,0.0005,0.0014,0.0006,0.0021,0.0007,0.0004,0.0003
insbesondere,17,0.024,0.0018,0.0002,0.0103,0.0023,0.0002,0.0099,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0008,0.0003
konzept,17,0.0513,0.0021,0.0002,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0303,0.0002,0.0007,0.0004,0.0003
medium,16,0.0003,0.0017,0.0002,0.0002,0.0027,0.0035,0.0037,0.0003,0.0081,0.0014,0.0006,0.0212,0.0007,0.0004,0.0003
nutzen,16,0.0095,0.0019,0.0121,0.0179,0.0226,0.0035,0.0001,0.0003,0.0004,0.0017,0.0006,0.0002,0.0007,0.0004,0.0003
rolle,16,0.0004,0.0018,0.0002,0.0003,0.0228,0.0002,0.0001,0.0003,0.0004,0.0015,0.0279,0.0103,0.0378,0.0094,0.0003
aufgeführt,15,0.0004,0.0017,0.011,0.027,0.0024,0.0002,0.0001,0.0003,0.0004,0.0016,0.0006,0.0002,0.0007,0.0004,0.0003
bne,15,0.0004,0.0018,0.0339,0.0003,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0007,0.0002,0.0007,0.0042,0.0003
denken,15,0.0003,0.0018,0.0003,0.0002,0.0024,0.003,0.0001,0.0391,0.0004,0.0014,0.0006,0.0052,0.0007,0.0004,0.0003
einnehmen,15,0.0003,0.0019,0.0002,0.0002,0.0023,0.0107,0.0078,0.0003,0.0305,0.0014,0.0006,0.0004,0.0007,0.0004,0.0003
englisch,15,0.0004,0.0018,0.011,0.027,0.0024,0.0002,0.0001,0.0003,0.0004,0.0016,0.0006,0.0002,0.0007,0.0004,0.0003
fachlich,15,0.0004,0.0017,0.0002,0.0002,0.0023,0.0002,0.0227,0.0003,0.0005,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
formulieren,15,0.0005,0.0018,0.0002,0.0002,0.0024,0.0405,0.0001,0.0003,0.0004,0.0014,0.0006,0.0046,0.0007,0.0005,0.0003
lernbereich,15,0.0003,0.0018,0.0247,0.0003,0.0032,0.0002,0.0001,0.0003,0.0004,0.0014,0.0007,0.0061,0.0214,0.0004,0.0003
toleranz,15,0.0004,0.0017,0.0002,0.0002,0.0024,0.0002,0.0196,0.0003,0.0004,0.0014,0.0006,0.0103,0.0007,0.0004,0.0003
vertiefen,15,0.0003,0.0018,0.011,0.027,0.0024,0.0002,0.0001,0.0003,0.0004,0.0017,0.0006,0.0002,0.0007,0.0004,0.0003
