file,state,school type,grade,year,subject,word_count
LP NRW Praktische Philosphie Sek1 2024.pdf,Nordrhein-Westfalen,,Sek1,2024.0,"Ethik, Philo",5764
LP Bayern Ethik Gym 6.pdf,Bayern,Gym,6,,"Ethik, Philo",870
LP Niedersachsen Werte und Normen Oberschule.pdf,Niedersachsen,Oberschule.pdf,,,"Ethik, Philo",9125
"LP Saarland allgemeine Ethik GemS 5,6 2018.pdf",Saarland,GemS,"5,6",2018.0,"Ethik, Philo",6827
KMK Ethik EPA 2006.pdf,KMK,,,2006.0,"Ethik, Philo",17591
LP Berlin BB Philo Gym Sek2 2022.pdf,Berlin,Gym,Sek2,2022.0,"Ethik, Philo",7055
LP Bayern Ethik Gym 7.pdf,Bayern,Gym,7,,"Ethik, Philo",716
LP Hessen Kerncurriculum Ethik Gym Sek2 2024.pdf,Hessen,Gym,Sek2,2024.0,"Ethik, Philo",10441
LP Sachsen Philosophie Gym 2019.pdf,Sachsen,Gym,,2019.0,"Ethik, Philo",5134
LP Bayern Ethik Gym 5.pdf,Bayern,Gym,5,,"Ethik, Philo",660
LP BaWü Ethik Gym 2016.pdf,Baden-Württemberg,Gym,,2016.0,"Ethik, Philo",27710
LP MeckPomm Philosophie 5-6.pdf,Mecklenburg-Vorpommern,,5-6,,"Ethik, Philo",7750
LP Hamburg Philosophie Stadtteilschule 5-11 2024.pdf,Hamburg,Stadtteilschule,5-11,2024.0,"Ethik, Philo",9352
LP Niedersachsen Werte und Normen Gym Sek2 2018.pdf,Niedersachsen,Gym,Sek2,2018.0,"Ethik, Philo",11656
"LP Saarland allgemeine Ethik Gym 5,6 2018.pdf",Saarland,Gym,"5,6",2018.0,"Ethik, Philo",6824
LP Sachsen Ethik Oberschule 2019.pdf,Sachsen,Oberschule,,2019.0,"Ethik, Philo",9060
LP BaWü Ethik Sek1 2016.pdf,Baden-Württemberg,,Sek1,2016.0,"Ethik, Philo",28093
"LP Saarland allgemeine Ethik GemS 9,10 2018.pdf",Saarland,GemS,"9,10",2018.0,"Ethik, Philo",11776
LP Bayern Ethik Gym 13GK.pdf,Bayern,Gym,,,"Ethik, Philo",559
LP Sachsen Ethik Gym 2019.pdf,Sachsen,Gym,,2019.0,"Ethik, Philo",10180
LP Bayern Ethik Gym 10.pdf,Bayern,Gym,10,,"Ethik, Philo",842
LP NRW Philosphie Gym Sek2 2014.pdf,Nordrhein-Westfalen,Gym,Sek2,2014.0,"Ethik, Philo",12612
LP MeckPomm Philosophie Gym Sek2 2019.pdf,Mecklenburg-Vorpommern,Gym,Sek2,2019.0,"Ethik, Philo",9114
LP Bayern Ethik Gym 11.pdf,Bayern,Gym,11,,"Ethik, Philo",874
LP Bayern Ethik Gym 13.pdf,Bayern,Gym,13,,"Ethik, Philo",1925
LP Niedersachsen Werte und Normen Gesamtschule 2017.pdf,Niedersachsen,Gesamtschule,,2017.0,"Ethik, Philo",8767
LP Bremen Philosophie Gym Sek2 2009.pdf,Bremen,Gym,Sek2,2009.0,"Ethik, Philo",4165
LP Bayern Ethik Gym 12.pdf,Bayern,Gym,12,,"Ethik, Philo",1925
LP Saarland allgemeine Ethik Vorwort GemS 2018.pdf,Saarland,GemS,,2018.0,"Ethik, Philo",3965
LP Bremen Philosophie Oberschule 2017.pdf,Bremen,Oberschule,,2017.0,"Ethik, Philo",4631
LP Bayern Ethik Gym 12GK.pdf,Bayern,Gym,,,"Ethik, Philo",689
LP Sachsen-Anhalt Ethik Gym 2022.pdf,Sachsen-Anhalt,Gym,,2022.0,"Ethik, Philo",7152
LP Saarland allgemeine Ethik Vorwort Gym 2018.pdf,Saarland,Gym,,2018.0,"Ethik, Philo",3798
LP Bayern Ethik Gym Fachprofil.pdf,Bayern,Gym,,,"Ethik, Philo",1919
LP Niedersachsen Werte und Normen Gym Sek1 2017.pdf,Niedersachsen,Gym,Sek1,2017.0,"Ethik, Philo",8765
LP RheinPfalz Ethik Sek1 2021.pdf,Rheinland-Pfalz,,Sek1,2021.0,"Ethik, Philo",20050
LP Hessen Kerncurriculum Ethik Leitfaden Sek1.pdf,Hessen,,Sek1,,"Ethik, Philo",15723
LP Niedersachsen Werte und Normen Realschule 2018.pdf,Niedersachsen,Realschule,,2018.0,"Ethik, Philo",9012
LP Bayern Ethik Realschule 2023.pdf,Bayern,Realschule,,2023.0,"Ethik, Philo",9595
LP Saarland allgemeine Ethik Gym 9 2018.pdf,Saarland,Gym,9,2018.0,"Ethik, Philo",7900
LP Thüringen Ethik Gym 2012.pdf,Thüringen,Gym,,2012.0,"Ethik, Philo",8582
"LP Saarland allgemeine Ethik GemS 7,8 2018.pdf",Saarland,GemS,"7,8",2018.0,"Ethik, Philo",8853
LP MeckPomm Philosophie 7-10 2002.pdf,Mecklenburg-Vorpommern,,7-10,2002.0,"Ethik, Philo",13359
LP Niedersachsen Werte und Normen Hauptschule 2018.pdf,Niedersachsen,Hauptschule,,2018.0,"Ethik, Philo",8675
LP Bremen Philosophie Gym 5-9 2017.pdf,Bremen,Gym,5-9,2017.0,"Ethik, Philo",4533
LP RheinPfalz Philosohpie Gym Sek2 LK 2011.pdf,Rheinland-Pfalz,Gym,Sek2,2011.0,"Ethik, Philo",22554
KMK Philosophie EPA 2006.pdf,KMK,,,2006.0,"Ethik, Philo",15238
LP RheinPfalz Philosohpie Gym Sek2.pdf,Rheinland-Pfalz,Gym,Sek2,,"Ethik, Philo",13344
"LP Saarland allgemeine Ethik Gym 7,8 2018.pdf",Saarland,Gym,"7,8",2018.0,"Ethik, Philo",8853
LP RheinPfalz Ethik Sek2 1983.pdf,Rheinland-Pfalz,,Sek2,1983.0,"Ethik, Philo",7429
LP Hessen Kerncurriculum Ethik Gym Sek1.pdf,Hessen,Gym,Sek1,,"Ethik, Philo",7986
LP Sachsen-Anhalt Ethik 2019.pdf,Sachsen-Anhalt,,,2019.0,"Ethik, Philo",5232
LP Hessen Kerncurriculum Ethik Realschule.pdf,Hessen,Realschule.pdf,,,"Ethik, Philo",7989
LP Hamburg Philosophie Studienstufe 2022.pdf,Hamburg,,Studienstufe,2022.0,"Ethik, Philo",6588
LP Berlin BB Ethik 7-10 2015.pdf,Berlin,,7-10,2015.0,"Ethik, Philo",7790
LP Thüringen Ethik Regelschule 2012.pdf,Thüringen,Regelschule,,2012.0,"Ethik, Philo",5802
LP Saarland allgemeine Ethik Gym Sek2 hauptphase LK 2019.pdf,Saarland,Gym,Sek2,2019.0,"Ethik, Philo",10835
LP Hessen Kerncurriculum Ethik Hauptschule.pdf,Hessen,Hauptschule.pdf,,,"Ethik, Philo",7851
LP Saarland allgemeine Ethik Gym Sek2 Einführung 2020.pdf,Saarland,Gym,Sek2,2020.0,"Ethik, Philo",8801
LP Bayern Ethik Gym 9.pdf,Bayern,Gym,9,,"Ethik, Philo",835
LP Schleswig-Holstein Philosophie 2016.pdf,Schleswig-Holstein,,,2016.0,"Ethik, Philo",25312
LP Bayern Ethik Gym 8.pdf,Bayern,Gym,8,,"Ethik, Philo",882
LP Hamburg Philosophie Gym Sek1 2024.pdf,Hamburg,Gym,Sek1,2024.0,"Ethik, Philo",8374
LP Saarland allgemeine Ethik Gym Sek2 Hauptphase GK 2024.pdf,Saarland,Gym,Sek2,2024.0,"Ethik, Philo",7052
LP Bayern Geschichte Gym 11.pdf,Bayern,Gym,11,,Geschichte,771
LP Bayern Geschichte Realschule 10.pdf,Bayern,Realschule,10,,Geschichte,2145
LP Bayern Geschichte Gym 10.pdf,Bayern,Gym,10,,Geschichte,697
LP BaWü Geschichte Gemeinschaftsschule Sek2 2016.pdf,Baden-Württemberg,Gemeinschaftsschule,Sek2,2016.0,Geschichte,11106
LP Niedersachsen Geschichte Realschule 2014.pdf,Niedersachsen,Realschule,,2014.0,Geschichte,8645
LP Niedersachsen Geschichte Gym Sek2 2018.pdf,Niedersachsen,Gym,Sek2,2018.0,Geschichte,14423
KMK Geschichte EPA 2005.pdf,KMK,,,2005.0,Geschichte,22949
LP Thüringen Geschichte Gym 2021.pdf,Thüringen,Gym,,2021.0,Geschichte,12177
LP MeckPomm Geschichte Regionale Schule 7-10 2023.pdf,Mecklenburg-Vorpommern,Regionale Schule,7-10,2023.0,Geschichte,9889
LP NRW Geschichte Gym Sek1 2019.pdf,Nordrhein-Westfalen,Gym,Sek1,2019.0,Geschichte,8007
LP Saarland Geschichte Gym 7 2014.pdf,Saarland,Gym,7,2014.0,Geschichte,2186
LP Saarland Geschichte Gym 6 2014.pdf,Saarland,Gym,6,2014.0,Geschichte,2536
LP Bayern Geschichte Gym 7.pdf,Bayern,Gym,7,,Geschichte,1739
LP Bayern Geschichte Gym 13 GK.pdf,Bayern,Gym,13,,Geschichte,1638
LP MeckPomm Geschichte Gym 7-10 2023.pdf,Mecklenburg-Vorpommern,Gym,7-10,2023.0,Geschichte,10384
LP Berlin BB Geschichte 7-10 2015.pdf,Berlin,,7-10,2015.0,Geschichte,8121
LP Hamburg Geschichte Gym Sek2 2024.pdf,Hamburg,Gym,Sek2,2024.0,Geschichte,11200
LP Bayern Geschichte Gym 6.pdf,Bayern,Gym,6,,Geschichte,1584
"LP MeckPomm Geschichte 5,6.pdf",Mecklenburg-Vorpommern,,"5,6",,Geschichte,6252
LP BaWü Geschichte Gym 2016.pdf,Baden-Württemberg,Gym,,2016.0,Geschichte,19399
LP Bayern Geschichte Gym 13 LK.pdf,Bayern,Gym,13,,Geschichte,2341
LP Schleswig-Holstein Geschichte Sek1 Sek2 2016.pdf,Schleswig-Holstein,,Sek1,2016.0,Geschichte,11976
LP Hessen Geschichte Gym Sek1 2021.pdf,Hessen,Gym,Sek1,2021.0,Geschichte,7599
LP Bayern Geschichte Realschule 7.pdf,Bayern,Realschule,7,,Geschichte,2088
LP Bayern Geschichte Realschule 6.pdf,Bayern,Realschule,6,,Geschichte,1856
LP Niedersachsen Geschichte Gym Sek1 2015.pdf,Niedersachsen,Gym,Sek1,2015.0,Geschichte,8399
LP NRW Geschichte Gym Sek2 2014.pdf,Nordrhein-Westfalen,Gym,Sek2,2014.0,Geschichte,13124
LP Sachsen-Anhalt Geschichte Sekundarschule 2019.pdf,Sachsen-Anhalt,Sekundarschule,,2019.0,Geschichte,5520
LP Niedersachsen Geschichte Oberschule 2015.pdf,Niedersachsen,Oberschule,,2015.0,Geschichte,9887
LP NRW Geschichte Hauptschule 2022.pdf,Nordrhein-Westfalen,Hauptschule,,2022.0,Geschichte,8021
LP Hessen Geschichte Realschule 2021.pdf,Hessen,Realschule,,2021.0,Geschichte,8977
LP Thüringen Geschichte Regelschule 2012.pdf,Thüringen,Regelschule,,2012.0,Geschichte,8376
LP Hamburg Geschichte Gym Sek1 2024.pdf,Hamburg,Gym,Sek1,2024.0,Geschichte,8600
LP Hamburg Geschichte Stadtteilschule 5-11 2024.pdf,Hamburg,Stadtteilschule,5-11,2024.0,Geschichte,11329
LP BaWü Geschichte Sek1 2016.pdf,Baden-Württemberg,,Sek1,2016.0,Geschichte,18066
LP NRW Geschichte Gesamtschule 2020.pdf,Nordrhein-Westfalen,Gesamtschule,,2020.0,Geschichte,17608
LP Sachsen Geschichte Gym 2019.pdf,Sachsen,Gym,,2019.0,Geschichte,17002
LP Bayern Geschichte Realschule.pdf,Bayern,Realschule.pdf,,,Geschichte,13658
LP Bayern Geschichte Gym 12 GK.pdf,Bayern,Gym,12,,Geschichte,1971
LP Bayern Geschichte Realschule 8.pdf,Bayern,Realschule,8,,Geschichte,1792
LP Bayern Geschichte Realschule 9.pdf,Bayern,Realschule,9,,Geschichte,1989
LP Hessen Geschichte Hauptschule 2021.pdf,Hessen,Hauptschule,,2021.0,Geschichte,7603
LP Bremen Geschichte Gym Sek1 2006.pdf,Bremen,Gym,Sek1,2006.0,Geschichte,5814
LP Niedersachsen Geschichte Hauptschule 2014.pdf,Niedersachsen,Hauptschule,,2014.0,Geschichte,7288
LP Saarland Geschichte Gym Sek2 LK 2019.pdf,Saarland,Gym,Sek2,2019.0,Geschichte,14309
LP RheinPfalz Geschichte Sek1 2021.pdf,Rheinland-Pfalz,,Sek1,2021.0,Geschichte,18538
LP Hessen Geschichte Gym Sek2 2024.pdf,Hessen,Gym,Sek2,2024.0,Geschichte,13688
LP Bayern Geschichte Gym 12 LK.pdf,Bayern,Gym,12,,Geschichte,3304
LP Bayern Geschichte Gym 8.pdf,Bayern,Gym,8,,Geschichte,1574
LP MeckPomm Geschichte Gym Sek2 2019.pdf,Mecklenburg-Vorpommern,Gym,Sek2,2019.0,Geschichte,7522
LP Saarland Geschichte Gym Sek2 GK 2023.pdf,Saarland,Gym,Sek2,2023.0,Geschichte,5282
LP Bayern Geschichte Gym 9.pdf,Bayern,Gym,9,,Geschichte,1536
LP Bremen Geschichte Gym Sek2 2008.pdf,Bremen,Gym,Sek2,2008.0,Geschichte,3504
LP Saarland Geschichte Gym Sek2 Einführung 2016.pdf,Saarland,Gym,Sek2,2016.0,Geschichte,5182
LP Saarland Geschichte Gym 9 2014.pdf,Saarland,Gym,9,2014.0,Geschichte,2371
LP Saarland Geschichte Gym 8 2014.pdf,Saarland,Gym,8,2014.0,Geschichte,2412
LP NRW Geschichte Realschule 2020.pdf,Nordrhein-Westfalen,Realschule,,2020.0,Geschichte,7522
LP Sachsen Geschichte Oberschule 2019.pdf,Sachsen,Oberschule,,2019.0,Geschichte,8659
LP Bayern Geschichte Gym Fachprofil.pdf,Bayern,Gym,,,Geschichte,3486
LP Sachsen-Anhalt Geschichte Gym 2022.pdf,Sachsen-Anhalt,Gym,,2022.0,Geschichte,11788
LP Hessen Geschichte Leitfaden Sek1 2011.pdf,Hessen,,Sek1,2011.0,Geschichte,22105
LP Saarland Geschichte Gym Sek1 all. Teil 2014.pdf,Saarland,Gym,Sek1,2014.0,Geschichte,2295
LP Berlin BB Geschichte Gym Sek2 2022.pdf,Berlin,Gym,Sek2,2022.0,Geschichte,10300
"LP Saarland NaWi GemS 5,6 2014.pdf",Saarland,GemS,"5,6",2014.0,Bio,3493
"LP Hamburg NaWi 5,6 2023.pdf",Hamburg,,"5,6",2023.0,Bio,10459
LP Bayern Bio Realschule 2023.pdf,Bayern,Realschule,,2023.0,Bio,13158
LP Bayern Bio Gym 13 GK 2024.pdf,Bayern,Gym,13,2024.0,Bio,2286
LP Niedersachsen Bio Oberschule 5-10 2021.pdf,Niedersachsen,Oberschule,5-10,2021.0,Bio,9160
KMK Bildungsstandards Bio Regelschule 2024.pdf,KMK,Regelschule,,2024.0,Bio,4795
LP NRW Bio Gym Sek2 2022.pdf,Nordrhein-Westfalen,Gym,Sek2,2022.0,Bio,12171
LP Bayern Bio Gym 13 LK 2024.pdf,Bayern,Gym,13,2024.0,Bio,2803
LP Thüringen Bio Regelschule 2024.pdf,Thüringen,Regelschule,,2024.0,Bio,7745
LP Sachsen-Anhalt Bio Sek1 2019.pdf,Sachsen-Anhalt,,Sek1,2019.0,Bio,4469
LP BaWü Bio Sek 1 2022.pdf,Baden-Württemberg,,Sek 1,2022.0,Bio,14215
LP Hessen Leitfaden Bio Sek1.pdf,Hessen,,Sek1,,Bio,14266
LP Bayern Bio Gym Fachprofil.pdf,Bayern,Gym,,,Bio,3814
LP Niedersachsen Bio Gym 5-10 2015.pdf,Niedersachsen,Gym,5-10,2015.0,Bio,12922
LP Saarland Bio Gym Sek2 GK 2024.pdf,Saarland,Gym,Sek2,2024.0,Bio,13103
LP Bayern Bio Gym 10 2024.pdf,Bayern,Gym,10,2024.0,Bio,1514
LP Sachsen Bio Oberschule 2019.pdf,Sachsen,Oberschule,,2019.0,Bio,8903
LP Hessen Kerncurriculum Bio Gym Sek1 2024.pdf,Hessen,Gym,Sek1,2024.0,Bio,13466
LP Niedersachsen Bio Hauptschule 5-10 2021.pdf,Niedersachsen,Hauptschule,5-10,2021.0,Bio,9110
LP Hamburg Bio Stadtteilschule 5-11 2024.pdf,Hamburg,Stadtteilschule,5-11,2024.0,Bio,10069
LP Thüringen Bio Gym 2024.pdf,Thüringen,Gym,,2024.0,Bio,14415
LP MeckPomm Bio 7-10 2021.pdf,Mecklenburg-Vorpommern,,7-10,2021.0,Bio,9012
KMK Bildungsstandards Bio AHR 2020.pdf,KMK,,,2020.0,Bio,10268
LP Bayern Bio Gym 9 2024.pdf,Bayern,Gym,9,2024.0,Bio,1821
LP Bayern Bio Gym 8 2024.pdf,Bayern,Gym,8,2024.0,Bio,1477
LP MeckPomm Bio Gym Sek 2 2022.pdf,Mecklenburg-Vorpommern,Gym,Sek 2,2022.0,Bio,10919
LP Saarland Bio Gym Sek2 LK 2024.pdf,Saarland,Gym,Sek2,2024.0,Bio,16893
LP NRW Bio Hauptschule 2011.pdf,Nordrhein-Westfalen,Hauptschule,,2011.0,Bio,13079
LP Hamburg Bio Gym Sek1 2024.pdf,Hamburg,Gym,Sek1,2024.0,Bio,8214
LP BaWü Bio Gemeinschaftsschule Sek2 2022.pdf,Baden-Württemberg,Gemeinschaftsschule,Sek2,2022.0,Bio,11681
"LP Saarland NaWi GemS 7,8 2014.pdf",Saarland,GemS,"7,8",2014.0,Bio,6828
LP MeckPomm Bio Gym Sek 1 7-10 2022.pdf,Mecklenburg-Vorpommern,Gym,Sek 1,2022.0,Bio,9078
"LP Schleswig-Holstein Bio Sek1,2 2019.pdf",Schleswig-Holstein,,Sek1,2019.0,Bio,21794
LP Hessen Kerncurriculum Bio Realschule 2024.pdf,Hessen,Realschule,,2024.0,Bio,13351
LP NRW Bio Gesamtschule Sek1 2011.pdf,Nordrhein-Westfalen,Gesamtschule,Sek1,2011.0,Bio,20459
LP Bremen Bio Sek2 2022.pdf,Bremen,,Sek2,2022.0,Bio,9957
LP RheinPfalz Bio Sek2 2022.pdf,Rheinland-Pfalz,,Sek2,2022.0,Bio,16110
LP RheinPfalz NaWi Orientierung 2014.pdf,Rheinland-Pfalz,,,2014.0,Bio,15491
LP Saarland NaWi GemS Vorwort 2014.pdf,Saarland,GemS,,2014.0,Bio,3263
LP Niedersachsen Bio Gym Sek2 2022.pdf,Niedersachsen,Gym,Sek2,2022.0,Bio,7012
LP Bayern Bio Gym 12 LK 2024.pdf,Bayern,Gym,12,2024.0,Bio,2518
"LP Thüringen MNT Gym 5,6 2015.pdf",Thüringen,Gym,"5,6",2015.0,Bio,5070
LP Bayern Bio Gym 12 GK 2024.pdf,Bayern,Gym,12,2024.0,Bio,2068
"LP Thüringen MNT Regelschule 5,6 2015.pdf",Thüringen,Regelschule,"5,6",2015.0,Bio,4779
LP BaWü Bio Gym 2022.pdf,Baden-Württemberg,Gym,,2022.0,Bio,16187
LP Sachsen-Anhalt Bio Gym 2022.pdf,Sachsen-Anhalt,Gym,,2022.0,Bio,16583
LP Saarland Bio Gym 9 2014.pdf,Saarland,Gym,9,2014.0,Bio,3509
LP Saarland Bio Gym 8 2014.pdf,Saarland,Gym,8,2014.0,Bio,3584
LP Schleswig-Holstein Bio Leitfaden.pdf,Schleswig-Holstein,,,,Bio,21931
LP NRW Bio Gym Sek1 2019.pdf,Nordrhein-Westfalen,Gym,Sek1,2019.0,Bio,8287
LP BerlinBB Bio 7-10 2015.pdf,Berlin,,7-10,2015.0,Bio,8698
LP Bremen Bio Sek1 2010.pdf,Bremen,,Sek1,2010.0,Bio,8917
LP NRW Bio Realschule 2011.pdf,Nordrhein-Westfalen,Realschule,,2011.0,Bio,10611
LP Sachsen Bio Gym 2022.pdf,Sachsen,Gym,,2022.0,Bio,16062
LP Hessen Kerncurriculum Bio Hauptschule 2024.pdf,Hessen,Hauptschule,,2024.0,Bio,13187
LP BerlinBB Bio Gym Sek2 2021.pdf,Berlin,Gym,Sek2,2021.0,Bio,8876
"LP Saarland Bio GemS 9,10 2016.pdf",Saarland,GemS,"9,10",2016.0,Bio,6991
"LP BerlinBB Bio 5,6 2015.pdf",Berlin,,"5,6",2015.0,Bio,7343
LP Hessen Kerncurriculum Bio Gym Sek2 2024.pdf,Hessen,Gym,Sek2,2024.0,Bio,12184
LP Hamburg Bio Gym Sek2 2022.pdf,Hamburg,Gym,Sek2,2022.0,Bio,7490
LP RheinPfalz Bio Sek1 2014.pdf,Rheinland-Pfalz,,Sek1,2014.0,Bio,23605
LP Saarland Bio Gym Sek2 Einführung 2024.pdf,Saarland,Gym,Sek2,2024.0,Bio,6523
"LP MeckPomm Bio Kl. 5,6 2022.pdf",Mecklenburg-Vorpommern,,"5,6",2022.0,Bio,7635
LP Bremen Psychologie Gym Sek2 2009.pdf,Bremen,Gym,Sek2,2009.0,Psychologie,3321
LP NRW Psychologie Gym Sek2 2014.pdf,Nordrhein-Westfalen,Gym,Sek2,2014.0,Psychologie,10111
LP Hamburg Psychologie Sek2 2024.pdf,Hamburg,,Sek2,2024.0,Psychologie,9105
KMK Psychologie EPA 2006.pdf,KMK,,,2006.0,Psychologie,17732
LP Berlin BB Psychologie Gym Sek2 2022.pdf,Berlin,Gym,Sek2,2022.0,Psychologie,7215
LP Sachsen-Anhalt Psychologie Gym 2024.pdf,Sachsen-Anhalt,Gym,,2024.0,Psychologie,6850
LP BaWü WP Psychologie Sek2 2016.pdf,Baden-Württemberg,,Sek2,2016.0,Psychologie,6808
LP Hamburg Psychologie Sek1 2024.pdf,Hamburg,,Sek1,2024.0,Psychologie,6594
"LP Bayern Psychologie Gym 12,13.pdf",Bayern,Gym,"12,13",,Psychologie,1664
"LP Berlin BB WP Psychologie 9,10 2015.pdf",Berlin,,"9,10",2015.0,Psychologie,3200
