term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
mensch,259,0.0009,0.0047,0.077,0.0422,0.0056,0.0239,0.1116,0.0326,0.0029,0.0024,0.0235,0.0136
ethik,187,0.0214,0.0002,0.0012,0.0159,0.0269,0.0071,0.0306,0.0543,0.0365,0.0023,0.032,0.0002
philosophie,156,0.0003,0.0002,0.0018,0.008,0.0318,0.0005,0.0417,0.0001,0.0133,0.0023,0.0563,0.0027
frage,130,0.0103,0.0002,0.0003,0.0754,0.0069,0.01,0.03,0.0083,0.0003,0.0024,0.0129,0.0004
philosophisch,116,0.0154,0.0002,0.0059,0.0432,0.0046,0.012,0.007,0.0152,0.0089,0.0023,0.046,0.0095
position,86,0.0004,0.0002,0.0003,0.0114,0.0408,0.0005,0.0168,0.0055,0.0003,0.0023,0.0002,0.0002
geschichte,81,0.0003,0.0002,0.0003,0.0001,0.02,0.0005,0.0043,0.0001,0.0576,0.0023,0.0017,0.0835
reflexionsbereich,78,0.0049,0.0002,0.0003,0.0001,0.0277,0.0125,0.0003,0.0001,0.1173,0.0023,0.0119,0.0002
gesellschaft,75,0.0004,0.0002,0.0003,0.0013,0.026,0.0116,0.0042,0.0114,0.0505,0.0024,0.0029,0.0002
erkenntnistheorie,73,0.0065,0.0002,0.0003,0.016,0.023,0.0007,0.0035,0.0001,0.0054,0.0023,0.0268,0.0002
freiheit,73,0.0367,0.0614,0.0174,0.0001,0.0001,0.0005,0.0032,0.0442,0.0003,0.0029,0.0029,0.0199
ethisch,67,0.0224,0.0002,0.028,0.0204,0.0034,0.0005,0.0107,0.0269,0.005,0.0024,0.0002,0.0002
natur,66,0.0003,0.0002,0.0003,0.0001,0.0041,0.0005,0.0381,0.0029,0.0003,0.0023,0.004,0.0002
religion,63,0.0003,0.0002,0.0003,0.0082,0.0232,0.0005,0.0031,0.0198,0.0003,0.0023,0.0002,0.0006
metaphysik,61,0.0061,0.0002,0.0003,0.0001,0.0219,0.0249,0.0001,0.0001,0.0409,0.0023,0.0098,0.0002
auseinandersetzung,56,0.0019,0.0002,0.009,0.0001,0.015,0.0235,0.0033,0.0034,0.0387,0.0023,0.0031,0.0002
sprachphilosophie,55,0.0003,0.0002,0.0003,0.0001,0.0312,0.0048,0.0001,0.0001,0.0274,0.0023,0.0046,0.0002
menschlich,43,0.0029,0.0002,0.0007,0.0002,0.0091,0.0215,0.0197,0.0001,0.0003,0.0023,0.0001,0.0253
problem,39,0.0003,0.0002,0.0003,0.0082,0.0219,0.0005,0.0001,0.0019,0.0003,0.0023,0.0196,0.0088
verantwortung,38,0.0431,0.0002,0.0113,0.0001,0.0001,0.0005,0.0048,0.0281,0.0003,0.0023,0.005,0.0002
mindestens,37,0.0003,0.0002,0.0003,0.0003,0.0302,0.0005,0.0001,0.0001,0.0026,0.0023,0.0001,0.0002
verschieden,37,0.0003,0.0002,0.0003,0.0001,0.0065,0.0246,0.0088,0.0074,0.0079,0.0023,0.0007,0.002
kultur,36,0.0003,0.0002,0.0069,0.0001,0.0059,0.0005,0.0214,0.0001,0.0003,0.0023,0.0001,0.0002
insgesamt,35,0.0003,0.0002,0.0003,0.0013,0.0287,0.0005,0.0001,0.0001,0.0003,0.0023,0.0001,0.0002
grundfrage,34,0.0003,0.0002,0.0003,0.0008,0.0001,0.0005,0.0001,0.0001,0.0003,0.0023,0.039,0.0002
leben,34,0.0003,0.0002,0.0003,0.0042,0.0049,0.0152,0.0095,0.0113,0.0003,0.0023,0.0002,0.0101
kommunikation,33,0.0003,0.059,0.0005,0.0017,0.0057,0.0005,0.0054,0.0001,0.0003,0.0028,0.0015,0.0002
kritisch,33,0.0004,0.0002,0.0003,0.0001,0.0096,0.016,0.0018,0.0001,0.0003,0.0023,0.0015,0.0345
politisch,33,0.0232,0.0002,0.0003,0.0002,0.0131,0.0005,0.0001,0.0001,0.0003,0.0023,0.0001,0.0413
handeln,32,0.0333,0.0002,0.0393,0.0054,0.0023,0.0005,0.0001,0.008,0.0003,0.0023,0.0001,0.0091
hinweiseaspektebeispiele,32,0.0003,0.0002,0.0003,0.0001,0.0058,0.0005,0.0139,0.0001,0.0003,0.0023,0.0055,0.0002
lebenskunst,32,0.0003,0.0002,0.0003,0.0001,0.0153,0.009,0.0001,0.0001,0.0245,0.0023,0.0003,0.0002
geschichtsphilosophie,31,0.0003,0.0002,0.0003,0.0001,0.0112,0.0005,0.0112,0.0001,0.0003,0.0023,0.0031,0.0002
