topic_id,"Ethik, Philo",Geschichte,Sozialkunde,total
1,61,0,0,61
2,169,0,2,171
3,38,0,0,38
4,49,1,0,50
5,145,1,0,146
6,74,0,0,74
7,120,0,1,121
