topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,5,0.1123,295,57.6598
2,3,0.0886,195,79.0776
3,19,0.0779,185,123.6558
4,18,0.0736,170,80.0128
5,8,0.0668,148,115.0786
6,7,0.0564,113,106.806
7,12,0.0564,104,85.1688
8,9,0.0462,106,139.2032
9,4,0.0449,68,113.7216
10,14,0.0444,131,51.9405
11,2,0.0425,72,66.995
12,13,0.0412,101,52.0678
13,17,0.0405,88,180.2728
14,16,0.0383,80,254.191
15,6,0.0337,69,96.8663
16,1,0.0335,50,108.1531
17,11,0.0299,45,126.881
18,20,0.0288,44,86.6482
19,15,0.0286,44,132.9816
20,10,0.0154,27,173.9689
