,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,fragen,0.0419,werte,0.0373,schlern,0.09,fragen,0.0551,glck,0.2444,bercksichtigung,0.2223,wahrheit,0.1711,lernen,0.3187,natur,0.2765,eigene leben,0.2492,menschen,0.1417
1,handeln,0.0366,knnen,0.0342,orientierung,0.082,erfahren,0.0471,glck moral,0.0854,verantwortung,0.1689,dimension,0.1603,fach ethik,0.3109,ethik natur,0.08,behandelt,0.2468,suche,0.1208
2,regeln,0.032,moralischen,0.0304,risiken,0.0654,menschen,0.0471,finden,0.0519,instanz,0.1488,lge,0.1229,fach,0.2973,natur umweltschutzes,0.08,ebenso,0.2365,wissenschaftlichen,0.117
3,gewissen,0.0292,gerechtigkeit,0.0298,kooperation,0.0641,fragen moral,0.0438,moral analysieren,0.0494,wesen,0.1451,handeln,0.0844,jahrgangsstufen,0.2145,umweltschutzes,0.0779,gute leben,0.2294,erziehung,0.117
4,diskutieren,0.0279,handeln,0.0282,fragen,0.0619,schlern,0.0426,antike,0.0482,hinblick,0.1331,hinblick,0.0679,bedeutet,0.2113,mensch,0.0659,gute,0.2116,entwrfe,0.117
5,ethik moral,0.0266,moralischer,0.0268,individuum,0.0606,vorstellungen,0.0426,individuelle,0.048,handlung,0.1285,vorstellungen guten,0.0618,zentralen,0.2054,gegenber,0.0658,dimension,0.2071,jungen,0.117
6,knnen,0.0257,werte normen,0.0258,bercksichtigen,0.0602,moral ethik,0.042,tieren,0.0454,gegenber,0.1149,erfahrungen,0.061,motivation,0.1913,umwelt,0.0653,lebens,0.1932,jungen menschen,0.117
7,mensch,0.0244,recht,0.0249,aspekte,0.0588,entwickeln,0.0411,denken,0.0413,verantwortlichen,0.104,rechtfertigen,0.0606,werte normen,0.1728,positionen,0.0639,sinn,0.1925,heute,0.111
8,handelns,0.0242,moralisch,0.0243,ethischmoralische,0.0571,umgang,0.0401,analysieren,0.0358,gesichtspunkte,0.0997,dimensionen,0.0593,sinn,0.1667,menschen,0.0529,guten,0.1734,urteilen handeln,0.1085
9,verantwortung,0.023,ethische,0.0239,beurteilen,0.0524,beitrag,0.0387,verhltnis,0.0355,kern,0.0971,normative,0.0561,faches,0.1541,relevant,0.0493,frage,0.1601,jugendlichen,0.1074
10,ethischmoralische,0.0222,freiheit,0.0236,macht,0.0512,beschftigung,0.0386,zeigen,0.0343,geschieht,0.0945,guten lebens,0.055,werte,0.1532,daraus,0.0484,eigene,0.1409,theorien,0.0976
11,fragen moral,0.0212,analysieren,0.0231,gesellschaft,0.0512,immer schon,0.0382,situationen,0.0339,grundlage,0.0919,deskriptive,0.0542,kompetenz,0.1508,erlutern,0.0473,form,0.1347,art,0.0963
12,medien,0.0212,argumentieren,0.0231,technik,0.0504,schon,0.0382,diskussion,0.0334,identitt,0.0781,analyse,0.0481,moralisches,0.1472,relevante,0.0457,herausforderungen,0.1223,modelle,0.0949
13,grundlagen,0.0211,verantwortung,0.0226,nachhaltigen,0.0492,gem,0.0375,lebensgestaltung,0.0334,mittelpunkt,0.0768,bereiche,0.0464,ethischen,0.1357,beschreiben,0.0427,unterschiedlichen,0.1095,philosophischen,0.0904
14,ethische,0.0209,gesellschaft,0.0223,persnlichen,0.0484,bieten,0.0372,sozial,0.0329,mensch,0.0759,handeln werte,0.0447,verstehen,0.1177,einfluss,0.0426,mehr,0.107,bildung,0.0904
15,moralisch,0.0208,eigene,0.0207,bildung,0.0467,zukunft,0.0365,wahrnehmen,0.0324,ethischmoralischer,0.0753,moralisches handeln,0.0442,austausch,0.0912,kompetenzerwartungen knnen,0.0426,mittelpunkt,0.1052,beitrag,0.0846
16,moralischen,0.0207,erlutern,0.0201,strken,0.0454,alter,0.0363,glckliches leben,0.0322,persnlicher,0.0748,selbstbestimmten,0.0441,sollen,0.091,ermglichen,0.0412,stehen,0.0966,moraltheorie,0.0835
17,moral ethik,0.0204,ethisch,0.02,kompetenzerwartungen,0.0439,orientierung,0.0353,stehen,0.0319,ethischer,0.0721,urteils,0.0441,ermglicht,0.0838,unterscheiden,0.0396,immer,0.0958,exemplarischen,0.0805
18,beschreiben,0.0202,reflektieren,0.0198,leistet,0.0416,verschiedener,0.035,erkennen verantwortungsrelationen,0.0312,gut bse,0.072,lebens,0.0436,stellt,0.0601,ausgewhlter,0.0394,perspektiven,0.0878,funktion,0.0799
19,sollen,0.0198,beurteilen,0.0198,bewerten,0.0413,berprfung,0.0349,verantwortungsrelationen ethisch,0.0312,menschen,0.0719,vorstellungen,0.0433,zusammenhang,0.0455,ethik ethik,0.0389,begriffe,0.0864,vergleichen,0.0773
